probe set	Gene	Description	fold change
161302_r_at	Reg2	regenerating islet-derived 2	52.47
101715_at	Ear4	Mus musculus ribonuclease 4 precursor (mR-4) gene	26.02
160799_at		RIKEN cDNA 1300007C21 gene	8.17
99637_at	Col15a1	procollagen, type XV	3.44
98579_at	Egr1	early growth response 1	3.42
161232_r_at	Gpiap1	GPI-anchored membrane protein 1	3.33
98297_at	Gpr49	G protein-coupled receptor 49	3.22
103813_at	Sh3yl1	Sh3 domain YSC-like 1	2.8
104230_at	Dclre1a	DNA cross-link repair 1A, PSO2 homolog (S. cerevisiae)	2.73
103780_at	1700021F05Rik	RIKEN cDNA 1700021F05 gene	2.64
162315_f_at	Cldn3	claudin 3	2.62
101462_r_at	Pja1	praja1, RING-H2 motif containing	2.58
160841_at	Dbp	D site albumin promoter binding protein	2.52
160948_at	Ppp3cc	protein phosphatase 3, catalytic subunit, gamma	2.45
97438_r_at	4631416I11Rik	RIKEN cDNA 2310061P20 gene	2.4
104012_at	Gnrhr	gonadotropin releasing hormone receptor	2.21
101583_at	Btg2	B-cell translocation gene 2, anti-proliferative	2.19
103676_at	C1qtnf1	RIKEN cDNA 1600017K21 gene	2.19
103007_at	Efna1	ephrin A1	2.14
97926_s_at	Pparg	peroxisome proliferator activated receptor gamma	2.07
104712_at	Myc	myelocytomatosis oncogene	2.01
101589_at	Hmgn2	high mobility group nucleosomal binding domain 2	1.99
103723_at	Il13ra1	interleukin 13 receptor, alpha 1	1.98
98942_r_at	2310032D16Rik	RIKEN cDNA 2310032D16 gene	1.98
161716_at	Fos	FBJ osteosarcoma oncogene	1.96
93887_at	Mpdz	multiple PDZ domain protein	1.96
99404_at	Cyp7a1	cytochrome P450, 7a1	1.94
102362_i_at	Junb	Jun-B oncogene	1.93
97426_at	Emp1	epithelial membrane protein 1	1.93
101458_at	Wee1	wee 1 homolog (S. pombe)	1.91
101747_f_at	Igh-4	M.musculus mRNA (3C10) for IgA V-D-J-heavy chain	1.91
104750_at	Ifi47	interferon gamma inducible protein, 47 kDa	1.91
103873_i_at	2310015N07Rik	RIKEN cDNA 2310015N07 gene	1.9
161010_r_at	AI843786	expressed sequence AI843786	1.9
94395_at	D3Ertd330e	DNA segment, Chr 3, ERATO Doi 330, expressed	1.89
103547_at	Slc41a1	Mus musculus, Similar to hypothetical protein DKFZp434K0427, clone IMAGE:4504894, mRNA	1.87
160171_f_at	Acate2	acyl-Coenzyme A thioesterase 2, mitochondrial	1.87
160247_at	Ube2v2	ubiquitin-conjugating enzyme E2 variant 2	1.86
101506_at	Snrpa1	small nuclear ribonucleoprotein polypeptide A	1.85
103685_at		ESTs	1.84
95552_at	Dio1	deiodinase, iodothyronine, type I	1.84
97519_at	Spp1	secreted phosphoprotein 1	1.83
99109_at	Ier2	immediate early response 2	1.83
160398_at	Nol7	RIKEN cDNA 2210008F15 gene	1.82
162142_f_at	Prrg2	proline-rich Gla (G-carboxyglutamic acid) golypeptide2	1.82
94983_at	1810073G14Rik	RIKEN cDNA 9030624B09 gene	1.82
104586_at	5730507C05Rik	RIKEN cDNA 5730507C05 gene	1.81
161523_r_at	Calm2	calmodulin 2	1.8
102348_at		hypothetical protein MGC37588	1.79
104109_at	Fbxo21	RIKEN cDNA 2810425J22 gene	1.79
92222_f_at	H2-Q1	histocompatibility 2, Q region locus 1	1.79
94006_at	Azi2	5-azacytidine induced gene 2	1.79
97770_s_at	D6Wsu176e	DNA segment, Chr 6, Wayne State University 176	1.79
98476_at	2900054D09Rik	ankyrin 3, epithelial	1.79
101451_at	Peg3	paternally expressed 3	1.77
104634_at	Lims1	LIM and senescent cell antigen-like domains 1-like	1.76
92898_at	Cyp7b1	cytochrome P450, 7b1	1.76
94967_at	D19Wsu12e	hypothetical protein MGC28180	1.76
96593_at	Elk1	ELK1, member of ETS oncogene family	1.76
102769_f_at	Sc5d	sterol-C5-desaturase (fungal ERG3, delta-5-desaturase) homolog (S. cerevisae)	1.75
96628_at	Eprs	RIKEN cDNA 2410081F06 gene	1.75
101901_at	Mpdu1	mannose-P-dolichol utilization defect 1	1.74
103223_at	5830406C15Rik	RIKEN cDNA 5830406C15 gene	1.74
160958_at	9430016H08Rik	RIKEN cDNA 9430016H08 gene	1.74
161663_f_at	1810055D05Rik	RIKEN cDNA 1810055D05 gene	1.74
160682_at	6430706D22Rik	UI-1-CF0-aml-d-08-0-UI.s1 Mus musculus cDNA	1.73
103982_s_at	Adh4	alcohol dehydrogenase 4 (class II), pi polypeptide	1.72
104355_at	Fus	pigpen	1.72
103939_at	Hibch	hypothetical protein MGC31364	1.71
104595_at	Stag2	stromal antigen 2	1.7
160980_at	2700097O09Rik	RIKEN cDNA 2700097O09 gene	1.7
92564_at	Lrrfip1	expressed sequence AU024550	1.7
98999_at	Adsl	adenylosuccinate lyase	1.7
103794_i_at	Timd2	T-cell immunoglobulin and mucin domain containing 2	1.69
93871_at	Il1rn	interleukin 1 receptor antagonist	1.69
101107_at	Calu	calumenin	1.68
102356_at	Wdr23	RIKEN cDNA 0710008A13 gene	1.68
97338_at	BC019977	cDNA sequence BC019977	1.68
99191_at	Cri1	CREBBP/EP300 inhibitory protein 1	1.68
162129_f_at	Ppfibp2	protein tyrosine phosphatase, receptor-type, F interacting protein, binding protein 2	1.67
94815_at	Bpgm	2,3-bisphosphoglycerate mutase	1.67
98498_at	Casp7	caspase 7	1.67
160394_at	D930014A20Rik	Mus musculus, Similar to CGI-87 protein	1.66
102381_at	Acsl4	expressed sequence AU018108	1.65
102384_at	Smarca2	RIKEN cDNA 2610209L14 gene	1.65
160204_at	3110013H01Rik	RIKEN cDNA 3110013H01 gene	1.65
101006_at	Acat2	t-complex protein 1, related sequence 1	1.64
102056_f_at	2610002J02Rik	RIKEN cDNA 2610002J02 gene	1.64
96199_at	Mtm1	X-linked myotubular myopathy gene 1	1.64
104719_at	Slc12a7	solute carrier family 12, member 7	1.63
161445_at		expressed sequence AU022220	1.63
92302_at	Sos2	Son of sevenless homolog 2, (Drosophila)	1.63
104063_at	Srcasm	Src activating and signaling molecule	1.62
104200_at	Slc5a6	ESTs, Moderately similar to SL56_RAT Sodium-dependent multivitamin transporter (Na(+)-dependent multivitamin transporter) [R.norvegicus]	1.62
160361_at	Trappc4	synbindin	1.62
97738_r_at	BC034204	Mus musculus, clone IMAGE:4987053, mRNA	1.62
102328_at	Casp8	caspase 8	1.61
103441_at	Csnk2a1	casein kinase II, alpha 1 related sequence 4	1.61
92546_r_at	Ptgds	prostaglandin D2 synthase (21 kDa, brain)	1.61
93424_at	Phr1	Mus musculus, clone IMAGE:4489220, mRNA	1.61
93625_at	Agxt	alanine-glyoxylate aminotransferase	1.61
97896_r_at	Hat1	RIKEN cDNA 2410071B14 gene	1.61
160263_r_at	Ndfip2	Nedd4 WW binding protein 5A	1.6
160297_at	AI413631	Mus musculus, similar to CG15881 gene product (H. sapiens	1.6
160765_at	Ptges2	prostaglandin E synthase 2	1.6
