Fold change	Gene title	Gene symbol	Genebank40	Expression
2.1	Regulator of G-protein signaling 16	Rgs16	U94828.1	Up-regulated
2.09	Granzyme G	Gzmg	NM_010375.1	Up-regulated
1.92	Secreted phosphoprotein 1	Spp1	NM_009263.1	Up-regulated
1.89	Granzyme E (n=2)	Gzme	NM_010373.1	Up-regulated
1.77	Chemokine (C-X-C motif) receptor 6	Cxcr6	AF301018.1	Up-regulated
1.64	S100 calcium binding protein A4	S100a4	D00208.1	Up-regulated
1.49	Granzyme C	Gzmc	NM_010371.1	Up-regulated
1.36	Thioredoxin interacting protein	Txnip	NM_023719.1	Up-regulated
1.32	S100 calcium binding protein A10 (calpactin)	S100a10	NM_009112.1	Up-regulated
1.32	Poly A binding protein, cytoplasmic 1	Pabpc1	NM_008774.1	Up-regulated
1.29	Semaphorin 4A	Sema4a	NM_013658.1	Up-regulated
1.29	Ribosomal protein S2 (n=2)	Rps2	AK004568.1	Up-regulated
1.26	Similar to glyceraldehyde-3-phosphate dehydrogenase	LOC14433	NM_008084.1	Up-regulated
1.26	Rho, GDP dissociation inhibitor (GDI) beta	Arhgdib	AK002516.1	Up-regulated
1.26	Ribosomal protein, large, P1	Rplp1	NM_018853.1	Up-regulated
1.26	Lectin, galactose binding, soluble 1	Lgals1	NM_008495.1	Up-regulated
1.26	Ribosomal protein L5	Rpl5	BC026934.1	Up-regulated
1.26	Ribosomal protein L26	Rpl26	NM_009080.1	Up-regulated
1.26	Ribosomal protein L13	Rpl13	NM_016738.1	Up-regulated
1.26	Actin, beta, cytoplasmic (n=2)	Actb	M12481.1	Up-regulated
1.26	Adenylosuccinate lyase	Adsl	K00131.1	Up-regulated
1.26	Caspase 3, apoptosis related cysteine protease	Casp3	D86352.1	Up-regulated
?1.45	Calponin 3, acidic (n=3)	Cnn3	BB724741	Down-regulated
?1.49	Suppressor of cytokine signaling 3 (n=2)	Socs3	BB241535	Down-regulated
?1.49	RIKEN cDNA 1110035L05 gene	1110035L05Rik	NM_026125.1	Down-regulated
?1.52	Calponin 3, acidic	Cnn3	AV172168	Down-regulated
?1.55	Tumor necrosis factor receptor superfamily, member 8	Tnfrsf8	NM_009401.1	Down-regulated
?1.59	Interleukin 1 receptor, type II	Il1r2	NM_010555.1	Down-regulated
?1.70	T-cell receptor gamma chain /// T cell receptor gamma chain	Tcrg	NM_011558.2	Down-regulated
?1.74	Histocompatibility 2, Q region locus 10	H2-Q10	BC011215.1	Down-regulated
?1.76	T cell receptor associated transmembrane adaptor 1	Trat1	BB622792	Down-regulated
?1.78	FERM domain containing 4B	Frmd4b	BB009122	Down-regulated
?1.95	Aryl-hydrocarbon receptor	Ahr	NM_013464.1	Down-regulated
?2.00	Insulin-like growth factor binding protein 4 (n=4)	Igfbp4	BC019836.1	Down-regulated
?2.45	Extracellular matrix protein 1	Ecm1	NM_007899.1	Down-regulated
?3.32	Lumican	Lum	AK014312.1	Down-regulated
?3.35	Interleukin 17	Il17	NM_010552.1	Down-regulated
?4.61	Transglutaminase 2, C polypeptide (n=4)	Tgm2	BC016492.1	Down-regulated
