Acc	Symbol	name	Unigene	LLID	Function	Chromosome	Cytoband	0439gpr MPP vs LT	0461gpr LT vs MPP	5351gpr MPP vs LT	5352gpr LT vs MPP	5359gpr LT vs MPP	5360gpr MPP vs LT	Pass	Fold change	1/fold change	Score(d)	Numerator(r)	Denominator(s+s0)	q-value (%)
AA165755	Tgm2	transglutaminase 2, C polypeptide	Mm.330731	21817		2		-4.1621	-5.196	-4.6521	-4.519	-4.0976	-2.8837	6	6.01E-02	16.64671122	-5.565358147	-4.25175	0.763967006	0.289800804
AU043587	Map17	membrane-associated protein 17	Mm.30181	67182		4	4 D1	-2.8617	-2.6013	-3.1679	-3.0476	-3.0176	-3.8013	6	0.121631572	8.221549558	-5.048776542	-3.0829	0.610623183	0.289800804
BG065213	Grb10	growth factor receptor bound protein 10	Mm.273117	14783		11		-3.1919	-4.0637	-4.1954	-4.4767	-4.7927		5	0.217467959	4.598378555	-4.713672096	-3.846655	0.816063341	0.289800804
NA	NA	NA	NA		NA			-2.1409	-3.4098	-3.6238	-3.136	-3.2348	-2.8342	6	0.12702548	7.872436325	-4.639825505	-3.06325	0.660208018	0.289800804
NA	NA	NA	NA		NA			-3.6779	-4.1824	-4.5298	-4.4233	-2.3275	-3.0739	6	9.02E-02	11.08858761	-4.636755378	-3.702466667	0.798503774	0.289800804
BG075820	Dach1	dachshund 1 (Drosophila)	Mm.320593	13134		14		-1.9565	-3.1344	-3.0192	-2.8133	-3.47	-2.322	6	0.154564432	6.469793786	-4.136614991	-2.7859	0.673473361	0.289800804
AV065302				NA	AA473390 EST:blastocyst:Mus musculus		NA	-1.7459	-2.7333	-2.842	-2.9049	-2.5782	-2.5139	6	0.177340957	5.638855317	-4.125054022	-2.553033333	0.618909066	0.289800804
AI007070	Tek	endothelial-specific receptor tyrosine kinase	Mm.14313	21687		4		-3.8387	-3.1035	-4.0574	-3.7733	-1.9941	-2.5504	6	0.12352816	8.095320124	-4.123693129	-3.219566667	0.780748365	0.289800804
AV093842				NA	apolipoprotein E		NA	-3.2937	-2.5559	-2.9901	-2.6571	-2.6024	-1.7352	6	0.170244065	5.873919886	-3.994922441	-2.639066667	0.660605232	0.289800804
BG074617	Tgm2	transglutaminase 2, C polypeptide	Mm.330731	21817		2		-3.6146	-4.6735	-4.0465	-3.8718	-1.2457	-3.123	6	0.131023141	7.632239539	-3.686865835	-3.429183333	0.93010798	0.289800804
