Unigene ID	Gene	Mean rank	Golub rank	CFM rank	CF2 rank	GOLUB	CFM	CF2 T/N (%)	Meta-analysis	Expression
Hs.171353	Non-coding RNA DD3	2	1	1	3	0.99	10.13	80.49		Upregulated genes
Hs.303171	Prostate-specific G protein-coupled receptor (PSGR)	4	4	3	6	0.74	2.65	61.9		Upregulated genes
Hs.274509	T-cell receptor aberrantly rearranged gamma-chain	4	9	2	2	0.67	3.95	81.58		Upregulated genes
Hs.387834	ABCC4 ATP-binding cassette, subfamily C (CFTR/MRP), member 4	5	5	4	6	0.72	2.55	61.9		Upregulated genes
Hs.182793	Golgi membrane protein GP73 (LOC51280)	6	2	7	9	0.87	2.19	57.14		Upregulated genes
Hs.31608	Transient receptor potential cation channel, subfamily M, member 4 (TRPM4)	7	7	13	1	0.71	1.88	81.82		Upregulated genes
Hs.272458	DKFZp761L0516	17	11	16	24	0.65	1.81	42.86	x	Upregulated genes
Hs.692	Tumour-associated calcium signal transducer 1 (TACSTD1)	18	8	11	35	0.71	1.95	38.1		Upregulated genes
Hs.8859	3898917	21	14	14	35	0.62	1.84	38.1		Upregulated genes
Hs.75497	Tumour protein p53 inducible nuclear protein 1 (TP53INP1)	21	16	18	28	0.61	1.79	40.48		Upregulated genes
Hs.83190	Fatty acid synthase (FASN)	27	45	15	20	0.46	1.83	45.24	x	Upregulated genes
Hs.91011	Anterior gradient 2 homolog (Xenopus laevis) (AGR2)	28	49	8	27	0.45	2.12	41.03		Upregulated genes
Hs.38972	Tetraspan 1 (TSPAN-1)	28	20	44	20	0.57	1.5	45.24		Upregulated genes
Hs.38085	MGC15937	28	17	28	40	0.59	1.61	36.11		Upregulated genes
Hs.296638	Prostate differentiation factor (PLAB)	28	61	10	14	0.44	2.02	53.13	x	Upregulated genes
Hs.177582	Surfactant, pulmonary-associated protein A2 (SFTPA2)	29	63	5	19	0.43	2.38	48.65		Upregulated genes
Hs.75441	Hydroxysteroid (17-beta)-dehydrogenase 4 (HSD17B4)	30	27	21	41	0.52	1.76	35.71		Upregulated genes
Hs.299867	Hepatocyte nuclear factor 3, alpha (HNF3A)	30	24	42	24	0.53	1.53	42.86		Upregulated genes
Hs.333303	Gap junction protein, beta 1, 32 kDa (GJB1)	34	3	39	59	0.74	1.55	26.83		Upregulated genes
Hs.116467	PRAC Small nuclear protein PRAC	34	58	26	17	0.44	1.63	51.28		Upregulated genes
Hs.22791	DKFZp564L1878	38	66	20	28	0.42	1.76	40.48		Upregulated genes
Hs.1915	Folate hydrolase (prostate-specific membrane antigen) 1 (FOLH1)	41	102	6	15	0.36	2.36	52.38		Upregulated genes
Hs.230	Fibromodulin (FMOD)	42	18	57	52	0.58	1.47	30.95		Upregulated genes
Hs.79414	Prostate epithelium-specific Ets transcription factor (PDEF)	43	65	19	46	0.42	1.79	33.33		Upregulated genes
Hs.75212	Ornithine decarboxylase 1 (ODC1)	46	68	36	34	0.42	1.57	38.46		Upregulated genes
Hs.12540	Lysophospholipase I (LYPLA1)	46	31	40	67	0.51	1.55	23.81		Upregulated genes
Hs.81934	Acyl-Coenzyme A dehydrogenase, short/branched chain (ACADSB)	48	52	27	64	0.45	1.63	24.39		Upregulated genes
Hs.65114	Keratin 18 (KRT18)	48	101	17	26	0.36	1.8	41.46		Upregulated genes
Hs.155040	Zinc finger protein 217 (ZNF217)	48	48	51	45	0.45	1.49	34.29		Upregulated genes
Hs.4193	Membrane glycoprotein LIG-1	50	37	46	67	0.5	1.5	23.81		Upregulated genes
Hs.10247	CD166 protein	50	47	43	61	0.45	1.52	26.19		Upregulated genes
Hs.28491	Spermidine/spermine N1-acetyltransferase (SAT)	51	70	33	49	0.41	1.59	32.35		Upregulated genes
Hs.13421	KIAA0056	52	89	35	33	0.37	1.58	38.89		Upregulated genes
Hs.83383	Peroxiredoxin 4 (PRDX4)	54	74	31	57	0.4	1.6	28.57		Upregulated genes
Hs.21293	UDP-N-acetylglucosamine pyrophosphorylase 1 (UAP1)	56	12	59	96	0.64	1.46	19.05	x	Upregulated genes
Hs.79069	Cyclin G2 (CCNG2)	58	69	37	67	0.41	1.57	23.81		Upregulated genes
Hs.8402	MGC11266	60	35	63	82	0.5	1.45	21.43		Upregulated genes
Hs.108802	NSF N-ethylmaleimide-sensitive factor	62	23	72	92	0.54	1.42	19.51		Upregulated genes
Hs.302738	FLJ21425	65	43	70	82	0.47	1.42	21.43		Upregulated genes
Hs.171995	KLK3 Kallikrein 3 (prostate-specific antigen)	66	91	56	52	0.37	1.47	30.95		Upregulated genes
Hs.104696	KIAA1324 protein	66	87	45	67	0.38	1.5	23.81		Upregulated genes
Hs.27373	DKFZp564O1763	68	71	71	62	0.41	1.42	25.81		Upregulated genes
Hs.24743	FLJ20171	70	51	62	96	0.45	1.46	19.05		Upregulated genes
Hs.11463	UMP-CMP kinase (UMP-CMPK)	74	44	81	96	0.46	1.38	19.05		Upregulated genes
Hs.12330	Ectonucleoside triphosphate diphosphohydrolase 6 (putative function) (ENTPD6)	76	72	60	96	0.4	1.46	19.05		Upregulated genes
Hs.184298	Cyclin-dependent kinase 7 (MO15 homologue,Xenopus laevis, cdk-activating kinase) (CDK7)	82	42	94	111	0.47	1.34	17.14		Upregulated genes
Hs.13456	Old astrocyte specifically induced substance (OASIS)	86	106	64	88	0.35	1.45	20		Upregulated genes
Hs.170160	RAB2, member RAS oncogene family-like (RAB2L)	87	67	86	108	0.42	1.37	17.5		Upregulated genes
Hs.286124	CD24 antigen (CD24)	89	105	66	96	0.35	1.44	19.05		Upregulated genes
Hs.80342	Keratin 15	4	6	1	5	?0.69	0.32	66.7		Downregulated genes
Hs.301885	FLJ11346 fis	4	4	5	2	?0.76	0.41	78.1		Downregulated genes
Hs.115173	602136629F1	8	5	7	12	?0.71	0.43	56.1		Downregulated genes
Hs.80247	Cholecystokinin (CCK)	9	21	3	3	?0.56	0.39	71.4		Downregulated genes
Hs.171731	Solute carrier family 14 (SLC14A1)	15	10	27	9	?0.63	0.58	57.7		Downregulated genes
Hs.34853	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	18	7	13	33	?0.67	0.53	42.9		Downregulated genes
Hs.278581	Fibroblast growth factor receptor 2 (FGFR2), transcript variant 10	20	1	14	46	?0.99	0.53	35.7		Downregulated genes
Hs.82223	3942645	24	31	8	34	?0.53	0.46	41.5		Downregulated genes
Hs.301914	DKFZp586K1220	27	34	19	28	?0.52	0.55	44.4		Downregulated genes
Hs.284122	WNT inhibitory factor 1 (WIF1)	28	30	23	32	?0.53	0.56	43.2		Downregulated genes
Hs.2463	KIAA0003	31	14	22	58	?0.61	0.56	31		Downregulated genes
Hs.119498	Zyxin-related protein ZRP-1	31	3	16	75	?0.76	0.54	28.2		Downregulated genes
