Probe Set	GenBank	Gene Symbol	Gene name / description	Fold change
1421556	BC063325	Serpina3a	serine (or cysteine) peptidase inhibitor, clade A, member 3A	3.48
1442531	None	None	DNA segment, Chr 12, ERATO Doi 123, expressed	2.66
1442845	AK081767	2810489O06RIK	RIKEN cDNA C130075A20 gene	2.64
1441684	AK011858	Ttc3	tetratricopeptide repeat domain 3	2.59
1446345	AK033910	Tbl1x		2.59
1441187	AK087893	E330037M01RIK	RIKEN cDNA E330037M01 gene	2.41
1446921	None	None	Transcribed locus	2.4
1444670	AK079471	Smyd3	RIKEN cDNA A130004G11 gene	2.38
1443353	None	None		2.34
1444973	None	None	Large conductance calcium activated potassium BK channel STREX-1 variant (Slo)	2.33
1441558	AK052079	D230044B12RIK	RIKEN cDNA D230044B12 gene	2.31
1446797	None	None	RIKEN cDNA A330075M08 gene	2.3
1453395	AK017233	6030495B02RIK	RIKEN cDNA 5330403D14 gene	2.3
1457356	None	None	Insulin-like growth factor 2 receptor (Igf2r), mRNA	2.25
1443075	None	None	Transcribed locus	2.25
1426519	NM_011030	P4ha1	procollagen-proline, 2-oxoglutarate 4-dioxygenase, alpha 1 polypeptide	2.21
1419593	NM_015764	Greb1	gene regulated by estrogen in breast cancer protein	2.2
1438612	NM_025469	Clps	colipase, pancreatic	2.2
1445641	None	None		2.17
1454156	AK020712	2810022L02RIK	RIKEN cDNA A230104H11 gene	2.16
1442656	None	None	DNA segment, Chr 3, ERATO Doi 343, expressed	2.16
1441769	None	None	ADP-ribosylation factor related protein 2 (Arfrp2)	2.16
1456955	AK089161	5830417C01RIK	RIKEN cDNA 5830417C01 gene (5830417C01Rik)	2.14
1440028	NM_175422	4631423B10RIK		2.14
1460063	AK041660	Mlr1	DNA segment, Chr 5, ERATO Doi 798, expressed	2.14
1453391	AK016255	Speedr4d	spermatogenesis associated glutamate (E)-rich protein 7, pseudogene 1	2.14
1453841	AK009920	6030495B02RIK	RIKEN cDNA 2310050P20 gene	2.14
1426600	M22998	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	2.13
1440292	None	None	DNA segment, Chr 13, ERATO Doi 666, expressed	2.13
1458486	AK040066	4632419I22RIK	RIKEN cDNA 4632419I22 gene	2.13
1449340	NM_025312	Sostdc1	sclerostin domain containing 1	2.12
1438878	AK032398	Efna5	RIKEN cDNA 6430537K16 gene	2.11
1457806	AK044953	Dock1	dedicator of cyto-kinesis 1	2.11
1440650	None	None	SLIT2 (Slit2)	2.11
1458161	NR_001461	None	KCNQ1 overlapping transcript 1	2.1
1446127	AK041408	Zfhx1a	Zinc finger homeobox 1a (Zfhx1a), mRNA	2.1
1443430	None	None	CASP2 and RIPK1 domain containing adaptor with death domain	2.1
1419647	NM_133662	Ier3	immediate early response 3	2.09
1446497	AK085390	Nav1	Importin9 isoform 1 (Importin9)	2.08
1438788	AK081569	Ankrd17	DNA segment, Chr 5, Wayne State University 152, expressed	2.08
1442311	None	None	PREDICTED: hypothetical protein XP_484812 [Mus musculus]	2.08
1441372	AK031107	D18ERTD653E	RIKEN cDNA 5930405F01 gene	2.07
1426599	NM_011400	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	2.07
1436319	AK076327	Sulf1	sulfatase 1	2.07
1457161	AK035394	AI642036	RIKEN cDNA 9530029O12 gene	2.05
1447147	None	None	Autophagy-related 7 (yeast) (Atg7), mRNA	2.03
1457559	None	None		2.03
1433691	NM_016854	Ppp3r1c	protein phosphatase 1, regulatory (inhibitor) subunit 3C	2.01
