Up/down	Gene symbol	Gene name	Reporter	Accession number	Fisher score
Up	IFITM1	Interferon induced transmembrane protein 1 (9-27)	H200013562	NM_003641	2.676326037
Up	STK19	Serine/threonine kinase 19	H200000120	NM_032454	2.531949872
Down	SLC25A4	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	H200000524	NM_001151	-2.376833003
Up	FLJ32009	Hypothetical protein FLJ32009	H200005407	AK056571	2.17288006
Down	RPS21	Ribosomal protein S21	H300017312	NM_001024	-2.171824379
Up	KLEIP	Kelch-like ECT2 interacting protein	H200011436	NM_014458	2.030516969
Up	KIF2C	Kinesin family member 2C	H200005673	NM_006845	2.007782192
Up	GAS2	Growth arrest-specific 2	H200012857	NM_005256	1.982104104
Down	ALOX12B	Arachidonate 12-lipoxygenase, 12R type	H200013218	NM_001139	-1.948017227
Up	CYBB	Cytochrome b-245, beta polypeptide (chronic granulomatous disease)	H200010299	NM_000397	1.92725282
Up	SLC9A3R1	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	H200014267	NM_004252	1.866108515
Up	HSGP25L2G	Gp25L2 protein	H200017559	BC001123	1.858998032
Down	KIAA0102	KIAA0102 gene product	H200006432	NM_014752	-1.850753867
Up	TAF5	TAF5 R polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	H200010729	NM_006951	1.842287769
Down	CGI-62	CGI-62 protein	H200012156	NM_016010	-1.792141439
Up	TST	Thiosulfate sulfurtransferase (rhodanese)	H200021293	NM_003312	1.772526931
Up	DKFZP434J1	WIPI49-like protein 2	H200015347	NM_015610	1.758157235
Down	AREG	Amphiregulin (schwannoma-derived growth factor)	H200016719	NM_001657	-1.754125312
Up	BZRAP1	Benzodiazapine receptor (peripheral) associated protein 1	H200011827	NM_004758	1.744707787
Up	MGC15887	Hypothetical gene supported by BC009447	H200004439	BC009447	1.738315485
Down	HLF	Hepatic leukemia factor	H200016237	M95585	-1.699523277
Down	TAF7	TAF7 R polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	H200014042	NM_005642	-1.699441589
Up	TOPBP1	Topoisomerase (D) II binding protein 1	H200010489	NM_007027	1.695783031
Up	ZBTB34	Zinc finger and BTB domain containing 34	H200008279	AK055661	1.694699826
Down	BEAN	Brain expressed, associated with Nedd4	H200011076	AK056142	-1.693565584
Down	PLEKHA6	Pleckstrin homology domain containing, family A member 6	H200019960	BC010522	-1.687490685
Down	WASF3	WAS protein family, member 3	H200006929	AB020707	-1.682748645
Up	GOLGIN-67	Golgin-67	H200008633	AF204231	1.648184696
Down	MTPN	Myotrophin	H200003003	AK055660	-1.639811319
Up	NIPA2	Non imprinted in Prader-Willi/Angelman syndrome 2	H200007053	BC011775	1.635135099
Down	GP1BB	Glycoprotein Ib (platelet), beta polypeptide	H200017802	L20860	-1.630816307
Up	RF	Nuclear prelamin A recognition factor	H200016410	NM_031968	1.628022923
