Function	Accession number	Description	Relative expression levels of AT-MSCs	Relative expression levels of AT-MSC-derived hepatocytes	Relative expression levels of Human liver	Human  hepatocytes
CYP450	AF355802	CYP3A5 mRNA, allele CYP3A5, exon 5B and partial CDS, alternatively spliced	0.02	1.75	8.71	1
CYP450	NM_031226	cytochrome P450, family 19, subfamily A, polypeptide 1, transcript variant 2	0.05	5.51	0.13	1
CYP450	NM_000762	cytochrome P450, family 2, subfamily A, polypeptide 6	0.05	0.61	493.31	1
CYP450	NM_000770	cytochrome P450, family 2, subfamily C, polypeptide 8, transcript variant Hp1-1	0.06	6.23	348.38	1
CYP450	NM_000775	cytochrome P450, family 2, subfamily J, polypeptide 2	0.01	0.32	2.01	1
CYP450	NM_000500	cytochrome P450, family 21, subfamily A, polypeptide 2	0.18	3.22	3.96	1
CYP450	NM_057157	cytochrome P450, family 26, subfamily A, polypeptide 1, transcript variant 2	0.02	0.42	1.85	1
CYP450	NM_017460	cytochrome P450, family 3, subfamily A, polypeptide 4	0.01	1.72	16.75	1
CYP450	NM_000765	cytochrome P450, family 3, subfamily A, polypeptide 7	0.01	10.04	5.38	1
CYP450	NM_016593	cytochrome P450, family 39, subfamily A, polypeptide 1	0.02	0.96	4.27	1
CYP450	NM_000779	cytochrome P450, family 4, subfamily B, polypeptide 1	0.65	21.02	1.2	1
CYP450	NM_021187	cytochrome P450, family 4, subfamily F, polypeptide 11	0.02	0.25	3.92	1
CYP450	NM_023944	cytochrome P450, family 4, subfamily F, polypeptide 12	0.01	0.16	1.77	1
CYP450	NM_000896	cytochrome P450, family 4, subfamily F, polypeptide 3	0.04	1.25	10.45	1
CYP450	NM_004820	cytochrome P450, family 7, subfamily B, polypeptide 1	0.09	1.55	4.67	1
CYP450	NM_004391	cytochrome P450, family 8, subfamily B, polypeptide 1	0.01	0.63	24.42	1
ABC transporter	NM_173076	ATP-binding cassette, sub-family A, member 12, transcript variant 1	0.56	6.28	1.37	1
ABC transporter	NM_001089	ATP-binding cassette, sub-family A, member 3	0.01	0.33	0.13	1
ABC transporter	NM_080284	ATP-binding cassette, sub-family A, member 6, transcript variant 1	0.39	4.61	16.06	1
ABC transporter	NM_000927	ATP-binding cassette, sub-family B, member 1	0.01	0.7	0.76	1
ABC transporter	NM_003742	ATP-binding cassette, sub-family B, member 11	0.05	1.98	13.24	1
ABC transporter	NM_018850	ATP-binding cassette, sub-family B, member 4, transcript variant C	0.01	0.55	6.34	1
ABC transporter	NM_033151	ATP-binding cassette, sub-family C, member 11, transcript variant 2	0.03	0.31	9.81	1
ABC transporter	NM_000392	ATP-binding cassette, sub-family C, member 2	0.02	0.29	0.79	1
ABC transporter	NM_020038	ATP-binding cassette, sub-family C, member 3, transcript variant MRP3B	0.02	0.35	0.81	1
ABC transporter	NM_022436	ATP-binding cassette, sub-family G, member 5	0.02	0.8	2.59	1
Coagulation	NM_000506	coagulation factor II	0.01	0.35	2.83	1
Coagulation	NM_000133	coagulation factor IX	0.01	2.49	98.68	1
