Gene	Name	Accession no.	Fold change N vs MGUS	Fold change N vs MM
FABP4	Fatty acid binding protein 4, adipocyte	AA128249	-12.2	-13.94
PPBP	Pro-platelet basic protein (chemokine [C-X-C motif] ligand 7)	M54995	NA	-12
CD5L	CD5 antigen-like (scavenger receptor cysteine rich family)	U82812	-10.49	-11.2
CD163	CD 163 antigen	Z22971	-6.51	-7.81
HLA-DRA	Major histocompatibility complex, class 2, DR alpha	J00194	-6.18	-9.42
SEPP1	Selenoprotein P, plasma, 1	Z11793	-5.89	-9.29
FNBP1	Formin-binding protein 1	AB011126	-5.5	-8.48
SAT	Spermidine/spermine N1-acetyltransferase	M77693	-4.8	-11.24
Cluster Incl	Unknown	AA203487	-4.61	-6.91
CTSH	Cathepsin H	X16832	-4.57	-9.52
PF4	Platelet factor 4 (chemokine [C-X-C motif] ligand 4)	M25897	-4.15	-15.38
CLECSF2	C-type (calcium-dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced)	X96719	-4.47	-7.07
HLA-DPA1	Major histocompatibility complex, class 2, DP alpha 1	X00457	-3.27	-5.82
TMSB4X	Thymosin,4, X chromosome	M17733	-3.04	-7.05
TNFRSF7	Tumor necrosis factor receptor superfamily, member 7	M63928	-2.96	-7.64
MARCKS	Myristoylated alanine-rich protein kinase C substrate	D10522	-1.95	-4.71
RING1	Ring finger protein 1	AL031228	1.4	2.92
NY-REN-24	NY-REN-24 antigen	AF052087	NA	2.18
NME1	Nonmetastatic cells 1, protein (NM23A) expressed in	X73066	2.4	2.18
GLI3	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)	M57609	2.41	2.14
WIT1	Wilms tumor-associated protein	X69950	2.53	2.42
RPL14	Ribosomal protein L 14	D87735	NA	2.56
PPP1CA	Protein phosphatase 1, catalytic subunit, alpha isoform	S57501	2.53	2.61
Cluster Incl	Unknown	A1687419	NA	2.71
GNL1	Guanine nucleotide binding protein-like 1	L25665	4.36	2.85
