Unigene #	Gene	Descripiton	Fold Change (log 2) U87	SF126	SF539
Hs.429294	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	1.5848	1.0814	1.1244
Hs.471461	ACSL3	Acyl-CoA synthetase long-chain family member 3	1.2423	1.5231	1.6914
Hs.268785	ACSL4	Acyl-CoA synthetase long-chain family member 4	1.5629	1.6648	1.5797
Hs.509765	ACTN1	Actinin, alpha 1	1.0011	1.1897	1.5185
Hs.393201	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	1.4237	1.0457	1.8676
Hs.150402	ACVR1	activin A receptor, type I=Ser/Thr protein kinase receptor R1	1.2883	1.2529	1.3751
Hs.2442	ADAM9	A disintegrin and metalloproteinase domain 9 (meltrin gamma)	1.6789	1.3432	1.7162
Hs.498313	ADSS	Adenylosuccinate synthase	1.1363	1.4457	1.2801
Hs.515053	AES	Amino-terminal enhancer of split	1.5198	1.8321	2.1584
Hs.904	AGL	Amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	1.251	1.5334	1.7011
Hs.159118	AMD1	Adenosylmethionine decarboxylase 1	1.2026	1.8569	1.8943
Hs.494173	ANXA1	Annexin A1	1.5494	1.4971	1.7382
Hs.406191	AP3S1	Adaptor-related protein complex 3, sigma 1 subunit	2.1708	1.3507	1.4215
Hs.62578	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	1.6497	1.7298	1.5973
Hs.6838	ARHE	Rho family GTPase 3	1.7558	1.4882	1.5214
Hs.372616	ARL1	ADP-ribosylation factor-like 1	1.0714	1.0162	1.1354
Hs.514870	ATP5F1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b, isoform 1	1.3973	1.5191	1.7002
Hs.429	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	1.1642	1.0829	1.4614
Hs.533526	ATRX	Alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	1.2156	1.517	1.9389
Hs.55220	BAG2	BCL2-associated athanogene 2	1.2491	1.3464	1.3782
Hs.13261	BAI3	Brain-specific angiogenesis inhibitor 3	1.6229	1.6078	1.8126
Hs.513520	BCKDK	Branched chain ketoacid dehydrogenase kinase	1.2289	1.3986	1.7656
Hs.489132	BET1	BET1 homolog (S. cerevisiae)	1.061	1.3097	1.0701
Hs.10136	BPHL	Biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	1.1591	1.3581	1.3721
Hs.499833	C10orf74	Chromosome 10 open reading frame 74	1.5987	1.6633	2.1496
Hs.72925	C11orf13	Chromosome 11 open reading frame 13	1.2271	1.4682	1.5697
