Genbank ID	Gene Title	Gene Symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos FC ± SEM	Gene sequence
AW986054	interferon-induced protein 35	Ifi35	-1.6 ± 0.4	N.C.	N.C.	N.C.	506
AV229143	interferon activated gene 202B	Ifi202b	-2.7 ± 0.4	N.C.	-2.1 ± 0.4	N.C.	405
AY090098	interferon, alpha-inducible protein 27	Ifi27	N.C.	N.C.	-2.0 ± 0.5	N.C.	509
AI481797	interferon activated gene 205 /// myeloid cell nuclear differentiation antigen	Ifi205 /// Mnda	-1.6 ± 0.4	N.C.	N.C.	N.C.	1208
BM243571	GTPase, very large interferon inducible 1	Gvin1	-2.0 ± 0.5	N.C.	N.C.	N.C.	1703
BB329808	interferon-induced protein 44	Ifi44	-1.7 ± 0.4	N.C.	-1.7 ± 0.4	-2.3 ± 0.4	1429
BF537076	interferon gamma receptor 2	Ifngr2	-1.5 ± 0.4	N.C.	N.C.	N.C.	1648
BC008167	interferon activated gene 203 /// similar to interferon-inducible protein 203	Ifi203 /// LOC547362	N.C.	N.C.	-1.5 ± 0.4	N.C.	1502
BC008167	interferon activated gene 203	Ifi203	-3.9 ± 0.4	N.C.	N.C.	-2.0 ± 0.4	1503
NM_008332	interferon-induced protein with tetratricopeptide repeats 2	Ifit2	-1.5 ± 0.4	N.C.	N.C.	-1.7 ± 0.4	1744
NM_019440	interferon inducible GTPase 2	Iigp2	-1.9 ± 0.4	N.C.	N.C.	N.C.	1836
NM_011871	protein kinase, interferon inducible double stranded RNA dependent activator	Prkra	-1.7 ± 0.4	N.C.	N.C.	N.C.	1810
AI413530	C-type lectin domain family 2, member e	Clec2e	N.C.	-2.1 ± 0.4	N.C.	N.C.	271
NM_018729	CD244 natural killer cell receptor 2B4 /// similar to Natural killer cell receptor 2B4 precursor (NKR2B4) (NK cell type I receptor protein 2B4) (CD244 antigen) (Non MHC restricted killing associated)	Cd244 /// LOC677008	N.C.	-2.5 ± 0.4	N.C.	N.C.	61
BC003824	CD72 antigen	Cd72	N.C.	N.C.	-1.9 ± 0.4	N.C.	28
M11456	T-cell receptor beta, joining region /// T-cell receptor beta, variable 13 /// similar to T cell antigen receptor	Tcrb-J /// Tcrb-V13 /// LOC381765	N.C.	N.C.	-1.8 ± 0.4	N.C.	30
NM_053109	C-type lectin domain family 2, member d	Clec2d	-4.1 ± 0.5	N.C.	N.C.	N.C.	33
X67128	T-cell receptor beta, variable 13	Tcrb-V13	N.C.	N.C.	-2.2 ± 0.4	N.C.	34
BG071836	Interleukin 1 receptor accessory protein-like 2	Il1rapl2	N.C.	-3.3 ± 0.4	N.C.	N.C.	39
BI408205	lymphocyte antigen 6 complex, locus E	Ly6e	-1.7 ± 0.4	N.C.	N.C.	N.C.	22
NM_008694	neutrophilic granule protein	Ngp	N.C.	N.C.	-2.3 ± 0.5	N.C.	23
NM_008330	interferon gamma inducible protein 47	Ifi47	-1.7 ± 0.4	N.C.	N.C.	N.C.	32
