Unigene	Symbol	Description	Functions	Fold change	P
Hs.1279	C1R	Complement component 1, r subcomponent	Complement	3.92	0.03914
Hs.334370	BEX1	Brain expressed, X-linked 1	Transcription factor	3.7	0.04382
Hs.170177	MEIS1	Myeloid ecotropic viral integration site 1 homolog	Homeobox	2.69	0.04748
Hs.50081	KIAA1199	KIAA1199 protein	?	2.64	0.0058
Hs.177635	SEMACA	Likely ortholog of mouse semaF cytoplasmic domain-associated protein 3	?	2.6	0.03666
Hs.76722	CEBPD	CCAAT/enhancer-binding protein, 	Transcription factor, inflammation process	2.45	0.00127
Hs.433703	PAPPA	Pregnancy-associated plasma protein A	Metalloproteinase	2.38	0.01349
Hs.184736	FLJ10097	Hypothetical protein FLJ10097	?	2.35	0.03468
Hs.79432	FBN2	Fibrillin 2	ECM	2.23	0.04612
Hs.66744	TWIST1	Twist homolog 1	Transcription factor, cell differentiation	2.19	0.0228
Hs.180919	ID2	Inhibitor of DNA-binding 2, dominant negative helix–loop–helix protein	Transcriptional regulator, cell differentiation	2.16	0.01234
Hs.78869	TCEA1	Transcription elongation factor A, 1	Regulation of transcription	2.05	0.04896
Hs.75090	TRIM9	Tripartite motif-containing 9	?	2.02	0.02629
Hs.173381	DPYSL2	Dihydropyrimidinase-like 2	?	2.01	0.04139
