GenBank no.	Gene	Avg	P
NM_005050	ABCD4	1.17	0.0295
NM_014567	BCAR1	0.74	0.0222
NM_004054	C3AR1	1.2	0.035
NM_000722	CACNA2D1	0.62	0.045
NM_013230	CD24	1.29	0.0093
NM_000760	CSF3R	1.17	0.0488
NM_001381	DOK1	0.8	0.0062
NM_000118	ENG	0.64	0.0315
NM_014211	GABRP	0.68	0.0164
NM_004482	GALNT3	0.88	0.0219
H07878	GPR19	1.23	0.0295
NM_000856	GUCY1A3	1.16	0.0171
H11482	IFNGR1	0.74	0.0029
NM_000612	IGF2	1.13	0.028
NM_000598	IGFBP3	0.62	0.0092
NM_002195	INSL4	1.14	0.036
NM_012282	KCNE1L	1.15	0.0007
NM_002333	LRP3	1.19	0.0085
AA496022	MFAP4	0.6	0.0469
AA598582	OXA1L	0.52	0.0009
NM_002571	PAEP	1.15	0.0092
NM_024411	PDYN	1.37	0.0492
NM_004705	PRKRIR	0.8	0.0021
NM_000452	SLC10A1	1.06	0.0296
NM_006749	SLC20A2	0.85	0.0041
NM_003127	SPTAN1	1.17	0.045
NM_003235	TG	1.19	0.0297
NM_003243	TGFBR3	1.41	0.0218
NM_012471	TRPC5	0.61	0.0346
NM_000371	TTR	0.87	0.0485
NM_004301	BAF53A	1.19	0.028
NM_006317	BASP1	0.92	0.0007
NM_012116	CBLC	0.67	0.0249
NM_003651	CSDA	0.86	0.0318
NM_004111	FEN1	0.82	0.0081
NM_001465	FYB	0.96	0.0002
NM_001515	GTF2H2	0.86	0.0261
NM_005324	H3F3B	1.1	0.0482
NM_005336	HDLBP	0.5	0.02
NM_014213	HOXD9	0.81	0.0059
NM_016270	KLF2	1.32	0.0361
NM_002485	NBS1	1.22	0.0159
NM_004555	NFATC3	1.13	0.0302
NM_002582	PARN	0.78	0.0034
NM_002779	PSD	0.59	0.0062
NM_002938	RNF4	1.17	0.042
NM_007252	RPF-1	0.6	0.0308
NM_003079	SMARCE1	1.14	0.0106
NM_003084	SNAPC3	0.91	0.0081
NM_005839	SRRM1	1.05	0.0047
NM_003152	STAT5A	1.14	0.0462
NM_006284	TAF10	1.17	0.0133
NM_005644	TAF12	1.24	0.0035
NM_005481	TRAP95	0.59	0.0271
NM_004236	TRIP15	0.65	0.0394
NM_005082	ZNF147	0.63	0.0243
NM_001105	ACVR1	1.24	0.0206
NM_001259	CDK6	0.79	0.0258
NM_004783	TAO1	1.24	0.0053
NM_003565	ULK1	0.8	0.0293
NM_016451	COPB	0.67	0.0461
NM_007357	COG2	0.82	0.0162
NM_006323	SEC24B	0.91	0.0056
NM_004766	COPB2	1.31	0.0074
NM_000927	ABCB1	0.82	0.0398
NM_012089	ABCB10	0.61	0.0165
NM_005689	ABCB6	1.22	0.0029
NM_019624	ABCB9	1.33	0.0175
NM_000683	ADRA2C	1.24	0.0321
NM_001671	ASGR1	1.5	0.0384
NM_001681	ATP2A2	1.43	0.0335
NM_004335	BST2	1.42	0.0106
NM_006137	CD7	1.31	0.0421
NM_001782	CD72	1.24	0.0439
NM_004356	CD81	0.8	0.0182
NM_004233	CD83	0.75	0.0092
NM_005745	DXS1357E	0.84	0.0156
NM_001400	EDG1	1.69	0.0181
NM_000604	FGFR1	1.25	0.0311
NM_006338	GAC1	0.89	0.0454
