Gene	Name	Accession number	Fold change	P	Functional Category
LILRB1	Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	AF004230	-8.26	0.03	Cell growth and maintenance
DEFA3	Defensin, ?3, neutrophil-specific	L12691	-2.9	0.04	Cell growth and maintenance
CTSG	Cathepsin G	M16117	-2.78	0.03	Cell growth and maintenance
TNFRSF7	Tumor necrosis factor receptor superfamily, member 7	M63928	-2.58	0.03	Cell growth and maintenance
GLUL	Glutamate-ammonia ligase (glutamine synthase)	X59834	-2.47	0.03	Cell growth and maintenance
MARCKS	Myristoylated alanine-rich protein kinase C substrate	D10522	-2.41	0.04	Cell growth and maintenance
TLR1	Toll-like receptor 1	AL050262	-2.09	0.04	Cell growth and maintenance
S100A8	S100 calcium binding protein A8 (calgranulin A)	A1126134	-1.88	0.01	Cell growth and maintenance
LITAF	Lipopolysaccharide-induced TNF factor	AL120815	-1.65	0.04	Cell growth and maintenance
VNN2	Vanin 2	D89974	-1.63	0.04	Cell growth and maintenance
SLC7A7	Solute carrier family 7	AJ130718	-1.61	0.04	Cell growth and maintenance
PDE6G	Phosphodiesterase 6G, cGMP-specific, rod, ?	X62025	1.32	0.02	Cell growth and maintenance
MTA1L1	Metastasis-associated 1-like 1	AB012922	1.37	0.03	Cell growth and maintenance
UBE2G2	Ubiquitin-conjugating enzyme E2G 2	AF032456	1.65	0.006	Cell growth and maintenance
MERTK	c-mer proto-oncogene tyrosine kinase	U08023	-3.52	0.04	Signal transduction
FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	M33195	-2.89	0.01	Signal transduction
RNASE6	Ribonuclease RNase A family k6	A1142565	-2.75	0.02	Signal transduction
LY96	Lymphocyte antigen 96	AB018549	-2.23	0.04	Signal transduction
LASP1	LIM and SH3 protein 1	X82456	-1.91	0.02	Signal transduction
ARHGAP1	Rho GTPase activating protein 1	U02570	-1.8	0.03	Signal transduction
PFTK1	PFTAIRE protein kinase 1	AB020641	-1.69	0.0009	Signal transduction
CAP	Adenylyl cyclase-associated protein	L12168	-1.67	0.03	Signal transduction
DOK1	Docking protein 1 62 kDa (downstream of tyrosine kinase 1)	U70987	-1.62	0.05	Signal transduction
RPS6KA4	Ribosomal protein S6 kinase, 90 kDa, polypeptide 4	AJ010119	1.44	0.03	Signal transduction
ITGA8	Integrin ?8	L36531	2.14	0.01	Signal transduction
PPBP	Pro-platelet basic protein (chemokine [C-X-C motif] ligand 7)	M54995	-5.54	0.01	Structural proteins
ACTN1	Actinin, ?1	X15804	-4.83	0.01	Structural proteins
MYH9	Myosin, heavy polypeptide 9, nonmuscle	Z82215	-2.07	0.02	Structural proteins
ADD1	Adducin 1 (?)	X58141	-1.92	0.02	Structural proteins
VCL	Vinculin	M33308	-1.83	0.05	Structural proteins
SGCE	Sarcoglycan epsilon	AJ000534	1.53	0.003	Structural proteins
TMSB4X	Thymosin,4, X chromosome	M17733	-2.32	0.04	Developmental processes
PITX3	Paired-like homeodomain transcription factor 3	AF041339	1.3	0.003	Developmental processes
FAT	FAT tumor-suppressor homolog 1 (Drosophila)	X87241	1.55	0.04	Developmental processes
MFNG	Manic fringe homolog (Drosphila)	Z93096	1.6	0.02	Developmental processes
RING1	Ring finger protein 1	AL031228	2.09	0.01	Developmental processes
FRZB	Frizzled-related protein	U91903	6.4	0.05	Developmental processes
NPC2	Niemann-Pick disease, type C2	AI525834	-3.19	0.003	Others
SAT	Spermidine/spermine N1-acetyltransferase	AL050290	-2.95	0.01	Others
RAGD	Rag D protein	W27549	1.93	0.03	Others
HIST1H2BG	Histone 1, H2bg	AJ223352	1.93	0.02	Others
