Gene Name	Gene symbol	Accession No.	Fold Difference SCARKO/Ctrl
Z-DNA binding protein 1 /DLM-1	ZBP1	NM_021394	4.28
Lectin, galactose binding, soluble 7 /Galectin-7	Lgals7	AF038562	4.01
Fatty acid binding protein 7, brain	Fabp7	NM_021272	3.94
Regucalcin (Rgn)/Senescence marker protein 30	SMP30	NM_009060	3.46
—		S69212	3.42
RIKEN cDNA 1810010M01	1810010M01Rik	BF581690	2.79
Desmocollin 2	Dsc2	BC004663	2.44
Mus musculus, clone IMAGE:4188338, mRNA, partial cds/epiplakin 1	Eppk1	BC026387	2.25
Desmoglein 2	Dsg2	BG092030	2.18
Myeloblastosis oncogene	Myb	NM_033597	2.18
6-Pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 ?	TCF1/Pcbd	NM_025273	2.02
Nectin-like 1 (Necl1)/Mus musculus Ig superfamily, member 4B	Igsf4b	NM_053199	2.01
