Gene symbol	Location (Mb)	Cytoband	Gene name
FLJ10120	28971716–29004074	17q11.2	Hypothetical protein FLJ10120
HCA66	29084568–29122520	17q11.2	Hepatocellular carcinoma-associated antigen 66
CREME9	29215318–29840209	17q11	Cytokine receptor-like factor 3 (CRLF3)
NME1	31298019–31312916	17q11.2	Nonmetastatic cells 1, protein (NM23A) expressed in
SCYA7	32366930–32368947	17q11.2	Chemokine (C-C motif) ligand 7
TOP2A	38045208–38073667	17q21.2	Topoisomerase (DNA) II ?
IGFBP4	38099553–38113665	17q21.2	Insulin-like growth factor-binding protein 4
SMARCE1	38285228–38304358	17q21.2	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily e, member 1
KRT20	38532465–38541442	17q21.2	Keratin 20
KRT14	38859634–38864236	17q21.2	Keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)
KRTHA1	39134483–39138352	17q21.2	Keratin, hair, acidic, 1
KRT13	39241737–39246354	17q21.2	Keratin 13
KRT19	39264373–39269057	17q21.2	Keratin 19
KRT15	39254502–39259645	17q21.2	Keratin 15
JUP	39465596–39497955	17q21.2	Junction plakoglobin
ACLY	39579631–39631756	17q21.2	ATP citrate lyase
GCN5L2	39819036–39827252	17q21.2	GCN5 general control of amino-acid synthesis 5-like 2 (yeast)
STAT5B	39960502–40026777	17q21.2	Signal transducer and activator of transcription 5B
STAT3	40032144–40105859	17q21.2	Signal transducer and activator of transcription 3 (acute-phase response factor)
PTRF	40194164–40197002	17q21.2	Polymerase I and transcript release factor
TUBG1	40369221–40374780	17q21.2	Tubulin, ? 1
TUBG2	40390227–40397943	17q21.2	Tubulin, ? 2
RAMP2	40484705–40486595	17q21.2	Receptor (calcitonin) activity-modifying protein 2
UBTF	42026411–42038852	17q21.31	Upstream binding transcription factor, RNA polymerase I
SLC4A1	42068967–42087395	17q21.31	Solute carrier family 4, anion exchanger, member 1
RPIP8	42127708–42137966	17q21.31	RAP2-interacting protein 8
GRN	42164416–42172398	17q21.31	Granulin
U5-116KD	42446478–42495441	17q21.31	Homo sapiensU5 snRNP-specific protein, 116 kDa
NMT1	42667176–42714604	17q21.31	N-Myristoyltransferase 1
C17orf1B	42849376–42854356	17q21.31	Chromosome 17 open reading frame 1 (FMNL = formin-like)
CA10	49420806–49950501	17q21.33	Carbonic anhydrase X
TOM1L1	52708811–52770009	17q22	Target of myb1-like 1 (chicken)
