Probe Set ID	Gene Title	Gene Symbol	Ref Seq	Fold Change a	p-value b
204407_at	transcription termination factor, RNA polymerase II	TTF2	NM_003594	0.42	0.009
209646_x_at	aldehyde dehydrogenase 1 family, member B1	ALDH1B1	NM_000692	0.42	0.0076
209032_s_at	immunoglobulin superfamily, member 4	IGSF4	NM_014333	0.54	0.0069
213069_at	HEG homolog	HEG	AI148659	0.55	0.0049
208591_s_at	phosphodiesterase 3B, cGMP-inhibited	PDE3B	NM_000753	0.56	0.0057
220386_s_at	echinoderm microtubule associated protein like 4	EML4	NM_019063	0.56	0.0046
213132_s_at	malonyl-CoA:acyl carrier protein transacylase (malonyltransferase)	MT	NM_014507	0.61	0.0016
205618_at	proline rich Gla (G-carboxyglutamic acid) 1	PRRG1	NM_000950	0.61	0.0073
208965_s_at	interferon, gamma-inducible protein 16	IFI16	NM_005531	0.62	0.008
48825_at	inhibitor of growth family, member 4	ING4	NM_016162	0.62	0.0032
209485_s_at	oxysterol binding protein-like 1A	OSBPL1A	NM_018030	0.63	0.0091
205359_at	A kinase (PRKA) anchor protein 6	AKAP6	NM_004274	0.63	0.0068
203324_s_at	caveolin 2	CAV2	NM_001233	0.66	0.0007
202031_s_at	DKFZP434J154 protein	DKFZP434J154	NM_015610	0.67	0.0004
212521_s_at	phosphodiesterase 8A	PDE8A	NM_002605	0.7	0.0014
209317_at	polymerase (RNA) I polypeptide C, 30kDa	POLR1C	NM_004875	0.72	0.0082
219542_at	NIMA (never in mitosis gene a)- related kinase 11	NEK11	NM_024800	0.72	0.0081
213236_at	SAM and SH3 domain containing 1	SASH1	NM_015278	0.72	0.0025
209019_s_at	PTEN induced putative kinase 1	PINK1	NM_032409	0.72	0.0096
201228_s_at	ariadne homolog 2 (Drosophila)	ARIH2	NM_006321	0.74	0.0054
214252_s_at	ceroid-lipofuscinosis, neuronal 5	CLN5	NM_006493	0.75	0.0006
53076_at	xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I)	B4GALT7	NM_007255	0.76	0.0057
201238_s_at	capping protein (actin filament) muscle Z-line, alpha 2	CAPZA2	NM_006136	0.76	0.0048
201560_at	chloride intracellular channel 4	CLIC4	NM_013943	0.77	0.0014
219547_at	COX15 homolog, cytochrome c oxidase assembly protein (yeast)	COX15	NM_004376	0.78	0.0054
202812_at	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)	GAA	NM_000152	0.78	0.0097
216903_s_at	calcium binding atopy-related autoantigen 1	CBARA1	NM_006077	0.79	0.0004
212970_at	hypothetical protein FLJ14001	FLJ14001	NM_024677	0.79	0.0042
214869_x_at	DKFZP434C212 protein	DKFZP434C212	AK021533	0.79	0.0046
200856_x_at	nuclear receptor co-repressor 1	NCOR1	NM_006311	0.8	0.0062
212323_s_at	vacuolar protein sorting 13D (yeast)	VPS13D	AA524553	0.8	0.003
214585_s_at	vacuolar protein sorting 52 (yeast)	VPS52	NM_022553	0.82	0.0046
203518_at	Chediak-Higashi syndrome 1	CHS1	NM_000081	0.82	0.0095
209393_s_at	eukaryotic translation initiation factor 4E-like 3	EIF4EL3	NM_004846	0.84	0.0023
213477_x_at	eukaryotic translation elongation factor 1 alpha 1	EEF1A1	NM_001402	0.88	0.0024
200026_at	ribosomal protein L34	RPL34	NM_000995	0.93	0.0022
203246_s_at	tumor suppressor candidate 4	TUSC4	NM_006545	1.13	0.0018
208398_s_at	TBP-like 1	TBPL1	NM_004865	1.15	0.0049
219182_at	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	CHST5	NM_012126	1.16	0.0095
213136_at	protein tyrosine phosphatase, non-receptor type 2	PTPN2	NM_002828	1.17	0.0067
209326_at	solute carrier family 35 (UDP-galactose transporter), member A2	SLC35A2	NM_005660	1.17	0.008
219846_at	hypothetical protein FLJ20203	FLJ20203	NM_017710	1.17	0.0028
207347_at	excision repair cross-complementing rodent repair deficiency, complementation group 6	ERCC6	NM_170753	1.19	0.0034
218710_at	hypothetical protein FLJ20272	FLJ20272	NM_017735	1.19	0.0041
218249_at	zinc finger, DHHC domain containing 6	ZDHHC6	NM_022494	1.2	0.009
217961_at	hypothetical protein FLJ20551	FLJ20551	NM_017875	1.22	0.0027
202858_at	U2(RNU2) small nuclear RNA auxiliary factor 1	U2AF1	NM_006758	1.22	0.0087
218316_at	translocase of inner mitochondrial membrane 9 homolog (yeast)	TIMM9	NM_012460	1.23	0.0034
212766_s_at	hypothetical protein FLJ12671	FLJ12671	NM_030980	1.24	0.0097
209233_at	C2f protein	C2F	NM_006331	1.26	0.0075
201459_at	RuvB-like 2 (E. coli)	RUVBL2	NM_006666	1.26	0.0094
218153_at	hypothetical protein FLJ12118	FLJ12118	NM_024537	1.26	0.001
212966_at	hypermethylated in cancer 2	HIC2	NM_015094	1.27	0.0023
207618_s_at	BCS1-like (yeast)	BCS1L	NM_004328	1.28	0.0084
221739_at	chromosome 19 open reading frame 10	C19orf10	NM_019107	1.28	0.0069
201092_at	retinoblastoma binding protein 7	RBBP7	NM_002893	1.28	0.0044
221505_at	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	ANP32E	NM_030920	1.29	0.0054
222252_x_at	Homo sapiens cDNA FLJ13292 fis, clone OVARC1001180	---	AK023354	1.29	0.0036
221741_s_at	chromosome 20 open reading frame 21	C20orf21	NM_017798	1.3	0.0056
202474_s_at	host cell factor C1 (VP16-accessory protein)	HCFC1	NM_005334	1.3	0.0022
214728_x_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SMARCA4	NM_003072	1.32	0.0025
204749_at	nucleosome assembly protein 1-like 3	NAP1L3	NM_004538	1.32	0.0015
213720_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SMARCA4	NM_003072	1.33	0.0011
202173_s_at	zinc finger protein 161	ZNF161	NM_007146	1.33	0.0061
221229_s_at	hypothetical protein FLJ20628	FLJ20628	NM_017910	1.34	0.0013
42361_g_at	chromosome 6 open reading frame 18	C6orf18	NM_019052	1.34	0.0062
204094_s_at	KIAA0669 gene product	KIAA0669	NM_014779	1.34	0.0096
217798_at	CCR4-NOT transcription complex, subunit 2	CNOT2	NM_014515	1.35	0.0061
212310_at	C219-reactive peptide	FLJ39207	D87742	1.35	0.0073
209849_s_at	RAD51 homolog C (S. cerevisiae)	RAD51C	NM_002876	1.35	0.0033
218763_at	syntaxin 18	STX18	NM_016930	1.35	0.0002
219351_at	spondyloepiphyseal dysplasia, late	SEDL	NM_014563	1.35	0.0055
202171_at	zinc finger protein 161	ZNF161	NM_007146	1.36	0.0061
209388_at	poly(A) polymerase alpha	PAPOLA	NM_032632	1.36	0.0095
218708_at	NTF2-like export factor 1	NXT1	NM_013248	1.36	0.005
212783_at	retinoblastoma binding protein 6	RBBP6	NM_006910	1.36	0.0099
218968_s_at	zinc finger protein 64 homolog (mouse)	ZFP64	NM_018197	1.37	0.0039
218108_at	chromosome 14 open reading frame 130	C14orf130	NM_018108	1.38	0.004
208857_s_at	protein-L-isoaspartate (D-aspartate) O-methyltransferase	PCMT1	NM_005389	1.38	0.0038
216241_s_at	transcription elongation factor A (SII), 1	TCEA1	NM_006756	1.38	0.0028
204977_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	DDX10	NM_004398	1.38	0.0053
210766_s_at	CSE1 chromosome segregation 1-like (yeast)	CSE1L	NM_001316	1.39	0.006
203432_at	thymopoietin	TMPO	NM_003276	1.39	0.0089
208673_s_at	splicing factor, arginine/serine-rich 3	SFRS3	NM_003017	1.4	0.001
201911_s_at	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	FARP1	NM_005766	1.4	0.0041
222119_s_at	F-box only protein 11	FBXO11	NM_012167	1.41	0.0092
212805_at	KIAA0367	KIAA0367	AB002365	1.41	0.006
221255_s_at	hypothetical protein MGC2963	MGC2963	NM_031298	1.44	0.0018
