Accession	Gene Name	I/C	location
R67147	Crystallin, mu	76.7	16p13.11-p12.3
H42679	Major histocompatibility complex, class II, DM alpha	68.8	6p21.3
AA448015	Internexin neuronal intermediate filament protein, alpha	59.1	10q24.33
H23046	Regulator of G-protein signalling 7	23.0	1q43
R25166	Hypothetical protein FLJ14146	16.6	1q42.11
H54364	KIAA0561 protein	15.6	19p13.12-p13.11
R22326	EH-domain containing 3	15.4	11q13
H24428	KIAA0513 gene product	11.3	16q24.1
R15791	Ryanodine receptor 2 (cardiac)	11.3	1q42.1-q43
AA064973	Calcineurin-binding protein calsarcin-1	10.4	10q22.1
AA459941	Paternally expressed 3	9.1	19q13.4
N62620	Potassium channel, subfamily K, member 1 (TWIK-1)	8.2	1q42-q43
N52696	FLJ38392	7.9	8
AA436142	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	7.4	5q31
R38201	Opioid-binding protein/cell adhesion molecule-like	7.0	11q25
AA456008	ALL1-fused gene from chromosome 1q	6.8	1q21
N52572	LOC285812	6.7	6
AA464590	Protein tyrosine phosphatase, receptor type, N polypeptide 2	6.7	7q36
W48780	Neuronal protein	6.7	1q21-q25
AA115876	Serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1	6.5	3q26
H14383	Potassium voltage-gated channel, shaker-related subfamily, beta member 2	6.5	1p36.3
R14230	Neurofilament, light polypeptide (68kD)	6.4	8p21
AA485795	Ephrin-B3	6.3	17p13.1-p11.2
H08933	Glutamate receptor, ionotropic, N-methyl D-aspartate 2A	6.3	16p13
R69354	Sac domain-containing inositol phosphatase 2	6.0	10q26.13
AA425947	Dickkopf (Xenopus laevis) homolog 3	5.9	11p15.2
W60581	Brain expressed, X-linked 1	5.7	Xq21-q23
R40790	Gamma-aminobutyric acid (GABA) A receptor, gamma 2	5.6	5q31.1-q33.1
H12043	Cytoplasmic FMRP interacting protein 2	5.5	5q34
AA479102	Protein kinase C, beta 1	5.5	16p11.2
H77707	KIAA1155 protein	5.4	2p13.2
T50828	Caspase 7, apoptosis-related cysteine protease	5.4	10q25
AA417654	Fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	5.4	4p16.3
R31645	EST	5.4	n/a
R05837	SHANK2 SH3 and multiple ankyrin repeat domains 2	5.3	11q13.1
AA227594	Mal, T-cell differentiation protein	5.2	2cen-q13
R10159	EST	5.1	9
H77506	Isoprenylcysteine carboxyl methyltransferase	4.9	1p36.21
R18935	EST	4.8	n/a
T80232	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	4.7	8q24.1
AA393408	Phosphodiesterase 1A, calmodulin-dependent	4.7	4q22
H60572	TRAF-binding protein domain	4.7	10q26.2
AA460986	KIAA1200 protein	4.6	14q24.1
AA456480	BCL2-like 2	4.6	14q11.2-q12
R27680	Microtubule-associated protein like echinoderm EMAP	4.4	19q13.32
AA287695	Corticotropin releasing hormone-binding protein	4.2	5q11.2-q13.3
H19439	Down syndrome critical region gene 1-like 1	4.2	6p21.1
AA464067	Inositol 1,3,4-triphosphate 5/6 kinase	4.1	14q31
R08755	EST	4.1	n/a
AA069414	Glial fifrillary acidic protein	4.1	17q21
R97226	FLJ30147	4.1	16
R76614	Netrin 4	4.0	12q22-q23
H63760	EST	4.0	n/a
N75064	EST	4.0	4
H23310	Myelin-associated oligodendrocyte basic protein	3.9	3p21.33
T98162	KIAA1560 protein (glycerol 3-phosphate acyltransferase, mitochondrial )	3.9	10q25.3
H23202	Protein tyrosine phosphatase, receptor type, R	3.9	12q15
H74106	LIM domain binding 2	3.8	11p13
AA598668	Chimerin (chimaerin) 1	3.8	2q31-q32.1
R31082	EST	3.8
W00959	Hepatic leukemia factor	3.8	17q22
AA451891	Guanine nucleotide exchange factor for Rap1; M-Ras-regulated GEF	3.8	7p15.3
N52394	Hypothetical protein FLJ20008	3.7	2p25.1-p24.1
R59579	Prostaglandin D2 synthase (21kD, brain)	3.7	9q34.2-q34.3
AA234897	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	3.7	5q14
H18436	FAM13C1  Family with sequence similarity 13, member C1	3.7	10
W79082	ATPAF1 ATP synthase mitochondrial F1	3.7	1p33-p32.3
H91404	EST	3.7	n/a
N66572	Spleen focus forming virus (SFFV) proviral integration oncogene spi1	3.6	11p11.2
N69521	GCN1 (general control of amino-acid synthesis 1, yeast)-like 1	3.6	12q24.2
N68173	EST	3.6	15
AA487912	Guanine nucleotide binding protein (G protein), beta polypeptide 1	3.6	1p36.33
H66616	Golgi apparatus protein 1	3.6	16q22-q23
AA418811	Fibrillin 1 (Marfan syndrome)	3.6	15q21.1
N99243	T-box 2	3.5	17q23
H09461	Putative gene product	3.5	13
N94270	TPA regulated locus	3.5	4q12
AA454743	Kallikrein 6 (neurosin, zyme)	3.5	19q13.3
T95200	Likely homolog of rat kinase D-interacting substance of 220 kDa	3.4	2
R17717	Cadherin 13, H-cadherin (heart)	3.4	16q24.2-q24.3
AA455067	Synuclein, alpha (non A4 component of amyloid precursor)	3.4	4q21
W03677	EST	3.4	n/a
R39954	Discs, large (Drosophila) homolog 4	3.4	17p13.1
R45056	Hypothetical protein PRO1847	3.4	12
R02414	FLJ3076	3.4	3
AA026562	LOC220477	3.4	10
H78855	ATF7IP2 activating TF7 interacting protein 2	3.3	16p13.2
AA482243	Cytochrome c oxidase subunit VIa polypeptide 1	3.3	12q24.2
R22439	Transmembrane protein 4	3.3	12q15
AA442984	Major histocompatibility complex, class II, DQ beta 1	3.3	6p21.3
H45376	Nel (chicken)-like 2	3.2	12q13.11-q13.12
T97616	EST	3.2	n/a
AA449831	Growth factor receptor-bound protein 2	3.2	17q24-q25
W30935	Calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	3.2	4
H12279	Phosphoglucomutase 5	3.1	9
AA504442	R3H domain (binds single-stranded nucleic acids) containing	3.1	2
AA496013	Serine/threonine kinase 2	3.1	n/a
H46663	Purine-rich element binding protein A	3.1	5q31
R43325	Death associated protein 3	3.1	1q21-q22
H22136	Guanylate cyclase 1, soluble, alpha 3	3.1	2q31
N62475	Hypothetical protein FLJ12890	3.1	3p22.3
AA454947	A kinase (PRKA) anchor protein 1	3.1	17q21-q23
H24688	SWI/SNF related, matrix associated, actin dependent regulator of chromatin C2	3.1	12q13-q14
R25234	Contactin 1	3.1	12q11-q12
AA485272	Hexokinase 1	3.1	10q22
