Gene ID	Function	Affy ID	x-fold
GAGE4	Spermatogenesis, CTA	207663_x_at	100
DAZ4	Spermatogenesis	216351_x_at	100
GPC4	Cell suface proteoglycan	204984_at	100
LOC81569	NA	214957_at	50
DAZ	Spermatogenesis	207912_s_at	100
PEPP_2	Transcription	236920_at	50
GAGE8	Spermatogenesis, CTA	207739_s_at	50
ASB9	Signaling	205673_s_at	50
SAGE	Spermatogenesis, CTA	220793_at	50
SSX1	Spermatogenesis, CTA	206626_x_at	20
SSX3	Spermatogenesis, CTA	207666_x_at	20
TEX15	Spermatogenesis	232760_at	50
PAX6	Differentiation	205646_s_at	100
SSX2	Spermatogenesis, CTA	207493_x_at	20
DAZ2	Spermatogenesis	208281_x_at	50
LOC64180	NA	220179_at	50
EYA4	Transcription, development	238877_at	20
RBMY1A1	Spermatogenesis	208307_at	20
GAGEB1	Spermatogenesis, CTA	206897_at	20
DHRS2	Carbohydrate metabolism	206463_s_at	50
RBP4	Retinol binding	219140_s_at	20
DHRS2	Carbohydrate metabolism	214079_at	100
VCX_2r	unknown	207281_x_at	20
SSX4	Spermatogenesis, CTA	210394_x_at	20
TKTL1	Transketolase_like 1	216370_s_at	10
TAF7L	Transcription	224380_s_at	20
CHD5	Chromatin modification	217250_s_at	20
LOC90499	NA	234016_at	20
CTCFL	Spermatogenesis, CTA	1552368_at	20
HOXB6	Transcription	205366_s_at	20
HOXB8	Transcription	229667_s_at	20
DMRT3	Testis development?	231800_s_at	20
ESX1L	Embryogenesis	1552445_a_at	10
FTCD	Transferase/deaminase	223979_x_at	20
CLGN	Spermatogenesis	205830_at	20
EYA2	Development	209692_at	20
MAGEA3	Spermatogenesis, CTA	209942_x_at	20
LOC283694	NA	1560735_s_at	20
DLK1	Neuroendocrine diff.	209560_s_at	20
OTEX	Transcription	1552724_at	20
KIAA1713	NA	233536_at	20
MAGEA2	Spermatogenesis, CTA	214603_at	20
TKTL1	Transcription repression	214183_s_at	10
DKFZp686A1627	NA	1561961_at	20
FLJ23058	NA	219218_at	20
LOC139135	NA	240687_at	20
HAB1	B for mucin	239791_at	50
MSX1	Transcription	205932_s_at	20
LOC339258	NA	241828_x_at	20
FLJ23191	NA	219747_at	20
lPELI2	Signaling	219132_at	10
POU5F1	Pluripotency	210905_x_at	100
Nanog	Pluripotency	220184_at	100
FLJ20171	NA	219121_s_at	100
PROM1	Stem cell biology (CD133)	204304_s_at	50
LOC90625	NA	232191_at	100
GIP	Insulin secretion	207899_at	50
LOC221810	NA	221911_at	50
FLJ32835	NA	1553918_at	100
ZFP42	Stem cell biology (MXF_1/mRex1)	1554776_at	50
CHI3L1	Cartilage glycoprotein	209396_s_at	100
INDO	Tryptophane degradation	210029_at	50
CRACC	NK- & CD8 function	222838_at	20
GPX2	Glutathion peroxidase	202831_at	50
RAB15	Vesicular trafficing	221810_at	20
CDH3	p_cadherin, adhesion	203256_at	20
SOX17	Transcription	230943_at	20
ADAMDEC1	Proteolysis/peptidolysis	206134_at	50
IGHM	Immunereaction	209374_s_at	20
UBD	Proteinmodification	205890_s_at	50
SERPINA1	Inhibitserineprotease	202833_s_at	20
MX1	Againstinfluenzainfect.	202086_at	20
SFRP2	Wntsignaling	223122_s_at	50
RAI3	Differentiation	212444_at	20
FLJ25694	NA	1553614_a_at	20
MDA5	Helicase	219209_at	20
CXCL10	Chemotax.Mono_/Tlymphocytes	204533_at	20
CTH	Cystathionegamma_lyase	217127_at	20
CDO1	CysteinedioxygenaseI	204154_at	20
IGJ	Immunesystem	212592_at	20
LOC222967	NA	1557417_s_at	20
GPHA2	Glycoproteinhormonealpha2	237230_at	20
T1A_2	Membraneglycoprotein	204879_at	10
CDW52	Carbohydratecarryingandorientation	34210_at	20
FLJ22662	NA	218454_at	20
PYPAF3	NA	237461_at	20
CASP8	Apoptose	213373_s_at	20
GBP1	Glianylatebinding	202270_at	20
MGC16491	NA	229518_at	10
LIN28	ColdshockdomainDNAbinding	219823_at	10
MGC12335	NA	229070_at	20
IL6R	Interleukinsignaling	226333_at	10
TRIM2	Tripartitemotif	202342_s_at	20
EFEMP1	Extracellularmatrix	201842_s_at	10
PLXNA2	Embryogenesis	213030_s_at	20
BK65A6.2	NA	227480_at	20
CXCL9	Chemotax.ActivatedTcells	203915_at	20
GBP1	Guanylatebinding	231577_s_at	10
BICD1	Differentiation	1554020_at	10
IFITMI	Interferoninducedmembraneprotein	214022_s_at	10
APOC	ApolipoproteinC1,chemotaxic?	204416_x_at	10
MEG3	P53induced,maternallyderived	210794_s_at	10
