Gene symbol	Fold change	Gene title	UniGene
IL8	9	Interleukin 8	Hs.624
CXCL11	8	Chemokine (C-X-C motif) ligand 11	Hs.518814
CXCL6	8	Chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	Hs.164021
CXCL3	8	Chemokine (C-X-C motif) ligand 3	Hs.89690
CXCL5	7	Chemokine (C-X-C motif) ligand 5	Hs.89714
CXCL10	7	Chemokine (C-X-C motif) ligand 10	Hs.413924
CXCL1	6	Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	Hs.789
IFI44L	6	Interferon-induced protein 44-like	Hs.389724
VCAM1	5	Vascular cell adhesion molecule 1	Hs.109225
ASNS	4	Asparagine synthetase	Hs.489207
OAS1	4	2,5-oligoadenylate synthetase 1, 40/46 kDa	Hs.524760
SOD2	4	Superoxide dismutase 2, mitochondrial	Hs.487046
RSAD2	4	Radical S-adenosyl methionine domain containing 2	Hs.17518
CCL5	3	Chemokine (C-C motif) ligand 5	Hs.514821
IL6	3	Interleukin 6 (interferon, beta 2)	Hs.512234
PTX3	3	Pentraxin-related gene, rapidly induced by IL-1 beta	Hs.127657
BIRC4BP	3	XIAP associated factor-1	Hs.441975
PSAT1	3	Phosphoserine aminotransferase 1	Hs.494261
MX2	3	Myxovirus (influenza virus) resistance 2 (mouse)	Hs.926
OAS2	3	2-5-Oligoadenylate synthetase 2, 69/71 kDa	Hs.414332
