Locations	Gene accession number	Symbol (or description)	Function	Level in recurrence group vs. non-recurrence group
[Japan, Africa, Asia, Europe, Greece]	HG2755-HT2862	PLS3	Cell motility and extracellular matrix	Reduced
[Japan, Africa, Asia, Europe, Greece]	U89336	HLA class III region containing 9 genes	Unknown	Reduced
[Japan, Africa, Asia, Europe, Greece]	U15642	E2F5	Transcription	Reduced
[Japan, Africa, Asia, Europe, US]	M34996	HLA-DQA	Immune system	Reduced
[Africa, Asia, Europe, Greece, US]	D87465	KIAA0275 gene	Unknown	Reduced
[Africa, Asia, Europe, Greece, US]	L41870	RB1	Cell growth and apoptosis	Reduced
[Africa, Asia, Europe, Greece, US]	M27891	CST3	Signal transduction	Reduced
[Africa, Asia, Europe, Greece, US]	M69066	MSN	Cell motility and extracellular matrix	Reduced
[Africa, Asia, Europe, Greece, US]	M91029	AMPD2	Metabolism	Reduced
[Africa, Asia, Europe, Greece, US]	U48405	GPR68	Signal transduction	Reduced
[Africa, Asia, Europe, Greece, US]	U60115	FHL1	Cell growth and apoptosis	Reduced
[Africa, Asia, Europe, Greece, US]	U97105	N2A3 mRNA	Similar to Collapsin response mediator protein 2	Reduced
[Africa, Asia, Europe, Greece, US]	X76538	MPV17	Unknown	Reduced
[Africa, Asia, Europe, Greece, US]	X83416	PRNP	Prion protein	Reduced
[Africa, Asia, Europe, Greece, US]	U33838	NF-kappa-B p65delta3 mRNA	Transcription	Reduced
[Africa, Asia, Europe, Greece, US]	M36284	GYPC	Integral membrane glycoprotein	Reduced
[Africa, Asia, Europe, Greece, US]	X03068	HLA-DQB1	Immune system	Reduced
