Accession	GENE	TITLE	Median_Cy5	Median_Cy3	case%	Adj_Cy3/Cy5ratio	Log 2 Cy3/Cy5_ratio
AI570199	NA	Homo sapiens mRNA; cDNA DKFZp666J2410 (from clone DKFZp666J2410)	4492877	0	90	2.23E-07	-22.09333137
AW008222	PGC	progastricsin (pepsinogen C)	1697551.5	0	95	8.63E-07	-20.14449893
AB039886	AMP18	18 kDa antrum mucosa protein	12230374.5	0	100	1.12E-06	-19.76923519
M63154	GIF	gastric intrinsic factor (vitamin B synthesis)	696583.5	0	80	1.44E-06	-19.40546803
M84337	PAP	pancreatitis-associated protein	333936	0	70	2.21E-06	-18.78530191
U07643	LTF	lactotransferrin	307968	0	75	2.60E-06	-18.55183966
NM_002371	MAL	mal, T-cell differentiation protein	213577	0	80	3.46E-06	-18.13945316
NM_001869	CPA2	carboxypeptidase A2 (pancreatic)	177571.5	0	55	3.88E-06	-17.97663684
AA992910	CTXL	cortical thymocyte receptor (X. laevis CTX) like	142896	0	95	7.20E-06	-17.08322999
BE719697	LOC130576	hypothetical protein LOC130576	62789	0	60	9.00E-06	-16.7612826
N51406	FLJ14503	hypothetical protein FLJ14503	0	0	50	1.38E-05	-16.14088801
AV704982	GSTA1	glutathione S-transferase A1	52892	0	55	1.43E-05	-16.0913734
M57951	UGT1A4	UDP glycosyltransferase 1 family, polypeptide A4	130735	0	85	1.52E-05	-16.00923816
AI340056	NA	ESTs	170325	0	85	1.52E-05	-16.00834108
L76465	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	35237.5	0	65	1.57E-05	-15.95505956
AL041162	NA	ESTs	60428.5	0	55	1.73E-05	-15.82172416
AA400080	NA	ESTs	22346	0	50	1.91E-05	-15.67843787
AK025909	NA	Homo sapiens cDNA: FLJ22256 fis, clone HRC02860.	56564.5	0	75	2.80E-05	-15.12654316
AA788924	C5	complement component 5	12377.5	0	50	3.39E-05	-14.84904567
AF043498	PSCA	prostate stem cell antigen	989642	0	95	0.000815211	-10.26053898
AA741431	TFF2	trefoil factor 2 (spasmolytic protein 1)	2589094	2302	100	0.000906106	-10.10803184
AA522445	SYTL2	synaptotagmin-like 2	10066.5	0	55	0.001321551	-9.563551832
AI247475	AKR1C2	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	2013386	11418.5	100	0.004132935	-7.91861773
AI627636	NA	Homo sapiens cDNA FLJ32260 fis, clone PROST1000334.	99609	0	70	0.004688254	-7.73673358
U37100	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	3093236	26147	100	0.007875492	-6.988414261
D00408	CYP3A7	cytochrome P450, family 3, subfamily A, polypeptide 7	36232	0	60	0.008122744	-6.943817124
NM_001275	CHGA	chromogranin A (parathyroid secretory protein 1)	15315.5	0	50	0.011852153	-6.398707092
AB018283	RHOBTB1	Rho-related BTB domain containing 1	0	0	50	0.013630405	-6.197027765
BE970031	CLPS	colipase, pancreatic	107725	0	60	0.014137568	-6.144322204
BE868254	NA	ESTs	18570.5	0	60	0.016266758	-5.941929445
U57961	13CDNA73	hypothetical protein CG003	43130.5	0	60	0.016629676	-5.910096103
BF973589	MT1X	metallothionein 1X	42356	0	55	0.016879742	-5.888563301
AA564381	KRT20	keratin 20	163326.5	2957	85	0.017895477	-5.804261199
AK024409	DKFZP586A0522	DKFZP586A0522 protein	49455.5	0	65	0.017929511	-5.801520054
AV702143	GSTA3	glutathione S-transferase A3	118100	0	75	0.018486835	-5.757357962
M18963	REG1A	regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)	450757	7732	85	0.019047099	-5.714284913
AI970797	NA	ESTs	66042.5	0	60	0.020945929	-5.577186347
AA868345	RNASE1	ribonuclease, RNase A family, 1 (pancreatic)	4202290	95929.5	100	0.020968947	-5.575601794
AF034803	PPFIBP2	PTPRF interacting protein, binding protein 2 (liprin beta 2)	107453.5	0	70	0.027559353	-5.181314162
AI278995	NA	Homo sapiens cDNA FLJ37907 fis, clone COLON2009337.	126523	4100.5	90	0.02801964	-5.157417787
AA476677	MGC11324	hypothetical protein MGC11324	62563	0	70	0.028981948	-5.108701604
NM_005036	PPARA	peroxisome proliferative activated receptor, alpha	175493	0	75	0.029938018	-5.061877465
AL080177	UBL3	ubiquitin-like 3	43499	0	65	0.031063013	-5.008658426
BE675124	JFC1	NADPH oxidase-related, C2 domain-containing protein	17504.5	0	50	0.0330739	-4.918163001
M77477	ALDH3A1	aldehyde dehydrogenase 3 family, memberA1	274839	5673	85	0.033398956	-4.904053163
BF106962	FAM3B	chromosome 21 open reading frame 11	392991	5896	90	0.039240088	-4.671527904
AA628346	NA	ESTs	13913.5	0	50	0.041505775	-4.590544114
J03037	CA2	carbonic anhydrase II	546616.5	28441	100	0.04435482	-4.494765303
AK000188	ACAS2	acetyl-Coenzyme A synthetase 2 (ADP forming)	30687.5	0	50	0.048432789	-4.367872099
AW954291	CGI-40	CGI-40 protein	200684.5	8524	95	0.05024822	-4.314783694
AA478113	LOC283385	morn	17255	0	50	0.051489438	-4.27957966
NM_005518	HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	2612	0	55	0.051658305	-4.274855877
X59770	IL1R2	interleukin 1 receptor, type II	404707	48161.5	95	0.061042906	-4.034032544
AV682257	FABP1	fatty acid binding protein 1, liver	0	0	50	0.061174682	-4.030921493
BF971884	MT2A	metallothionein 2A	469924.5	76517	95	0.063993099	-3.965939867
Z69881	ATP2A3	ATPase, Ca++ transporting, ubiquitous	200529.5	6220.5	100	0.066560554	-3.909188751
NM_012244	SLC7A8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	111087.5	8721.5	90	0.066864175	-3.902622755
D17793	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	2508971	241432	100	0.067009812	-3.899483839
S68287	AKR1C4	aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)	490322	36186.5	100	0.068288678	-3.872209776
AA573793	TFF1	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	3855063.5	421169.5	100	0.072939209	-3.777161641
AL122066	FKBP5	FK506 binding protein 5	17915.5	0	50	0.073617827	-3.763801026
AI633883	LOC92558	hypothetical protein LOC92558	75796.5	0	70	0.076401211	-3.710260693
AA259255	NA	ESTs	13143	0	55	0.077898388	-3.682262717
AW014155	NA	ESTs, Moderately similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	584923	75424.5	100	0.079303315	-3.656475021
AB018263	KIAA0720	KIAA0720 protein	171628	15879	90	0.07988134	-3.64599766
AI985579	SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2	66173.5	0	75	0.080347417	-3.637604549
L10320	FBP1	fructose-1,6-bisphosphatase 1	84229.5	0	55	0.083407676	-3.583676033
D84239	FCGBP	Fc fragment of IgG binding protein	135196	3214.5	70	0.087215427	-3.519272848
AI433935	REG1B	regenerating islet-derived 1 beta (pancreatic stone protein, pancreatic thread protein)	58280	0	55	0.088241048	-3.50240627
AF227899	BCAA	RBP1-like protein	0	0	50	0.088324437	-3.501043543
AK027077	ERBB2IP	erbb2 interacting protein	50156	0	55	0.091907829	-3.443668435
AW242997	NA	ESTs, Weakly similar to S10590 cysteine proteinase (EC 3.4.22.-) - human [H.sapiens]	888765.5	66248.5	95	0.093896251	-3.412788641
AI356283	FLJ34443	hypothetical protein FLJ34443	4574.5	0	50	0.093903284	-3.412680583
AK024449	PP2135	PP2135 protein	82866.5	0	75	0.094667763	-3.400982961
BF448529	B3GALT4	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	38792	2147	55	0.095802399	-3.383794412
X04299	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	536344	79854.5	95	0.095853547	-3.383024368
AA704060	NDUFS1	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	75539.5	1373	75	0.097928174	-3.352132203
