Ratio	GenBank accession no.	Gene	Description
14.0713	X55150	CD44	CD44 antigen (homing function and Indian blood group system)
12.0926	AB006967	SOCS3	Suppressor of cytokine signaling 3
8.877	K02882	NA	Immunoglobulin heavy-constant ?
8.1159	L08187	EB13	Epstein-Barr virus-induced gene 3
7.3989	AB006780	LGALS3	Lectin, galactoside-binding, galectin 3
5.905	NM_002305	LGALS1	Lectin, galactoside-binding, soluble, 1 galectin 1
4.9316	AL031276	TNFRSF1B	Tumor necrosis factor receptor superfamily, member 1B
4.2297	NM_006847	LILRB4	Leukocyte immunoglobulin-like receptor, subfamily B,4
4.0811	NM_002188	IL13	Interleukin 13
3.4753	U03397	TNFRSF9	Tumor necrosis factor receptor superfamily, member 9
2.8905	BE386504	TNFRSF14	Tumor necrosis factor receptor14 (herpesvirus entry mediator)
2.3185	NM_000565	IL6R	Interleukin 6 receptor
2.3845	M57627	IL10	Interleukin 10
2.0553	NM_006709	BAT8	HLA-B-associated transcript 8
0.4942	U05877	IFNGR2	Interferon ? receptor 2 (interferon ? transducer 1)
0.4924	U72508	B7	B7 protein
0.4687	M29053	IL7	Interleukin 7
0.4644	AW800443	NA	Immunoglobulin ? locus
0.4655	NM_000966	RARG	Retinoic acid receptor ?
0.4562	NM_000874	IFNAR2	Interferon (?,B , ?) receptor 2
0.4053	NM_004233	CD83	Activated B lymphocytes, immunoglobulin superfamily
0.4587	BE270634	CD79B	CD79B antigen (immunoglobulin-associatedB)
0.4157	M88458	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2
0.4103	NM_006509	RELB	v-rel homolog B, nuclear factor of ? light polypeptide in B cells
0.4076	AF006636	SDCBP	Syndecan-binding protein (syntenin)
0.4129	M87790	IGLJ3	Immunoglobulin ? joining 3
0.4909	U83582	HLA-DQB1	Major histocompatibility complex, class II, DQB1
0.4161	M14662	HLA-DRB4	Major histocompatibility complex, class II, DRB4
0.3941	M26628	MME	Membrane metalloendopeptidase, CALLA, (CD10)
0.385	AI418605	HLA-DMA	Major histocompatibility complex, class II, DM ?
0.3623	AW404507	IGKC	Immunoglobulin ? constant
0.2978	M13560	CD74	CD74 (polypeptide, major histocompatibility complex, class II)
0.3008	X06026	CD3G	CD3G antigen, ? polypeptide (TiT3 complex)
0.2724	NM_002211	ITGB1	IntegrinB1 (fibronectin receptor, antigen CD29)
0.2245	S75217	CD79A	CD79A antigen (immunoglobulin-associated ?)
0.1995	NM_000885	ITGA4	Integrin ?4 (CD49D, ?4 subunit of VLA-4 receptor)
0.2007	D84276	CD38	CD38 antigen (p45)
0.2489	NM_003242	TGFBR2	Transforming growth factorBreceptor 2 (70/80 kDa)
0.1623	AW959214	CSF2RB	Colony-stimulating factor 2 receptorB
0.0433	AW172754	IGJ	J linker protein for immunoglobulin ? and µ polypeptides
