Gene Name	Gene Symbol	Accession No.	UniGene No.	Gene Ontology	M Value Con	M Value ET	M Value ST	P Value
Chitinase 3-like 1 (cartilage glycoprotein-39)	CHI3L1	AA434115	Hs.382202	Carbohydrate metabolism; chitin catabolism; extracellular matrix	1.16	1.47	2	0.03
C-type lectin domain family 3, member B	CLEC3B	W73889	Hs.476092	Skeletal development; sugar binding; extracellular region	0.91	1.41	1.68	0.04
Collagen, type XI, alpha 2	COL11A2	N66396	Hs.390171	Cell adhesion; phosphate transport; skeletal development; extracellular matrix structural constituent	0.83	1.37	1.95	0.02
Potassium large conductance  calcium-activated channel, subfamily M beta member 3	KCNMB3	AA934876	Hs.591285	Regulation of action potential; calcium-activated potassium channel activity; voltage-gated potassium channel complex	0.93	1.22	2.03	0.04
LIM domain 7	LMO7	H22826	Hs.207631	Protein ubiquitination; actomyosin structure organization and biogenesis; actin binding; ubiquitin ligase complex	2.14	2.94	4.46	0.04
Myosin regulatory light chain MRCL3	MRCL3	AI954996	Hs.190086	Regulation of smooth muscle contraction; motor activity; muscle myosin	2.39	8.31	4.41	0.02
Peroxisomal biogenesis factor 12	PEX12	H10965	Hs.591190	Protein import into peroxisome matrix; protein binding	0.91	1.65	2.14	0.01
Protein phosphatase 1, regulatory (inhibitor) subunit 12A	PPP1R12A	AA669126	Hs.49582	Regulation of muscle contraction; signal transducer activity; actin cytoskeleton	1.03	1.87	1.94	0.01
Protein kinase, cGMP dependent, type I	PRKG1	AA668959	Hs.584791	Protein amino-acid phosphorylation; protein serine/threonine kinase activity; regulation of smooth muscle contraction	2.8	12.69	12.61	0.05
Small proline-rich protein 1A	SPRR1A	AI923984	Hs.46320	Structural molecule activity; protein binding, bridging	1.06	1.53	2.67	0.03
Sarcospan (Kras oncogene-associated gene)	SSPN	AA620859	Hs.183428	Muscle contraction; cell adhesion; cytoskeleton; dystrophin-associated glycoprotein complex	1.3	2.38	3.28	0.01
Utrophin (homologous to dystrophin)	UTRN	AA676840	Hs.133135	Muscle contraction; muscle development; actin binding; calcium ion binding; protein binding; structural molecule activity	1.08	1.46	2.72	0.01
Arachidonate 15-lipoxygenase, type B	ALOX15B	AI858088	Hs.111256	Lipid metabolism; electron transport; lipoxygenase activity	0.95	1.35	1.55	0.03
Arylsulfatase F	ARSF	AI796044	Hs.101674	Metabolism; arylsulfatase activity	1.02	1.81	2.97	0.03
Amylase, alpha 1A	AMY1A	AA454854	Hs.484588	Carbohydrate metabolism	1.7	4.57	5.11	0.03
Cyclic AMP phosphoprotein, 19 kDa	ARPP-19	AA046528	Hs.512908	Positive regulation of glucose import; positive regulation of gluconeogenesis; receptor binding	3.19	4.82	7.64	0.03
2,3-Bisphosphoglycerate mutase	BPGM	AA678065	Hs.198365	Carbohydrate metabolism; glycolysis; bisphosphoglycerate phosphatase activity	1.11	1.46	2.14	0.04
Carbonyl reductase 3	CBR3	AI352345	Hs.154510	Metabolism; carbonyl reductase (NADPH) activity; oxidoreductase activity; cytosol	0.83	0.97	1.53	0.04
Cytochrome P450, family 3, subfamily A, polypeptide 7	CYP3A7	R91078	Hs.111944	Electron transport; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen; endoplasmic reticulum; unspecific monooxygenase activity	1.07	1.3	1.39	0.05
Cytochrome P450, family 4, subfamily B, polypeptide 1	CYP4B1	AA291484	Hs.436317	Electron transport; monooxygenase activity; oxygen binding; unspecific monooxygenase activity; endoplasmic reticulum	1.35	2.5	2.17	0.03
Dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	DLAT	N29901	Hs.335551	Metabolism; acetyl-CoA biosynthesis; glycolysis; pyruvate dehydrogenase complex	1.29	1.99	1.84	0.03
UDP-galactose-4-epimerase	GALE	AA280832	Hs.632380	Carbohydrate metabolism; galactose metabolism; isomerase activity	0.52	0.8	1.21	0.04
Glutamic–oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	GOT1	H22856	Hs.500756	Amino-acid metabolism; aspartate transaminase activity	5.68	11.21	3.76	0.05
Lactate dehydrogenase B	LDHB	AI969670	Hs.446149	Tricarboxylic acid cycle intermediate metabolism; anaerobic glycolysis; L-lactate dehydrogenase activity	0.36	0.64	0.15	0.01
Malic enzyme 1, NADP(+)-dependent, cytosolic	ME1	AA669689	Hs.21160	NADP biosynthetic process; carbohydrate metabolic process; malate metabolic process; ADP binding; NAD binding; NADP binding; electron carrier activity; malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+) activity	0.99	1.91	1.97	0.03
Sphingosine-1-phosphate lyase 1	SGPL1	AA459381	Hs.499984	Lipid metabolism; ceramide metabolism; carboxylic acid metabolism; sphingolipid catabolism; endoplasmic reticulum	1	1.15	1.64	0.03
Acyl–CoA synthetase long-chain family member 6	ACSL6	AA426087	Hs.14945	Lipid metabolism; acyl–CoA metabolism; long-chain-fatty-acid–CoA ligase activity; mitochondrial outer membrane	0.9	1.69	2.1	0.04
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1	ATP5F1	AA453765	Hs.514870	Ion transport; ATP synthesis-coupled proton transport; mitochondrial matrix proton-transporting ATP synthase complex, coupling factor F(o)	1.45	2.63	1.41	0.02
Branched chain keto acid dehydrogenase E1, betapolypeptide (maple syrup urine disease)	BCKDHB	AA427739	Hs.436387	Branched chain family amino-acid catabolism; 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity; mitochondrion; alpha-ketoglutarate dehydrogenase complex	0.77	1.43	0.95	0.04
Frataxin	FXN	AA253413	Hs.29978	Electron transport; inositol or phosphatidylinositol kinase activity; electron carrier activity; mitochondrion; iron ion transporter activity	1.03	1.3	1.2	0.03
Malate dehydrogenase 1, NAD (soluble)	MDH1	AA403295	Hs.526521	Glycolysis; tricarboxylic acid cycle; malate metabolism	1.55	6.42	3.44	0.01
Mature T-cell proliferation 1	MTCP1	AA029308	Hs.6917	Cell proliferation; mitochondrion	1.47	2.39	2.33	0.03
