Symbol	Gene name	Accession2	Ratio3	n4	p-value	Expression
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	AA600217	1,63	6	0,034	Up-regulated
RRM2	Ribonucleotide reductase M2 polypeptide	AA187351	1,59	6	0,036	Up-regulated
BTG1	B-cell translocation gene 1, anti-proliferative	N70463	1,57	6	0,021	Up-regulated
LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein (galectin 6 binding protein)	AA485353	1,54	6	0,002	Up-regulated
MAP1B	microtubule-associated protein 1B	AA219045	1,54	6	0,016	Up-regulated
CCNI	cyclin I	AA434408	1,52	6	0,005	Up-regulated
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	AA043506	1,51	5	0,021	Up-regulated
LAMR1	laminin receptor 1 (67kD, ribosomal protein SA)	AA629897	1,49	6	0,037	Up-regulated
ANXA11	annexin A11	AA465051	1,47	6	0,024	Up-regulated
IL8	interleukin 8	AA102526	1,46	6	0,02	Up-regulated
EGR3	early growth response 3	R39111	1,45	5	0,013	Up-regulated
P23	unactive progesterone receptor, 23 kD	AA669341	1,44	6	0,039	Up-regulated
ERCC5	excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))	N62586	1,44	3	0,014	Up-regulated
HSAPO-MUCN	Apomucin	AA159577	1,44	4	0,007	Up-regulated
SATB1	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	AA022561	1,44	5	0,002	Up-regulated
HSRTS-BETA	rTS beta protein	N66132	1,42	6	0,024	Up-regulated
KRT15	keratin 15	AA878048	1,42	4	0,003	Up-regulated
EEF2	eukaryotic translation elongation factor 2	R20379	1,41	6	0,031	Up-regulated
ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	AA464163	1,38	6	0,043	Up-regulated
GTF2F1	general transcription factor IIF, polypeptide 1 (74kD subunit)	AA282092	1,37	5	0,043	Up-regulated
PCSK1	proprotein convertase subtilisin/kexin type 1	R17394	1,37	6	0,035	Up-regulated
RCN2	reticulocalbin 2, EF-hand calcium binding domain	AA598676	1,36	4	0,022	Up-regulated
HLA-C	major histocompatibility complex, class I, C	AA464246	1,36	6	0,013	Up-regulated
MCM3	Minichromosome maintenance deficient (S. cerevisiae) 3	AA455786	1,35	6	0,017	Up-regulated
CCT6A	chaperonin containing TCP1, subunit 6A (zeta 1)	AA872690	1,35	4	0,047	Up-regulated
YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	N21624	1,33	5	0,009	Up-regulated
HOXA1	homeo box A1	AA173290	1,33	6	0,042	Up-regulated
