LocusLink ID	Gene symbol	Description	Mean fold change (tumor/cyst)
7103	TSPAN8	Tetraspanin 8	16.7
10140	ANXA2	Annexin A2	12.1
10276	NET1	Neuroepithelioma transforming gene 1	9.5
28585	TMEM50A	Transmembrane protein 50A	8.5
2065	ERBB3	V-erb-B2 erythroblast 3	7.5
29997	GLTSCR2	Glioma tumor suppressor candidate region gene 2	7.5
5879	RAC1	Ras-related C3 botulium toxin substrate 1	6.6
2017	CTTN	Cortactin	6.3
55749	CCAR1	Cell division cycle and apoptosis regulator 1	6.1
113201	H63	Breast cancer expressed gene transcript variant 2	5.9
