Gene Name	p-value	Class A v B Fold Change	Common Name	Genbank
214451_at	5.04E-11	44.66	TFAP2B	NM_003221
209173_at	7.88E-07	25.86	AGR2	AF088867
217276_x_at	2.36E-08	22.61	dJ222E13.1	AL590118
216623_x_at	1.14E-05	20.46	TNRC9	AK025084
204607_at	1.81E-09	20.06	HMGCS2	NM_005518
217284_x_at	2.56E-07	19.42	dJ222E13.1	AL589866
206509_at	1.02E-08	17.82	PIP	NM_002652
214774_x_at	2.29E-06	16.7	TNRC9	AK027006
214243_s_at	5.46E-08	15.55	dJ222E13.1	AL450314
207802_at	6.88E-06	14.47	CRISP3	NM_006061
206463_s_at	1.37E-06	14.41	DHRS2	NM_005794
220192_x_at	2.05E-10	13.99	SPDEF	NM_012391
209309_at	1.78E-05	13.8	AZGP1	D90427
214404_x_at	1.70E-13	12.31	SPDEF	AI435670
215108_x_at	1.58E-05	11.79	TNRC9	U80736
217528_at	7.75E-05	11.33	CLCA2	BF003134
201525_at	1.80E-07	11.05	APOD	NM_001647
218922_s_at	7.43E-08	9.676	LASS4	NM_024552
213441_x_at	7.99E-11	9.494	SPDEF	AI745526
204667_at	1.80E-12	7.782	FOXA1	NM_004496
217562_at	5.78E-05	7.704	DBCCR1L	BF589529
209813_x_at	5.71E-05	7.691	TRGV9; V2; T	M16768
214079_at	4.21E-05	7.428	DHRS2	AK000345
210576_at	6.64E-05	7.337	CYP4F8	AF133298
205221_at	1.64E-06	6.974	HGD	NM_000187
213884_s_at	1.04E-09	6.785	TRIM3	AA114843
211657_at	2.95E-05	6.542		M18728
211237_s_at	9.51E-07	6.317	FGFR4	AF202063
204623_at	2.61E-07	6.007	TFF3	NM_003226
218211_s_at	5.11E-12	5.895	MLPH	NM_024101
39763_at	2.12E-10	5.599	HPX	M36803
204719_at	7.17E-05	5.233	ABCA8	NM_007168
220622_at	1.24E-05	5.222	FLJ23259	NM_024727
210013_at	3.00E-05	5.165	HPX	BC005395
211110_s_at	1.46E-05	4.951	AR	AF162704
218313_s_at	2.45E-06	4.85	GALNT7	NM_017423
