Gene name	Accession number	Location	SW48-WI38	SW48-colon	CpG island
KIAA0789	NM_014653	12q24.11	1.886	1.053	Promoter
Forkhead box F1 (FOXF1)	NM_001451	16q24	1.584	0.934	Exon 2
Sonic hedgehog homolog (SHH)	NM_000193	7q36	1.31	1.208	Exon 2
Disintegrin and metalloproteinase domain 12 (ADAM12)	NM_003474	10q26.3	1.535	0.957	Promoter
RAS-like, family 11, member A (RASL11A)	NM_206827	13q22.2	1.629	0.849	Promoter
Paired box gene 6 (PAX6)	NM_000280	11p13	1.245	1.014	Promoter
Predicted gene	BC038214	1q31.3	1.006	1.14	Promoter
Zinc finger protein 677 (ZNF677)	NM_182609	19q13.42	1.426	0.753	Promoter
GATA binding protein 3 (GATA3)	NM_001002295	10p15	1.109	0.928	Promoter
FLJ25439	NM_144725	5p13.2	1.217	0.756	Promoter
Cell division cycle associated 2 (CDCA2)	NM_152562	8p21.2	0.87	1.099	Promoter
Transforming growth factor, beta 2 (TGFB2)	NM_003238	1q41	1.101	0.811	Promoter
Zinc finger protein 566 (ZNF566)	NM_032838	19q13.13	1.066	0.831	Promoter
Ribosomal protein S27-like (RPS27L)	NM_015920	15q22.2	0.988	0.891	Promoter
LOC283514	NM_198849	13q14.13	0.823	0.907	Promoter
Aristaless-like homeobox 4 (ALX4)	NM_021926	11p11.2	1.04	0.733	Promoter
Transcriptional co-activator with PDZ-binding motif (TAZ)	NM_015472	3q23–q24	1.117	0.417	Promoter
Death-associated protein (DAP)	NM_004394	5p15.2	0.801	0.566	Promoter
