Accession no	Gene symbol	Description	Ratio HC/CB	P-value	Function
NM_016823	CRK	v-crk avian sarcoma virus CT10 oncogene homologue	100.00	2.72E-04	Cell adhesion, migration and angiogenesis
NM_004309	ARHGDIA	Rho GDP dissociation inhibitor alpha	100.00	4.88E-04	Cell adhesion, migration and angiogenesis
NM_003870	IQGAP1	IQ motif containing GTPase activating protein 1	100.00	6.03E-07	Cell adhesion, migration and angiogenesis
NM_002394	SLC3A2	Solute carrier family 3, member 2	71.24	3.64E-11	Cell adhesion, migration and angiogenesis
AF212238	PPAPDC1B	Phosphatidic acid phosphatase type 2 domain containing 1B	68.88	3.05E-06	Cell adhesion, migration and angiogenesis
NM_005718	ARPC4	Actin related protein 23 complex, subunit 4 (20 kD)	64.69	1.04E-07	Cell adhesion, migration and angiogenesis
L13386	PAFAH1B1	Platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45 kDa	52.27	1.06E-06	Cell adhesion, migration and angiogenesis
NM_001913	CUTL1	Cut (Drosophila)-like 1	50.74	7.28E-11	Cell adhesion, migration and angiogenesis
NM_007034	DNAJB4	DnaJ-like heat shock protein 40	45.94	1.24E-05	Cell adhesion, migration and angiogenesis
M98399	CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)	45.18	3.18E-05	Cell adhesion, migration and angiogenesis
NM_013255	MKLN1	Muskelin 1, intracellular mediator containing kelch motifs	40.88	2.22E-04	Cell adhesion, migration and angiogenesis
AU159484	GRLF1	Glucocorticoid receptor DNA binding factor 1	27.08	1.14E-05	Cell adhesion, migration and angiogenesis
BF000332	DNCH1	Dynein, cytoplasmic, heavy polypeptide 1	26.19	1.27E-04	Cell adhesion, migration and angiogenesis
NM_006633	IQGAP2	IQ motif containing GTPase activating protein 2	22.74	1.82E-05	Cell adhesion, migration and angiogenesis
AW026543	FPRL2	Formyl peptide receptor-like 2	22.34	6.07E-12	Cell adhesion, migration and angiogenesis
R45067	DOCK7	yg38c08.s1 Soares infant brain 1NIB	20.14	7.77E-10	Cell adhesion, migration and angiogenesis
NM_015313	ARHGEF12	KIAA0382 protein; leukemia-associated rho guanine nucleotide exchange factor	13.54	3.23E-04	Cell adhesion, migration and angiogenesis
BI668074	RHOB	Ras homologue gene family, member B	12.26	2.66E-07	Cell adhesion, migration and angiogenesis
NM_001144	AMFR	Autocrine motility factor receptor	9.50	4.05E-09	Cell adhesion, migration and angiogenesis
NM_016221	DCTN4	Dynactin p62 subunit	7.87	2.70E-05	Cell adhesion, migration and angiogenesis
NM_003255	TIMP2	Tissue inhibitor of metalloproteinase 2	7.27	5.38E-04	Cell adhesion, migration and angiogenesis
AI341234	CORO1B	Coronin, actin binding protein, 1B	6.72	3.84E-05	Cell adhesion, migration and angiogenesis
NM_000201	ICAM1	Intercellular adhesion molecule 1 (CD54)	6.13	1.48E-09	Cell adhesion, migration and angiogenesis
M90657	TM4SF1	Human tumor antigen (L6)	5.19	1.16E-08	Cell adhesion, migration and angiogenesis
AW073672	CTNND1	Catenin (cadherin-associated protein), delta 1	4.29	6.07E-12	Cell adhesion, migration and angiogenesis
NM_006079	CITED2	Cbpp300-interacting transactivator, with GluAsp-rich carboxy-terminal domain, 2	4.22	4.33E-05	Cell adhesion, migration and angiogenesis
NM_021913	AXL1	AXL receptor tyrosine kinase	4.21	6.07E-12	Cell adhesion, migration and angiogenesis
AA215854	ITGB1	Integrin, beta 1	4.20	6.28E-08	Cell adhesion, migration and angiogenesis
AJ012502	RAC1	Ras-related C3 botulinum toxin substrate 1	3.98	1.78E-08	Cell adhesion, migration and angiogenesis
NM_006289	TLN1	Talin	3.96	3.26E-04	Cell adhesion, migration and angiogenesis
