Gene name	Description	GenBank no.	Fold change	Function
ATF3	Activating transcription factor 3	NM_004024	224.94	ER stress
DDIT3	DNA damage–inducible transcript 3 (CHOP/GADD153)	NM_004083	58.93	ER stress
HERPUD1	Homocysteine-inducible, ER stress–inducible, ubiquitin-like domain member 1 (HERP)	NM_014685	30.28	ER stress
HSPA5	Heat shock 70-kDa protein 5 (BIP/GRP78)	NM_005347	9.76	ER stress
HSP90B1	Heat shock protein 90 kDa h member 1 (GRP94)	NM_003299	7.51	ER stress
PHLDA2	Pleckstrin homology–like domain, family A, member 2	NM_003311	6.35	ER stress
PHLDA1	Pleckstrin homology–like domain, family A, member 1 (TDAG51)	NM_007350	5.96	ER stress
XBP1	X-box binding protein 1	NM_005080	4.88	ER stress
PDIA4	Protein disulfide isomerase related protein	NM_004911	2.88	ER stress
VCP	Valosin-containing protein	NM_007126	-2.16	ER stress
GADD45b	Growth arrest and DNA damage–inducible, h	NM_015675	27.6	Apoptosis/growth
IER3	Immediate early response 3, transcript variant short	NM_003897	27.22	Apoptosis/growth
AIP1	Baculoviral IAP repeat–containing 3 (BIRC3), transcript variant 1	NM_001165	23.97	Apoptosis/growth
MCL1	Myeloid cell leukemia sequence 1 (BCL2 related)	NM_021960	15.06	Apoptosis/growth
NAG-1	Homo sapiens growth differentiation factor 15 (GDF15), mRNA	NM_004864	14.65	Apoptosis/growth
GADD45a	Growth arrest and DNA damage–inducible, a	NM_001924	10.52	Apoptosis/growth
INHbA	Inhibin, hA	NM_002192	4.45	Apoptosis/growth
CUL1	Cullin 1	NM_003592	-2.46	Apoptosis/growth
PDCD6	Programmed cell death 6	NM_013232	-2.99	Apoptosis/growth
CROP	Cisplatin resistance–associated overexpressed protein	NM_016424	-3.67	Apoptosis/growth
MAEA	Macrophage erythroblast attacher	NM_005882	-3.93	Apoptosis/growth
EGR1	Early growth response 1	NM_001964	364.75	Transcription factor
FOS	v-fos FBJ murine osteosarcoma viral oncogene homologue	NM_005252	144.5	Transcription factor
JUN	v-jun sarcoma virus 17 oncogene homologue	NM_002228	108.2	Transcription factor
EGR4	Early growth response 4	NM_001965	80.83	Transcription factor
NR4A1	Nuclear receptor subfamily 4, group A, member 1 (Nur77)	NM_002135	73.11	Transcription factor
KLF6	Kru¨ppel-like factor 6, transcript variant 2	NM_001300	32.58	Transcription factor
NR4A2	Nuclear receptor subfamily 4, group A, member 2 (Nurr1)	NM_006186	25.55	Transcription factor
CREB5	cAMP responsive element binding protein 5	NM_182898	14.36	Transcription factor
JUNB	jun B proto-oncogene	NM_002229	12.32	Transcription factor
KLF2	Kru¨ppel-like factor 2 (lung)	NM_016270	11.48	Transcription factor
FOSB	FBJ murine osteosarcoma viral oncogene homologue B	NM_006732	10.62	Transcription factor
EGR3	Early growth response 3	NM_004430	9.26	Transcription factor
KLF10	Kru¨ppel-like factor 10	NM_005655	7.55	Transcription factor
RELB	v-rel reticuloendotheliosis viral oncogene homologue B	NM_006509	7.25	Transcription factor
ETS2	v-ets erythroblastosis virus E26 oncogene homologue 2	NM_005239	6.33	Transcription factor
FOSL2	FOS-like antigen 2	NM_005253	5.73	Transcription factor
BTG2	BTG family, member 2	NM_006763	5.63	Transcription factor
FOSL1	FOS-like antigen 1	NM_005438	4.8	Transcription factor
FOXQ1	Forkhead box Q1	NM_033260	4.45	Transcription factor
BHLHB2	Basic helix-loop-helix domain containing, class B, 2	NM_003670	4.09	Transcription factor
MYC	v-myc myelocytomatosis viral oncogene homologue (avian), mRNA	NM_002467	2.98	Transcription factor
MORF4	Mortality factor 4	NM_006792	-2.02	Transcription factor
SUPT16H	Suppressor of Ty 16 homologue	NM_007192	-2.08	Transcription factor
CNOT7	CCR4-NOT transcription complex, subunit 7	NM_013354	-2.21	Transcription factor
TCF3	Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	NM_003200	-2.38	Transcription factor
TFB1M	Transcription factor B1, mitochondrial	NM_016020	-2.4	Transcription factor
MORF4L1	Mortality factor 4 like 1	NM_206839	-2.43	Transcription factor
HDAC1	Histone deacetylase 1	NM_004964	-2.53	Transcription factor
RXRa	Retinoid X receptor, a	NM_002957	-2.72	Transcription factor
HDAC2	Histone deacetylase 2	NM_001527	-3.25	Transcription factor
GTF2E2	General transcription factor IIE, polypeptide 2, h 34 kDa	NM_002095	-3.69	Transcription factor
TFB2M	Transcription factor B2, mitochondrial	NM_022366	-4.71	Transcription factor
HOXA3	Homeobox A3	NM_153631	-7.08	Transcription factor
