LocusLinkNAIDNANA	Accession number	Gene symbol	Sequence Description	Fold change	p-value(FDR)
6654	AK022099	SOS1	cDNA FLJ12037 fis, clone HEMBB1001921.	100	5.90E-09
56999	AF086069	ADAMTS9	full length insert cDNA clone YZ35C05.	100	1.20E-09
6672	AF085934	SP100	full length insert cDNA clone YR57D07.	100	6.70E-13
9031	AF132602	BAZ1B	Williams Syndrome critical region WS25 mRNA, partial sequence.	43.78	2.90E-05
64919	AJ404614	BCL11B	mRNA for B-cell lymphoma/leukaemia 11B (BCL11B gene).	37.11	9.20E-04
NA	AF095854	NA	asthmatic clone 2 mRNA, 3 UTR.	24.88	1.90E-03
3489	M62402	IGFBP6	insulin-like growth factor binding protein 6 (IGFBP6) mRNA, complete cds.	15.06	2.10E-07
8692	NM_003773	HYAL2	hyaluronoglucosaminidase 2 (HYAL2), transcript variant 1	12.67	6.70E-42
2199	NM_001998	FBLN2	fibulin 2 (FBLN2)	10.9	6.70E-42
492304	AK025719	LOC492304	cDNA: FLJ22066 fis, clone HEP10611.	9.6	2.50E-41
1382	NM_001878	CRABP2	cellular retinoic acid binding protein 2 (CRABP2)	9.12	2.00E-06
10365	NM_016270	KLF2	Kruppel-like factor 2 (lung) (KLF2)	8.73	6.70E-42
22808	NM_012219	MRAS	muscle RAS oncogene homolog (MRAS)	8.32	6.70E-42
90809	AL137727	C14orf9	mRNA; cDNA DKFZp434M0519 (from clone DKFZp434M0519); partial cds.	7.62	1.90E-28
1514	NM_001912	CTSL	cathepsin L (CTSL), transcript variant 1	7.58	6.70E-42
3554	NM_000877	IL1R1	interleukin 1 receptor, type I (IL1R1)	7.56	7.70E-15
55600	NM_017625	ITLN1	intelectin 1 (galactofuranose binding) (ITLN1)	7.53	6.70E-42
5744	NM_002820	PTHLH	parathyroid hormone-like hormone (PTHLH)	7.48	6.70E-42
5239	AL137698	PGM5	mRNA; cDNA DKFZp434C1915 (from clone DKFZp434C1915); partial cds.	6.83	1.50E-37
7148	Y17867	TNXB	mRNA for tenascin-X (partial), fibronectin type III repeats h13-h16 and h13a.	6.78	2.10E-17
10100	AK022144	TSPAN2	cDNA FLJ12082 fis, clone HEMBB1002492.	6.61	2.20E-26
6405	NM_004186	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F (SEMA3F)	6.56	6.70E-42
10716	NM_006593	TBR1	T-box, brain, 1 (TBR1)	6.48	5.80E-32
3783	NM_002250	KCNN4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4 (KCNN4)	6.38	6.70E-42
2006	NM_000501	ELN	elastin (supravalvular aortic stenosis, Williams-Beuren syndrome) (ELN)	6.12	1.50E-07
7056	NM_000361	THBD	thrombomodulin (THBD)	6.06	6.70E-42
10397	NM_006096	NDRG1	N-myc downstream regulated gene 1 (NDRG1)	5.89	2.40E-27
79148	AF315683	MMP28	matrix metalloproteinase 28 (MMP28) mRNA, complete cds.	5.82	6.70E-42
6441	NM_003019	SFTPD	surfactant, pulmonary-associated protein D (SFTPD)	5.74	8.90E-39
4207	NM_005919	MEF2B	MADS box transcription enhancer factor 2, polypeptide B (myocyte enhancer factor 2B) (MEF2B)	5.73	6.70E-42
54941	AK027134	RNF125	cDNA: FLJ23481 fis, clone KAIA03003.	5.65	6.30E-11
1240	NM_004072	CMKLR1	chemokine-like receptor 1 (CMKLR1)	5.53	1.10E-19
