ID probe set	(i)	R-fold	RT–PCR/WB validation	Gene symbol	Dendrog. cluster	Gene name 	Functional class
94767_at	-7.7978	0.9184	-1.37	Rps11	4	Ribosomal protein S11	Protein biosynthesis
160269_at	5.5646	1.0507		Gfer	4	Growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration)	Cell growth and proliferation
94774_at	-4.9093	0.6057	<-50	Ifi202b	8	Interferon-activated gene 202B	Response to IFN
92582_at	-5.166	0.826		Slc1a7	4	Solute carrier family 1, member 7	Cellular transport and trafficking processes
99608_at	7.9648	1.1106	-1.19	Prdx2	2	Peroxiredoxin 2	Antioxidant, prevention of senescence
97520_s_at	5.6913	1.2057		Nnat	2	Neuronatin	Development
93378_at	5.5111	1.2012	1.07	Hoxc8	2	Homeo box C8	Development
104427_at	-4.773	0.9448		Mtmr13	4	Myotubularin-related protein 13	Development
94854_g_at	7.9719	1.1832	1.15	Gnb1	2	Guanine nucleotide binding protein, beta 1	Signaling
97458_at	7.0677	1.2222	1.15	Gnb1	2	Guanine nucleotide binding protein, beta 1	Signaling
160536_at	-4.8432	0.9375		Hras1	4	Harvey rat sarcoma virus oncogene 1	Signaling
95052_at	-9.8734	0.8165	-6.28	1110035L05Rik	4	RIKEN cDNA 1110035L05 gene	Unknown
93059_at	-7.4289	0.8716	<-50	2610204K14Rik	4	RIKEN cDNA 2610204K14 gene	Unknown
