Accession	Gene Name	I/C	location
H93118	hypothetical protein FLJ12592	0.05	3q22.1
R76499	hypothetical protein BC007384	0.05	19p13.13
AA280677	Zinc finger protein 258	0.08	1p34.2
W07300	Adaptor-related protein complex 1, gamma 1 subunit	0.09	16q23
AA521431	Profilin 1	0.09	17p13.3
W05628	Phosphoserine phosphatase-like	0.09	7q11.2
N29376	Myeloid cell nuclear differentiation antigen	0.12	1q22
AA458472	Major histocompatibility complex, class II, DQ beta 1	0.12	6p21.3
R78516	Selenoprotein T	0.13	3q25.1
AA481758	DnaJ (Hsp40) homolog, subfamily B, member 1	0.15	19p13.2
W15465	EST	0.15	8
AA459263	EST	0.16	15
AA464880	Carbonic anhydrase III, muscle specific	0.16	8q13-q22
N91385	Membrane-spanning 4-domains, subfamily A, member 1	0.16	11q12
H94617	Replication factor C (activator 1) 3 (38kD)	0.18	13q12.3-q13
R22977	Moesin	0.19	Xq11.2-q12
AA456352	Pre-mRNA splicing factor similar to S. cerevisiae Prp16	0.20	16q21-q22.3
N80129	Metallothionein 1L	0.20	16q13
AA429895	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	0.20	17q22
AA490991	Heterogeneous nuclear ribonucleoprotein F	0.21	n/a
AA598653	Osteoblast specific factor 2 (fasciclin I-like)	0.24	13q13.3
T85191	DKFZp667J115	0.24	1p36.11-p34.2
AA029842	Mature T-cell proliferation 1	0.24	Xq28
AA401693	CD163 antigen	0.24	12p13.3
N63635	pim-1 proto-oncogene gene serine/threonine protein kinase	0.25	6p21.2
AA019996	Prostaglandin E receptor 4 (subtype EP4)	0.25	5p13.1
AA397813	CDC28 protein kinase 2	0.25	9q22
AA446290	Suppression of tumorigenicity 5	0.25	11p15
AA448569	Sushi-repeat-containing protein, X chromosome	0.26	Xp21.1
AA598496	IQ motif containing GTPase activating protein 1	0.26	15q26.1
AA595521	Arachidonate 15-lipoxygenase, second type	0.26	17p13.1
R74078	KIAA1741 protein	0.27	n/a
AA490267	pleckstrin	0.27	2p13.3
AA281932	EST	0.27	n/a
R64153	KIAA1754 protein	0.28	10q25.1
AA486518	Chloride intracellular channel 1	0.28	6p22.1-p21.2
N53172	G protein-coupled receptor	0.28	2
AA489246	Suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)	0.28	11q24-q25
H79353	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	0.28	1q23
R68464	FLJ31517 fis	0.28	n/a
AA464627	Proteolipid protein 2 (colonic epithelium-enriched)	0.29	Xp11.23
AA443506	Rho GTPase activating protein 1	0.29	11p12-q12 
AA411440	Villin 2 (ezrin)	0.29	6q25.2-q26
AA228130	PC4 and SFRS1 interacting protein 1	0.30	9p22.2
AA454668	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	0.30	9q32-q33.3
AA402207	Eyes absent (Drosophila) homolog 2	0.31	20q13.1
R86304	Eukaryotic translation initiation factor 2B, subunit 2 (beta, 39kD)	0.31	14q24.3
T49159	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	0.31	18q21.3
H44784	Bullous pemphigoid antigen 1 (230/240kD)	0.31	6p12-p11
AA454572	MCM2 minichromosome maintenance deficient 2, mitotin	0.31	3q21
H16637	Vascular cell adhesion molecule 1	0.31	1p32-p31
T99671	EST	0.32	2
H79047	Insulin-like growth factor binding protein 2 (36kD)	0.32	2q33-q34
AA449678	GS2 gene	0.32	Xp22.3
W93317	hypothetical protein BC017488	0.32	16p12.1
N49629	Diubiquitin	0.32	6p21.3
N76878	Decidual protein induced by progesterone	0.32	10q11.21
H62028	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	0.33	1q32
R96941	Hypothetical protein dJ616B8.3	0.33	20q11.22-q12
H26183	CCAAT/enhancer binding protein (C/EBP), beta	0.33	20q13.1
T77595	Hexabrachion (tenascin C, cytotactin)	0.33	9q33
AA487560	Caveolin 1, caveolae protein, 22kD	0.33	7q31.1
R75635	Collagen, type V, alpha 1	0.34	9q34.2-q34.3
N94468	Jun B proto-oncogene	0.34	19p13.2
AA491191	Interferon, gamma-inducible protein 16	0.34	1q22
AA459318	Tumor protein D52	0.34	8q21
AA478542	A kinase (PRKA) anchor protein (gravin) 12	0.34	6q24-q25
H20872	Fc fragment of IgG, low affinity IIIa, receptor for (CD16)	0.35	1q23
