Gene name	Gene symbol	Map	Accession no.	CGH analysis ratio	Expression analysis t(P)	Function	Expression
Neurogranin (protein kinase C substrate, RC3)	NRGN	11q24	NM_006176	3.03	2.78 (0.004)	Clear cell adenocarcinoma	Overexpressed
ADP-ribosyltransferase 3	ART3	4p15.1-p14	NM_001179	2.68	3.37 (0.01)	Clear cell adenocarcinoma	Overexpressed
ATP-binding cassette, subfamily F (GCN20)	ABCF2	7q35-q36	NM_007189	2.58	2.21 (0.02)	Clear cell adenocarcinoma	Overexpressed
Zinc finger protein 207	ZNF207	17q11.2	NM_003457	2.27	3.55 (<0.001)	Clear cell adenocarcinoma	Overexpressed
Cytochrome P450, subfamily VII, subfamily	CYP7B1	8q21.3	NM_004820	1.65	2.46 (0.001)	Clear cell adenocarcinoma	Overexpressed
KIAA1140 protein	KIAA1140	2p21	AK_046740	1.59	2.15 (0.002)	Clear cell adenocarcinoma	Overexpressed
Leucine zipper–like transcriptional regulator 1	LZTR1	22q11.21	NM_006767	1.48	4.94 (<0.001)	Clear cell adenocarcinoma	Overexpressed
Hypoxia-inducible protein 2	HIG2	7q32.2	NM_013332	1.48	2.11 (0.021)	Clear cell adenocarcinoma	Overexpressed
Kinesin family member 5A	KIF5A	12q13	NM_004984	1.47	2.88 (0.004)	Clear cell adenocarcinoma	Overexpressed
ATPase, Na+/K+transporting, ?3 polypeptide	ATP1B3	3q22-q23	NM_001679	1.43	2.18 (0.018)	Clear cell adenocarcinoma	Overexpressed
Transcription factor 21	TCF21	6q23	NM_198392	1.42	2.62 (0.007)	Clear cell adenocarcinoma	Overexpressed
KIAA0955 protein	KIAA0955	19q13.33	AB_023172	1.41	2.12 (0.002)	Clear cell adenocarcinoma	Overexpressed
Interleukin-15 receptor, ?	IL15RA	10p15-p14	NM_002189	2.2	?2.23 (0.017)	Serous cystadenocarcinomas	Overexpressed
Hepatocyte nuclear factor 3, ?	HNF3A	14q12-q13	NM_004496	1.93	?3.06 (0.002)	Serous cystadenocarcinomas	Overexpressed
Small proline-rich protein SPRK	SPRK	1q21	AW_135226	1.49	?2.50 (0.009)	Serous cystadenocarcinomas	Overexpressed
Cysteine-rich protein 1 (intestinal)	CRIP1	7q11.23	NM_001311	1.44	?2.93 (0.003)	Serous cystadenocarcinomas	Overexpressed
Podocalyxin-like	PODXL	7q32-q33	NM_005397	1.42	?2.95 (0.003)	Serous cystadenocarcinomas	Overexpressed
GCIP-interacting protein p29	p29	1p36.13-p35.1	NM_015484	1.42	?2.61 (0.007)	Serous cystadenocarcinomas	Overexpressed
Neuron-specific protein	D4S234E	4p16.3	NM_014392	1.41	?2.21 (0.017)	Serous cystadenocarcinomas	Overexpressed
DKFZP564D177 protein	NIPSNAP3A	9q31	NM_015469	1.41	?2.71 (0.005)	Serous cystadenocarcinomas	Overexpressed
Kallikrein 6 (neurosin, zyme)	KLK6	19q13.3	NM_0002774	0.63	?3.22 (0.002)	Clear cell adenocarcinoma	Underexpressed
KIAA0575 gene product	GREB1	2p25.1	NM_148903	0.69	?2.90 (0.003)	Clear cell adenocarcinoma	Underexpressed
ESTs	—	12q24.1	—	0.69	?3.72 (<0.001)	Clear cell adenocarcinoma	Underexpressed
Prepronociceptin	PNOC	8q21	NM_006228	0.71	?3.87 (<0.001)	Clear cell adenocarcinoma	Underexpressed
ESTs	—	19q13.4	—	0.71	?3.30 (0.001)	Clear cell adenocarcinoma	Underexpressed
Fibrinogen, A ? polypeptide	FGA	4q28	NM_000508	0.09	2.28 (0.015)	Serous cystadenocarcinomas	Underexpressed
Meningioma expressed antigen 6	MGEA6	14q13.3	NM_203356	0.12	4.07 (<0.001)	Serous cystadenocarcinomas	Underexpressed
Aldo-keto reductase family 1, member C4	AKR1C4	10p15-p14	NM_001818	0.12	3.97 (<0.001)	Serous cystadenocarcinomas	Underexpressed
Ligase III, DNA, ATP dependent	LIG3	17q11.2-q12	NM_013975	0.13	3.66 (0.001)	Serous cystadenocarcinomas	Underexpressed
Methyl-CpG-binding domain protein 1	MBD1	18q21	NM_015846	0.18	2.71 (0.005)	Serous cystadenocarcinomas	Underexpressed
Retinol-binding protein 4, plasma	RBP4	10q23-q24	NM_006744	0.2	3.28 (0.001)	Serous cystadenocarcinomas	Underexpressed
Insulin-like growth factor 1 receptor	IGF1R	15q26.3	NM_000875	0.22	2.62 (0.007)	Serous cystadenocarcinomas	Underexpressed
Insulin-degrading enzyme	IDE	10q23-q25	NM_004969	0.24	2.21 (0.017)	Serous cystadenocarcinomas	Underexpressed
Glypican 3	GPC3	Xq26.1	NM_004484	0.26	3.01 (0.003)	Serous cystadenocarcinomas	Underexpressed
Spectrin, ?, nonerythrocytic 1	SPTBN1	2p21	NM_003128	0.28	322 (0.001)	Serous cystadenocarcinomas	Underexpressed
LIM and senescent cell antigen-like domains 1	LIMS1	2q12.3	NM_004987	0.29	2.22 (0.017)	Serous cystadenocarcinomas	Underexpressed
Mutated in colorectal cancers	MCC	5q21-q22	NM_002387	0.29	2.11 (0.022)	Serous cystadenocarcinomas	Underexpressed
Carboxypeptidase M	CPM	12q15	NM_001874	0.29	3.16 (0.002)	Serous cystadenocarcinomas	Underexpressed
Hexosaminidase A (? polypeptide)	HEXA	15q23-q24	NM_000520	0.29	2.40 (0.01)	Serous cystadenocarcinomas	Underexpressed
Homo sapiens mRNA; cDNA DKFZp434K152	DKFZp434K152	1p34.2	AL_157461	0.3	2.42 (0.01)	Serous cystadenocarcinomas	Underexpressed
