Ratio	GenBank accession no.	Gene	Description
12.0926	AB006967	SOCS3	Suppressor of cytokine signaling 3
7.0515	AF016898	BATF	Basic leucine zipper transcription factor, ATF-like
2.8815	L23959	TFDP1	Transcription factor Dp-1
2.6115	AJ012463	STAT3	Signal transducer and activator of transcription 3
2.3195	AW021229	XBP1	X-box-binding protein 1
2.2535	AA478534	STAT1	Signal transducer and activator of transcription 1
2.2981	D43945	TFEC	Transcription factor EC
2.1945	N39944	ATF3	Activating transcription factor 3
0.4845	U47677	E2F1	E2F transcription factor 1
0.4108	X12492	NFIC	Nuclear factor I/C (CCAAT-binding transcription factor)
0.4115	AW372543	ATF6	Activating transcription factor 6
0.3677	AA477295	PC4	Activated RNA polymerase II transcription cofactor 4
0.3465	U49020	MEF2A	MADS box transcription enhancer factor 2
0.3507	AW005941	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)
0.3144	U22376	MYB	v-myb myeloblastosis viral oncogene homolog (avian)
0.2976	U18671	STAT2	Signal transducer and activator of transcription 2, 113 kDa
0.2455	AA936434	TCF4	Transcription factor 4
