Gene	Accession a	Expression
Hypothetical protein DJ971N18.2	NM_021156	Higher relative expression in LMP-G1
Calpastatin	NM_001750	Higher relative expression in LMP-G1
Kinesin family member 13B	NM_015254	Higher relative expression in LMP-G1
Homo sapiens cDNA FLJ30991	Hs.348799	Higher relative expression in LMP-G1
Mucin 5, subtype B, tracheobronchial	Hs.102482	Higher relative expression in LMP-G1
RIM binding protein 2	Hs.65746	Higher relative expression in LMP-G1
Ribosomal protein L19	Hs.252723	Higher relative expression in LMP-G1
Catenin (cadherin-associated protein), alpha-like 1	NM_003798	Higher relative expression in LMP-G1
S100 calcium binding protein A10	Hs.119301	Higher relative expression in LMP-G1
Tumor protein, translationally-controlled 1	Hs.374596	Higher relative expression in LMP-G1
Plexin B2	Hs.3989	Higher relative expression in LMP-G1
Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	NM_000389	Higher relative expression in LMP-G1
Sapiens cDNA: FLJ21547 fis, clone COL06206.	Hs.322680	Higher relative expression in LMP-G1
Claudin 10	NM_006984	Higher relative expression in LMP-G1
BTB (POZ) domain containing 2	NM_017797	Higher relative expression in LMP-G1
Sialyltransferase	NM_006456	Higher relative expression in LMP-G1
Putative translation initiation factor	NM_005801	Higher relative expression in LMP-G1
Hypothetical gene BC008967	NM_033201	Higher relative expression in LMP-G1
ADP-ribosyltransferase-like 1	NM_006437	Higher relative expression in LMP-G1
Transmembrane 4 superfamily member 8	NM_005724	Higher relative expression in LMP-G1
RAD21 homolog (S. pombe)	NM_006265	Higher relative expression in G2?G3
Cofilin 1 (nonmuscle)	NM_005507	Higher relative expression in G2?G3
Signal transducer and activator of transcription 1, 91 kDa	NM_007315	Higher relative expression in G2?G3
Ras homolog enriched in brain	NM_005614	Higher relative expression in G2?G3
Jumping translocation breakpoint	NM_006694	Higher relative expression in G2?G3
START domain containing 7	NM_020151	Higher relative expression in G2?G3
BRCA1 associated protein-1	NM_004656	Higher relative expression in G2?G3
Propionyl coenzyme A carboxylase, beta polypeptide	NM_000532	Higher relative expression in G2?G3
MCM6 minichromosome maintenance deficient 6	NM_005915	Higher relative expression in G2?G3
Small nuclear ribonucleoprotein polypeptides B and B1	NM_003091	Higher relative expression in G2?G3
Fatty acid synthase	U29344	Higher relative expression in G2?G3
Protein tyrosine phosphatase type IVA, member 2	NM_003479	Higher relative expression in G2?G3
Cyclin B2	NM_004701	Higher relative expression in G2?G3
TPX2, microtubule-associated protein homolog	NM_012112	Higher relative expression in G2?G3
Mitochondrial ribosomal protein L9	NM_031420	Higher relative expression in G2?G3
UV radiation resistance-associated gene	NM_003369	Higher relative expression in G2?G3
Highly similar to 1501259A cytochrome c oxidase VIII	Hs.374980	Higher relative expression in G2?G3
NCK adaptor protein 1	NM_006153	Higher relative expression in G2?G3
Kinesin family member 14	NM_014875	Higher relative expression in G2?G3
Tubulin, alpha, ubiquitous	NM_006082	Higher relative expression in G2?G3
