Probe set ID	Survival association	Gene	Gene symbol	Presence in supervised comparison lists	Survival association histology independent vs dependent†
201236_s_at	Favorable	BTG family, member 2	BTG2	A, D	?
201425_at	Favorable	Aldehyde dehydrogenase 2 family (mitochondrial)	ALDH2	A, B, C, D	Both
201998_at	Favorable	Sialyltransferase 1	SIAT1	A, B, D	Independent
202094_at	Unfavorable	Baculoviral IAP repeat-containing 5 (survivin)	BIRC5	A, C, D	Dependent
202786_at	Unfavorable	Serine threonine kinase 39 (SPAK)	STK39	A	?
203623_at	Unfavorable	Likely orthologue of mouse plexin 3	PLXN3	A, B, D	Independent
203854_at	Favorable	I factor (complement)	IF	A, B, C, D	Both
204033_at	Unfavorable	Thyroid hormone receptor interactor 13	TRIP13	A, D	?
204092_s_at	Unfavorable	Aurora kinase A (serine/threonine kinase 6)	AURKA	A, C, D	Dependent
208079_s_at	Unfavorable	Aurora kinase A (serine/threonine kinase 6)	AURKA	A, C, D	Dependent
204621_s_at	Favorable	Nuclear receptor subfamily 4, group A, member 2	NR4A2	None	?
204825_at	Unfavorable	Maternal embryonic leucine zipper kinase	MELK	A, C, D	Dependent
205167_s_at	Unfavorable	Cell division cycle 25C	CDC25C	A, D	?
206067_s_at	Favorable	Wilms tumor 1	WT1	A, C, D	Dependent
216953_s_at	Favorable	Wilms tumor 1	WT1	A, C, D	Dependent
206391_at	Favorable	Retinoic acid receptor responder	RARRES1	A, C, D	Dependent
206392_s_at	Favorable	Retinoic acid receptor responder	RARRES1	A, C, D	Dependent
221872_at	Favorable	Retinoic acid receptor responder	RARRES1	A, D	?
206697_s_at	Favorable	Haptoglobin or haptoglobin-related protein ‡	HP / HRP	A, C, D	Dependent
208470_s_at	Favorable	Haptoglobin or haptoglobin-related protein ‡	HP / HRP	A, B, C, D	Both
207015_s_at	Favorable	Aldehyde dehydrogenase 1 family, member A2	ALDH1A2	A, C, D	Dependent
208002_s_at	Unfavorable	Brain acyl-CoA hydrolase	BACH	A, C, D	Dependent
208511_at	Unfavorable	Pituitary tumor-transforming 3 (securin)	PTTG3	A, D	?
208613_s_at	Unfavorable	Filamin B, beta (actin binding protein 278)	FLNB	A, B, C, D	Both
208711_s_at	Unfavorable	Cyclin D1	CCND1	A, B, D	Independent
208712_at	Unfavorable	Cyclin D1	CCND1	A, B, D	Independent
208936_x_at	Favorable	Lectin, galactoside-binding, soluble, 8 (galectin 8)	LGALS8	A, C, D	Dependent
209464_at	Unfavorable	Aurora kinase B	AURKB	A, B, C, D	Both
212949_at	Unfavorable	Barren homologue (Drosophila)	BRRN1	A, C, D	Dependent
213288_at	Unfavorable	O-acyltransferase domain containing 2	OACT2	A, D	?
217755_at	Unfavorable	Hematologic and neurologic expressed 1	HN1	A, B, D	Independent
218355_at	Unfavorable	Kinesin family member 4A	KIF4A	A, B, C, D	Both
218586_at	Unfavorable	Chromosome 20 open reading frame 20	C20orf20	A, B, D	Independent
219490_s_at	Unfavorable	DNA cross-link repair 1B (PSO2 homologue)	DCLRE1B	A, C, D	Dependent
221591_s_at	Unfavorable	Hypothetical protein FLJ10156	FLJ10156	A, B, D	Independent
