probeset	Gene	Description	fold change
1425672_a_at	Trpc2	transient receptor potential cation channel, subfamily C, member 2	125.73
1417867_at	Adn	adipsin	72.66
1434449_at	Aqp4	aquaporin 4	6.46
1447764_at	Kcnd2	Kcnd2	5.31
1428209_at	LOC406217	reduced expression 3	4.73
1452260_at	Fsp27	fat specific gene 27	4.6
1417761_at	Apoa4	apolipoprotein A-IV	4.54
1436504_x_at	Apoa4	apolipoprotein A-IV	4.34
1419804_at	1700051A21Rik	RIKEN full-length enriched library, clone:4933411B07	3.86
1424352_at	MGC25972	similar to cytochrome P450, 4a10	3.82
1444966_at	C130032J12Rik	RIKEN cDNA 1300006N24 gene	3.41
1417023_a_at	Fabp4	fatty acid binding protein 4, adipocyte	3.15
1454594_at	2900078I11Rik	RIKEN full-length enriched library, clone:2900078I11	3.09
1451263_a_at	Fabp4	fatty acid binding protein 4, adipocyte	3
1419520_at	Cml4	camello-like 4	2.99
1452489_at	Vps11	vacuolar protein sorting 11 (yeast)	2.98
1436736_x_at	D0H4S114	DNA segment, human D4S114	2.92
1419349_a_at	Cyp2d9	cytochrome P450, family 2, subfamily d, polypeptide 9	2.63
1453023_at	Ankhd1	RIKEN cDNA 9130019P20 gene	2.47
1441430_at	Dscr5	gb:BQ174667 /DB_XREF=gi:20350159 /DB_XREF=UI-M-DJ2-bwb-i-13-0-UI.s1 /CLONE=UI-M-DJ2-bwb-i-13-0-UI /FEA=EST /CNT=4 /TID=Mm.44625.1 /TIER=ConsEnd /STK=4 /UG=Mm.44625 /UG_TITLE=ESTs	2.35
1428083_at	2310043N10Rik	Mus musculus adult male cecum cDNA, RIKEN full-length enriched library, clone:9130009H04 product:unknown EST, full insert sequence	2.34
1448754_at	Rbp1	retinol binding protein 1, cellular	2.27
1460422_at	D0Kist5	gb:U80892.1 /DB_XREF=gi:2228572 /FEA=mRNA /CNT=1 /TID=Mm.195103.1 /TIER=ConsEnd /STK=0 /UG=Mm.195103 /LL=27490 /UG_GENE=D0Kist5 /UG_TITLE=DNA segment, KIST 5 /DEF=Mus musculus CAG trinucleotide repeat mRNA, partial sequence.	2.21
1450839_at	D0H4S114	DNA segment, human D4S114	2.13
1419439_at	Stk22s1	serine/threonine kinase 22 substrate 1	2.12
1421041_s_at	Gsta2	glutathione S-transferase, alpha 2 (Yc2)	2.1
1454609_x_at	6430527G18Rik	RIKEN cDNA 6430527G18 gene	2.1
1438391_x_at	Hadh2	hydroxyacyl-Coenzyme A dehydrogenase type II	2.07
1424622_at	Hsf1	heat shock factor 1	2.04
1421040_a_at	Gsta2	glutathione S-transferase, alpha 2 (Yc2)	2.01
1460266_at	1700094J05Rik	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930564I12 product:unclassifiable, full insert sequence	2
1429159_at	4631408O11Rik	Mus musculus adult male cecum cDNA, RIKEN full-length enriched library, clone:9130010F19 product:unknown EST, full insert sequence	1.97
1451488_at	1110028A07Rik	RIKEN cDNA 1110028A07 gene	1.97
1417994_a_at	Accn1	amiloride-sensitive cation channel 1, neuronal (degenerin)	1.93
1448286_at	Hadh2	hydroxyacyl-Coenzyme A dehydrogenase type II	1.93
1452975_at	Agxt2l1	alanine-glyoxylate aminotransferase 2-like 1	1.92
1459126_at	2310079P03Rik	Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110058A21 product:unclassifiable, full insert sequence	1.91
1455240_x_at	Urml	Mus musculus transcribed sequences	1.87
