probe set	Entrez Gene	Gene Symbol	Gene Title
1553033_at	94122	SYTL5	synaptotagmin-like 5
1553179_at	171019	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19
1554095_at	92454	PRR8	proline rich 8
1554894_a_at	84105	PCBD2	6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2
1555407_s_at	89846	FGD3	FYVE, RhoGEF and PH domain containing 3
1555800_at	151126	ZNF533	zinc finger protein 533
1555801_s_at	151126	ZNF533	zinc finger protein 533
1556336_at	27316	RBMX	RNA binding motif protein, X-linked
1556602_at	NA	NA	CDNA FLJ36293 fis, clone THYMU2004111
1556814_a_at	388890	LOC388890	Hypothetical LOC388890
1557139_at	1663	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)
1557277_a_at	NA	NA	CDNA FLJ33147 fis, clone UTERU2000218
1557429_s_at	196951	C15orf33	Chromosome 15 open reading frame 33
1557720_s_at	23026	MYR8	myosin heavy chain Myr 8
1557915_s_at	9446	GSTO1	glutathione S-transferase omega 1
1559946_s_at	10856	RUVBL2	RuvB-like 2 (E. coli)
1559987_at	NA	NA	NA
1560659_at	150759	LOC150759	Hypothetical protein LOC150759
1560661_x_at	150759	LOC150759	Hypothetical protein LOC150759
1562031_at	3717	JAK2	Janus kinase 2 (a protein tyrosine kinase)
1562416_at	NA	NA	NA
1563512_at	9722	NOS1AP	Nitric oxide synthase 1 (neuronal) adaptor protein
1563513_at	94121	SYTL4	synaptotagmin-like 4 (granuphilin-a)
1566079_at	60481	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
1567222_x_at	60481	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
1567997_x_at	NA	NA	NA
1568592_at	400368	LOC400368	hypothetical gene supported by BC031266
1570128_at	55308	DDX19A	DEAD (Asp-Glu-Ala-As) box polypeptide 19A
200665_s_at	6678	SPARC	secreted protein, acidic, cysteine-rich (osteonectin) /// secreted protein, acidic, cysteine-rich (osteonectin)
200743_s_at	1200	TPP1	tripeptidyl peptidase I
201034_at	120	ADD3	adducin 3 (gamma)
201052_s_at	9491	PSMF1	proteasome (prosome, macropain) inhibitor subunit 1 (PI31)
201116_s_at	1363	CPE	carboxypeptidase E
201117_s_at	1363	CPE	carboxypeptidase E
201160_s_at	8531	CSDA	cold shock domain protein A
201169_s_at	8553	BHLHB2	basic helix-loop-helix domain containing, class B, 2
201170_s_at	8553	BHLHB2	basic helix-loop-helix domain containing, class B, 2
201213_at	5510	PPP1R7	protein phosphatase 1, regulatory subunit 7
201310_s_at	9315	C5orf13	chromosome 5 open reading frame 13
201454_s_at	9520	NPEPPS	aminopeptidase puromycin sensitive
201455_s_at	9520	NPEPPS	aminopeptidase puromycin sensitive
201459_at	10856	RUVBL2	RuvB-like 2 (E. coli)
201586_s_at	6421	SFPQ	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)
201681_s_at	9231	DLG5	discs, large homolog 5 (Drosophila)
201753_s_at	120	ADD3	adducin 3 (gamma)
201754_at	1345	COX6C	cytochrome c oxidase subunit VIc
201791_s_at	1717	DHCR7	7-dehydrocholesterol reductase
201810_s_at	9467	SH3BP5	SH3-domain binding protein 5 (BTK-associated)
201867_s_at	6907	TBL1X	transducin (beta)-like 1X-linked
201922_at	10412	TINP1	TGF beta-inducible nuclear protein 1
201924_at	4299	AFF1	AF4/FMR2 family, member 1
202182_at	2648	GCN5L2	GCN5 general control of amino-acid synthesis 5-like 2 (yeast)
202187_s_at	5525	PPP2R5A	protein phosphatase 2, regulatory subunit B (B56), alpha isoform
202204_s_at	267	AMFR	autocrine motility factor receptor
202217_at	8209	C21orf33	chromosome 21 open reading frame 33
202239_at	143	PARP4	poly (ADP-ribose) polymerase family, member 4
202291_s_at	4256	MGP	matrix Gla protein
202326_at	10919	EHMT2	euchromatic histone-lysine N-methyltransferase 2
202376_at	12	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
202382_s_at	10007	GNPDA1	glucosamine-6-phosphate deaminase 1
202431_s_at	4609	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)
202437_s_at	1545	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1
202458_at	11098	PRSS23	protease, serine, 23
202599_s_at	8204	NRIP1	nuclear receptor interacting protein 1
202600_s_at	8204	NRIP1	nuclear receptor interacting protein 1
202656_s_at	9792	SERTAD2	SERTA domain containing 2
202657_s_at	9792	SERTAD2	SERTA domain containing 2
202733_at	8974	P4HA2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II
202758_s_at	8625	RFXANK	regulatory factor X-associated ankyrin-containing protein
202910_s_at	976	CD97	CD97 antigen
202963_at	5993	RFX5	regulatory factor X, 5 (influences HLA class II expression)
202975_s_at	22836	RHOBTB3	Rho-related BTB domain containing 3
202976_s_at	22836	RHOBTB3	Rho-related BTB domain containing 3
203041_s_at	3920	LAMP2	lysosomal-associated membrane protein 2
203042_at	3920	LAMP2	lysosomal-associated membrane protein 2
203048_s_at	9652	KIAA0372	KIAA0372
203058_s_at	9060	PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2
203277_at	1676	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide
203298_s_at	3720	JARID2	Jumonji, AT rich interactive domain 2
203325_s_at	1289	COL5A1	collagen, type V, alpha 1
203344_s_at	5932	RBBP8	retinoblastoma binding protein 8
203405_at	8624	DSCR2	Down syndrome critical region gene 2
203476_at	7162	TPBG	trophoblast glycoprotein
203556_at	22882	ZHX2	zinc fingers and homeoboxes 2
203564_at	2189	FANCG	Fanconi anemia, complementation group G
203612_at	705	BYSL	bystin-like
203625_x_at	6502	SKP2	S-phase kinase-associated protein 2 (p45)
203627_at	3480	IGF1R	Insulin-like growth factor 1 receptor
203628_at	3480	IGF1R	insulin-like growth factor 1 receptor
203666_at	6387	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)
203685_at	596	BCL2	B-cell CLL/lymphoma 2
203729_at	2014	EMP3	epithelial membrane protein 3
203843_at	6197	RPS6KA3	ribosomal protein S6 kinase, 90kDa, polypeptide 3
203913_s_at	3248	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
203914_x_at	3248	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
203929_s_at	4137	MAPT	microtubule-associated protein tau
203963_at	771	CA12	carbonic anhydrase XII
204029_at	1952	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)
204112_s_at	3176	HNMT	histamine N-methyltransferase
204132_s_at	2309	FOXO3A	forkhead box O3A
204157_s_at	23387	KIAA0999	KIAA0999 protein
204285_s_at	5366	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
204342_at	29957	SLC25A24	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24
204497_at	115	ADCY9	adenylate cyclase 9
204508_s_at	771	CA12	carbonic anhydrase XII
204595_s_at	6781	STC1	stanniocalcin 1
204596_s_at	6781	STC1	stanniocalcin 1
204597_x_at	6781	STC1	stanniocalcin 1
204620_s_at	1462	CSPG2	chondroitin sulfate proteoglycan 2 (versican)
204686_at	3667	IRS1	insulin receptor substrate 1
204798_at	4602	MYB	v-myb myeloblastosis viral oncogene homolog (avian)
204900_x_at	8819	SAP30	sin3-associated polypeptide, 30kDa
205032_at	3673	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
205036_at	11157	LSM6	LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)
205074_at	6584	SLC22A5	solute carrier family 22 (organic cation transporter), member 5
