Probesets	Symbol	Title
1415687_a_at	Psap	prosaposin
1415844_at	Syt4	synaptotagmin IV
1415885_at	Chgb	chromogranin B
1415919_at	Npdc1	neural proliferation, differentiation and control gene 1
1415932_x_at	Atp9a	ATPase, class II, type 9A
1415971_at	Marcks	myristoylated alanine rich protein kinase C substrate
1416002_x_at	Cotl1	coactosin-like 1 (Dictyostelium)
1416149_at	Olig1	oligodendrocyte transcription factor 1
1416232_at	Olig2	oligodendrocyte transcription factor 2
1416310_at	Nusap1	nucleolar and spindle associated protein 1
1416313_at	Mllt11	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); t...
1416401_at	Cd82	CD82 antigen
1416408_at	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl
1416457_at	Ddah2	dimethylarginine dimethylaminohydrolase 2
1416481_s_at	Higd1a	HIG1 domain family, member 1A
1416488_at	Ccng2	cyclin G2
1416635_at	Smpdl3a	sphingomyelin phosphodiesterase, acid-like 3A
1416683_at	Plxnb2	plexin B2
1416713_at	2700055K07Rik	RIKEN cDNA 2700055K07 gene
1416812_at	Tia1	cytotoxic granule-associated RNA binding protein 1
1416814_at	Tia1	cytotoxic granule-associated RNA binding protein 1
1416828_at	Snap25	synaptosomal-associated protein 25
1416863_at	Abhd8	abhydrolase domain containing 8
1416868_at	Cdkn2c	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
1416992_at	Mfng	manic fringe homolog (Drosophila)
1416997_a_at	Hap1	huntingtin-associated protein 1
1417010_at	Zfp238	zinc finger protein 238
1417027_at	Trim2	tripartite motif protein 2
1417028_a_at	Trim2	tripartite motif protein 2
1417147_at	B230317C12Rik	RIKEN cDNA B230317C12 gene
1417423_at	Grina	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glu...
1417455_at	Tgfb3	transforming growth factor, beta 3
1417505_s_at	Il11ra1; Il11ra2; LOC621887	interleukin 11 receptor, alpha chain 1; interleukin 11 receptor, alpha chain ...
1417521_at	Efna2	ephrin A2
1417524_at	Cnih2	cornichon homolog 2 (Drosophila)
1417549_at	Zfp68	zinc finger protein 68
1417625_s_at	Cmkor1	chemokine orphan receptor 1
1417676_a_at	Ptpro	protein tyrosine phosphatase, receptor type, O
1417709_at	Cyp46a1	cytochrome P450, family 46, subfamily a, polypeptide 1
1417757_at	Unc13b	unc-13 homolog B (C. elegans)
1417788_at	Sncg	synuclein, gamma
1417794_at	Zmym3	zinc finger, MYM-type 3
1417799_at	Atp6v1g2	ATPase, H+ transporting, lysosomal V1 subunit G2
1417850_at	Rb1	retinoblastoma 1
1417881_at	Slc39a3	solute carrier family 39 (zinc transporter), member 3
1417928_at	Pdlim4	PDZ and LIM domain 4
1417954_at	Sst	somatostatin
1417968_a_at	Mbd1	methyl-CpG binding domain protein 1
1417988_at	Resp18	regulated endocrine-specific protein 18
1418004_a_at	1810009M01Rik	RIKEN cDNA 1810009M01 gene
1418049_at	Ltbp3	latent transforming growth factor beta binding protein 3
1418054_at	Neurod4	neurogenic differentiation 4
1418066_at	Cfl2	cofilin 2, muscle
1418139_at	Dcx	doublecortin
1418141_at	Dcx	doublecortin
1418160_at	Mkrn3	makorin, ring finger protein, 3
1418183_a_at	Pscd1	pleckstrin homology, Sec7 and coiled-coil domains 1
1418390_at	Phf21a	PHD finger protein 21A
1418415_at	Hoxb5	homeo box B5
1418445_at	---	---
1418467_at	Smarcd3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, s...
1418587_at	Traf3	Tnf receptor-associated factor 3
1418610_at	Slc17a6	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter)...
1418634_at	Notch1	Notch gene homolog 1 (Drosophila)
1418736_at	B3galnt1	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1
1418754_at	Adcy8	adenylate cyclase 8
1418801_at	Zkscan1	zinc finger with KRAB and SCAN domains 1
1418876_at	Foxd1	forkhead box D1
1418951_at	Txlnb	taxilin beta
1418968_at	Rb1cc1	RB1-inducible coiled-coil 1
1419056_at	Rtn2	reticulon 2 (Z-band associated protein)
1419062_at		erythrocyte protein band 4.1-like 3
1419072_at	Gstm7	glutathione S-transferase, mu 7
1419073_at	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2
1419188_s_at	Ccl27	chemokine (C-C motif) ligand 27
1419225_at	Cacna2d3	calcium channel, voltage-dependent, alpha2/delta subunit 3
1419237_at	Usp29	ubiquitin specific peptidase 29
1419288_at	Jam2	junction adhesion molecule 2
1419324_at	Lhx9	LIM homeobox protein 9
1419406_a_at	Bcl11a	B-cell CLL/lymphoma 11A (zinc finger protein)
1419533_at	Nhlh1	nescient helix loop helix 1
1419554_at	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)
