Gene name	Fold change	GenBank	Description	NF-?B sites
KAL1	 13.74	NM_000216	Kallmann syndrome 1 sequence	0
MYC	   4.84	NM_002467	V-myc myelocytomatosis viral oncogene homologue (avian)	1
ADAMTS5	4.27	NM_007038	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	0
NR0B1	4.09	NM_000475	Nuclear receptor subfamily 0, group B, member 1	0
HOXA5	3.37	NM_019102	Homeo box A5	0
NAP1L3	2.75	NM_004538	Nucleosome assembly protein 1–like 3	0
ENPEP	2.66	NM_001977	Glutamyl aminopeptidase (aminopeptidase A)	0
EPHA3	2.28	NM_005233	EphA3	0
SNCA	2.27	NM_000345	Synuclein, &alpha; (non-A4 component of amyloid precursor)	1
PDCD8	2.06	NM_004208	Programmed cell death 8 (apoptosis-inducing factor)	0
ENDOG	2.05	NM_004435	Endonuclease G	0
VEGF	2.03	NM_003376	Vascular endothelial growth factor	0
HRK	1.95	NM_003806	Harakiri, BCL2-interacting protein (contains only BH3 domain)	0
ADAMTS1	1.94	NM_006988	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	1
MDM4	1.93	NM_002393	Mdm4, transformed 3T3 cell double minute 4, p53-binding protein (mouse)	0
EEF1A1	1.88	NM_001402	Eukaryotic translation elongation factor 1 &alpha; 1	0
IDS	1.82	NM_000202	Iduronate 2-sulfatase (Hunter syndrome)	0
LOX	1.79	NM_002317	Lysyl oxidase	0
MST4	1.77	NM_016542	Mst3 and SOK1-related kinase	0
EDNRA	1.76	NM_001957	Endothelin receptor type A	0
IKBKG	1.74	NM_003639	Inhibitor of &kappa; light polypeptide gene enhancer in B cells, kinase &gamma;	1
MPP1	1.74	NM_002436	Membrane protein, palmitoylated 1, 55 kD	0
IRAK1	1.73	NM_001569	Interleukin-1 receptor-associated kinase 1	0
ASNS	1.73	NM_133436	Asparagine synthetase	0
SGNE1	1.73	NM_003020	Secretory granule, neuroendocrine protein 1 (7B2 protein)	0
CYR61	1.69	NM_001554	Cysteine-rich, angiogenic inducer, 61	0
AKT2	1.65	NM_001626	V-akt murine thymoma viral oncogene homologue 2	0
SCARB1	1.63	NM_005505	Scavenger receptor class B, member 1	0
PBEF	1.62	NM_005746	Pre–B cell colony enhancing factor 1	1
BAX	1.59	NM_138764	BCL2-associated X protein	0
NOV	1.58	NM_002514	Nephroblastoma overexpressed gene	0
AMH	1.57	NM_000479	Anti-Mullerian hormone	0
PLAGL1	1.57	NM_006718	Pleiomorphic adenoma genelike 1	0
BCAT1	1.57	NM_005504	Branched chain aminotransferase 1, cytosolic	0
EIF4EBP1	1.57	NM_004095	Eukaryotic translation initiation factor 4E binding protein 1	0
ZNF42	1.55	NM_198055	Zinc finger protein 42 (myeloid-specific retinoic acid-responsive)	0
INCENP	1.55	NM_020238	Inner centromere protein antigens 135/155 kD	0
TNFRSF6	1.54	NM_000043	Tumor necrosis factor receptor superfamily, member 6	0
CCND3	1.54	NM_001760	Cyclin D3	0
FGFR3	1.53	NM_000142	Fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	0
MAPK14	1.51	NM_001315	Mitogen-activated protein kinase 14	2
SRF	1.51	NM_003131	Serum response factor (c-fos serum response element-binding transcription factor)	0
MYB	1.51	NM_005375	V-myb myeloblastosis viral oncogene homologue (avian)	1
CAMK4	1.5	NM_001744	Calcium/calmodulin-dependent protein kinase IV	0
AKT1	-1.88  	NM_005163	V-akt murine thymoma viral oncogene homologue 1	0
FN1	-1.93  	NM_002026	Fibronectin 1	0
PGF	-2.10  	NM_002632	Placental growth factor, vascular endothelial growth factor–related protein	0
FXYD5	-2.21	NM_014164	FXYD domain–containing ion transport regulator 5	0
NEDD9	-2.35	NM_006403	Neural precursor cell expressed, developmentally down-regulated 9	0
CXCR4	-2.49	NM_003467	Chemokine (C-X-C motif) receptor 4	0
CD9	-2.56	NM_001769	CD9 antigen (p24)	0
TGFB1	-2.98	NM_000660	Transforming growth factor, ß1 (Camurati-Engelmann disease)	0
SFRP1	-2.98	NM_003012	Secreted frizzled-related protein 1	2
DUSP6	-2.99	NM_001946	Dual specificity phosphatase 6	1
CDH1	-4.58	NM_004360	Cadherin 1, type 1, E-cadherin (epithelial)	0
