Probe ID	Gene Symbol	Chromosomal location	Representative public ID	Score	Fold Change	Sam
201760_s_at	WSB2	Chr:12q24.23	NM_018639	4.180721	1.57809	inv(16)
201202_at	PCNA	Chr:20pter-p12	NM_002592	4.017801	1.68125	M7
202732_at	PKIG	Chr:20q12-q13.1	NM_007066	7.259957	2.53677	M7
221884_at	EVI1	Chr:3q24-q28	BE466525	6.271829	10.32762	M7
46665_at	SEMA4C	Chr:2q11.2	AI949392	5.674249	5.43084	M7
212077_at	CALD1	Chr:7q33	AL583520	5.644163	6.25456	M7
201616_s_at	CALD1	Chr:7q33	AL577531	4.79113	10.65776	M7
209193_at	PIM1	Chr:6p21.2	M24779	4.562274	2.85787	M7
201617_x_at	CALD1	Chr:7q33	NM_004342	4.221731	3.98935	M7
200765_x_at	CTNNA1	Chr:5q31	NM_001903	4.20283	1.83058	M7
219615_s_at	KCNK5	Chr:6p21	NM_003740	4.136892	2.05554	M7
201859_at	PRG1	Chr:10q22.1	NM_002727	6.800744	1.68863	MLL
201858_s_at	PRG1	Chr:10q22.1	J03223	9.845534	2.59522	MLL
219039_at	SEMA4C	Chr:2q11.2	NM_017789	4.891874	2.62778	t(15;17)
209306_s_at	SWAP70	Chr:11p15	AI139569	-4.88999	0.39318	t(15;17)
209307_at	SWAP70	Chr:11p15	AB014540	-4.47579	0.49153	t(15;17)
208934_s_at	LGALS8	Chr:1q42-q43	AF342815	-4.05039	0.61492	t(15;17)
215501_s_at	DUSP10	Chr:1q41	AK022513	-4.0451	0.45184	t(8;21)
200764_s_at	CTNNA1	Chr:5q31	AI826881	5.352435	1.71304	t(8;21)
208447_s_at	PRPS1	Chr:xq21-q27	NM_002764	-4.69343	0.62026	t(8;21)
221563_at	DUSP10	Chr:1q41	N36770	-4.30152	0.47947	t(8;21)
