Gene name	Genbank	Probe ID	GC-RMA norm. dLEC intensity	MAS 5 norm. dLEC intensity	GC-RMA norm. iLEC intensity	MAS 5 norm. iLEC intensity	Average fold change	GC-RMA q-value	MAS 5 q-value	Description
SCP2	BC005911	211733_x_at	1.2943064	1.0928382	0.9181306	0.9231838	-1.409719271	0.0673	0.0698	Sterol carrier protein 2
76P	BF592982	213266_at	1.1819082	1.0803008	0.9193972	0.8161634	-1.285525125	0.0945	0.0895	Gamma tubulin ring complex protein (76p gene)
SNAP23	BC003686	209130_at	1.2210855	1.1944828	0.9149857	0.9064957	-1.334540529	0.0477	0.032	Synaptosomal-associated protein, 23kDa
RBM12	AL514547	212168_at	1.1553149	1.1552782	0.85273033	0.88244575	-1.35484204	0.0597	0.0469	RNA binding motif protein 12
SYDE1	AF209931	216272_x_at	1.09108	1.2120277	0.8662119	0.83502704	-1.259599412	0.0873	0.0672	Synapse defective 1, Rho GTPase, homolog 1 (C. elegans)
SNRK	AF226044	209481_at	1.2858639	1.1474203	0.88330984	0.8999578	-1.455733698	0.0873	0.0609	SNF-1 related kinase
	AA293502	218177_at	1.2091137	1.1830981	0.8786406	0.84855753	-1.376118631	0.0946	0.0955	CHMP1.5 protein
PTK9	NM_002822	201745_at	1.3196757	1.0973997	0.87504053	0.8674592	-1.508130943	0.0477	0.0389	PTK9 protein tyrosine kinase 9
GA17	NM_006360	202232_s_at	1.1531513	1.1043776	0.78219885	0.8410689	-1.474243154	0.0851	0.0683	Dendritic cell protein
GCC2	NM_014635	202832_at	1.2609581	1.1851169	0.8747458	0.87527734	-1.441513752	0.0884	0.0996	GRIP and coiled-coil domain containing 2
TIA1	H96549	201447_at	1.1897987	1.1013674	0.77376103	0.86937094	-1.537682377	0.064	0.0875	TIA1 cytotoxic granule-associated RNA binding protein
PKN2	BG292065	212628_at	1.1882693	1.1365271	0.80040455	0.853528	-1.484585888	0.0559	0.0833	protein kinase N2
HLA-C	M12679	214459_x_at	1.1880947	1.1658878	0.82260466	0.84843373	-1.444308254	0.0936	0.0694	Major histocompatibility complex, class I, C
PECAM1	AA702701	208981_at	1.2525032	1.1508915	0.8393557	0.86732805	-1.492219806	0.0926	0.0465	Platelet/endothelial cell adhesion molecule (CD31 antigen)
