Accession number	Gene name	Gene functiona	Early LVH	Late LVH
NM_022303	Caspase-recruitment domain family, member 9	Activates NF-kB signaling	3.2	2
AI230048	D-site albumin promoter-binding protein	Transcriptional activator	1.8	-0.5
AI169620	—	Unknown	1.6	1.7
NM_019212	Actin a-1, skeletal muscle	Muscle contraction	1.2	1.4
NM_017216	Solute carrier family 3, member 1	AA transmembrane transport	1.1	1.5
BI298356	Four and a half LIM domains 1	Cell differentiation	1	1.4
M25804	Nuclear receptor subfamily 1, group D, member 1	Transcriptional repressor	1	-0.5
M74494	ATPase, Na+/K+ transporting, a-1 polypeptide	Ion transport	1	0.6
U50449	RT1 class I, CE16	Immune response	1	0.8
NM_133303	Basic helix–loop–helix domain-containing, class B3	Transcriptional repressor	1	-0.1
NM_053886	Lectin, mannose-binding 1	ER to Golgi vesicle-mediated transport	0.9	0.5
X95189	Acyl-coenzyme A oxidase 2, branched chain	Fatty acid metabolism	0.9	0.2
AA800228	Cold shock domain-containing C2, RNA binding	RNA-binding factor	0.9	0.5
AF353637	Sodium channel, voltage-gated, type V, a-polypeptide	Cation transport	0.9	0.4
AF106659	Ubiquitin-specific peptidase-2	Deubiquitinating enzyme	0.9	0.2
BG672437	Synaptic vesicle glycoprotein 2b	Unknown	0.9	0.9
NM_019157	Aquaporin 7	Transport	0.8	0.8
NM_012554	Enolase 1, a	Glycolysis	0.8	-0.1
NM_053412	Interleukin enhancer-binding factor 3	Transcriptional regulator	0.8	0.6
M14137	ATPase, Na+/K+ transporting, b-1 polypeptide	Ion transport	0.8	0.4
