Gene transcript	Gene symbola	Tentative gene function	Probeset ID	P-value	FCb
Hypothetical protein FLJ13725	FLJ13725	Function unknown	45749_at	3.87E-05c	0.7
Cyclin-dependent kinase 4	CDK4	Regulation of cell cycle	202246_s_at	4.56E-05c	1.4
Ras homologue gene family, member Q	ARHQ	GTP binding, Rho small monomeric GTPase activity	212119_at	9.17E-05c	1.7
Diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	DBI	Benzodiazepine receptor binding	202428_x_at	1.20E-04c	1.9
Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	Protein domain specific binding	200640_at	1.39E-04c	1.6
H2A histone family, member Z	H2AFZ	DNA binding, nucleosome assembly, nucleus	213911_s_at	2.02E-04c	2.4
Diazepam binding inhibitor (GABA receptor modulator, acyl-coenzyme A binding protein)	DBI	Benzodiazepine receptor binding	211070_x_at	2.42E-04c	2
Voltage-dependent anion channel 3	VDAC3	Voltage-dependent anion channel porin activity	208845_at	2.46E-04c	1.4
Hypothetical protein MAC30	MAC30	Regulation of cell growth	212282_at	4.50E-04c	3.1
Interleukin enhancer binding factor 2, 45 kDa	ILF2	RNA polymerase II transcription factor activity, nucleus	200052_s_at	4.51E-04c	1.8
Likely ortholog of mouse immediate early response, erythropoietin 4	LEREPO4	Nucleic acid binding	201593_s_at	5.11E-04c	1.7
Hypothetical protein MAC30	MAC30	Regulation of cell growth	212281_s_at	5.92E-04c	3.6
Proteasome (prosome, macropain) subunit, beta type, 7	PSMB7	Endopeptidase activity, ubiquitin-dependent protein catabolism	200786_at	6.85E-04c	1.7
Transgelin 2	TAGLN2	Muscle development	200916_at	7.64E-04c	1.6
Proteasome (prosome, macropain) subunit, alpha type, 6	PSMA6	RNA binding, endopeptidase activity, ubiquitin-dependent protein catabolism	208805_at	8.10E-04c	1.4
Aldo-keto reductase family 1, member A1 (aldehyde reductase)	AKR1A1	Oxidoreductase activity	201900_s_at	8.22E-04c	1.3
Peroxiredoxin 1	PRDX1	Cell proliferation, peroxidase activity	208680_at	8.23E-04c	1.5
Chromosome 13 open reading frame 12	C13orf12	Function unknown	217769_s_at	8.42E-04c	1.4
Jun D proto-oncogene	JUND	Regulation of transcription from Pol II promoter, transcription factor activity	203752_s_at	8.57E-04c	1.8
Formin binding protein 3	FNBP3	mRNA splicing, signal transduction	213729_at	8.78E-04c	1.9
