Accession no.	Symbol	Gene description	Fold change, heterozygous/wild-type	P	Function
NM_010062	DNase2a	DNase II?	0.49	0.01	Apoptosis
NM_011050	Pdcd4	Programmed cell death 4	0.39	0.01	Apoptosis
NM_007465	Birc3	Baculoviral IAP repeat-containing 3	0.35	0.02	Apoptosis
NM_009675	Aoc3	Amine oxidase, copper-containing 3	2.11	0.05	Cell adhesion
NM_008483	Lamb2	Laminin, ?2	0.43	0.03	Cell adhesion
NM_013525	Gas5	Growth arrest–specific 5	2.35	0.005	Cell cycle/cell proliferation
AF236887	Atr	Ataxia telangiectasia and Rad3 related	0.42	0.03	Cell cycle/cell proliferation
NM_011369	Shcbp1	Shc SH2-domain binding protein 1	0.39	0.02	Cell cycle/cell proliferation
NM_010784	Mdk	Midkine	0.38	0.03	Cell cycle/cell proliferation
AB020203	Ak3l	Adenylate kinase 3? like	2.66	0.01	Nucleotide metabolism and transport
NM_053103	Lysal2	Lysosomal apyrase-like 2	2	0.01	Nucleotide metabolism and transport
NM_007398	Ada	Adenosine deaminase	0.45	0.05	Nucleotide metabolism and transport
NM_016690	Hnrpdl	Heterogeneous nuclear ribonucleoprotein D like	0.44	0.04	Nucleotide metabolism and transport
NM_009561	Zfp61	Zinc finger protein 61	0.48	0.04	DNA binding
NM_020618	Smarce1	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily E, member 1	0.45	0.04	DNA binding
NM_015781	Nap1l1	Nucleosome assembly protein 1 like 1	0.42	0.01	DNA binding
NM_021790	Solt	SoxLZ/Sox6 leucine zipper binding protein in testis	0.37	0.04	DNA binding
NM_024199	Cstf1	Cleavage stimulation factor, 3? pre-RNA, subunit 1	2.05	0.01	RNA binding
AK008240	Snrpf	Small nuclear ribonucleoprotein polypeptide	0.45	0.04	RNA binding
AK011545	Basp1	Neuronal axonal membrane protein (Nap-22)	0.31	0.03	Transcription/translation
NM_009385	Titf1	Thyroid transcription factor 1	2.95	0.02	Transcription/translation
NM_011297	Rps24	Ribosomal protein S24	0.45	0.03	Transcription/translation
D83146	Six5	Sine oculis-related homeobox 5 homologue (Drosophila)	0.43	0.02	Transcription/translation
AK019500	Syncrip	Synaptotagmin binding, cytoplasmic RNA interacting protein	0.39	0.01	Transcription/translation
S66855	Hoxb9	Homeobox B9	0.31	0.05	Transcription/translation
NM_010160	Cugbp2	CUG triplet repeat, RNA binding protein 2	0.23	0.02	Eicosanoid
AF233645	Cyp4f15	Cytochrome P450, family 4, subfamily F, polypeptide 15	0.13	0.05	Eicosanoid
NM_009178	Siat4c	Sialyltransferase 4C (?-galactoside ?-2,3-sialytransferase)	3.74	0.02	Glycosylation
NM_009176	Siat6	Sialyltransferase 6 (N-acetyllacosaminide ?-2,3-sialyltransferase)	2.71	0.01	Glycosylation
NM_028189	B3gnt3	UDP-GlcNAc:?Gal ?-1,3-N-acetylglucosaminyltransferase 3	2.54	0.005	Glycosylation
AK006263	Siat10	Sialyltransferase 10 (?-2,3-sialyltransferase VI)	2.29	0.05	Glycosylation
AK008273	Arhgdib	Rho, GDP dissociation inhibitor (GDI) ?	0.32	0.01	G-protein related
NM_010336	Edg2	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	0.32	0.002	G-protein related
NM_008376	Imap38	Immunity-associated protein	0.28	0.0004	G-protein related
NM_009399	Tnfrsf11a	Tumor necrosis factor receptor superfamily, member 11a	4.39	0.02	Immune function
NM_008532	Tacstd1	Tumor-associated calcium signal transducer 1	3.48	0.01	Immune function
NM_007657	Cd9	CD9 antigen	3.39	0.01	Immune function
AJ006130	Ik	IK cytokine	0.48	0.003	Immune function
NM_011157	Prg	Proteoglycan, secretory granule	0.46	0.003	Immune function
NM_008510	Xcl1	Chemokine (C motif) ligand 1	0.41	0.01	Immune function
NM_017372	Lyzs	Lysozyme	0.3	0.03	Immune function
NM_019391	Lsp1	Lymphocyte-specific 1	0.25	0.03	Immune function
NM_013590	Lzp-s	P lysozyme structural	0.25	0.04	Immune function
NM_013706	Cd52	CD52 antigen	0.25	0.01	Immune function
NM_026268	Dusp6	Dual-specificity phosphatase 6	2.47	0.05	Kinase/phosphatase
NM_007394	Acvr1	Activin A receptor, type 1	2.19	0.04	Kinase/phosphatase
NM_054097	Pip5k2c	Phosphatidylinositol-4-phosphate 5-kinase type II	2.06	0.002	Kinase/phosphatase
NM_008846	Pip5k1a	Phosphatidylinositol-4-phosphate 5-kinase type I?	2.03	0.02	Kinase/phosphatase
AK011110	Riok3	RIO kinase 3 (yeast)	0.48	0.01	Kinase/phosphatase
AK007215	Wdfy1	WD40 and FYVE domain containing 1	0.4	0.01	Kinase/phosphatase
NM_011868	Peci	Peroxisomal 3, 2-enoyl-CoA isomerase	2.79	0.02	Lipid related
NM_008094	Gba	Glucosidase, ? acid	2.49	0.01	Lipid related
NM_010941	Nsdhl	NAD(P)-dependent steroid dehydrogenase-like	2.28	0.05	Lipid related
NM_009415	Tpi	Triosephosphate isomerase	2.13	0.02	Lipid related
NM_008149	Gpam	Glycerol-3-phosphate acyltransferase, mitochondrial	0.46	0.01	Lipid related
NM_020573	Osbpl1a	Oxysterol binding protein-like 1A	0.3	0.04	Lipid related
AF303829	Ube2v1	Ubiquitin-conjugating enzyme E2 variant 1	2.15	0.03	Protein degradation
NM_019562	Uchl5	Ubiquitin carboxyl-terminal esterase L5	0.48	0.02	Protein degradation
AF098949	Coq7	Demethyl-Q7	0.4	0.001	Protein degradation
NM_020593	Fbxo3	F-box only protein 3	0.35	0.003	Protein degradation
NM_008577	Slc3a2	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	2.7	0.003	Amino acid transport/metabolism
U68526	Bcat2	Branched chain aminotransferase 2, mitochondrial	2.04	0.04	Amino acid transport/metabolism
NM_025314	Hars2	Histidyl tRNA synthetase 2	0.44	0.01	Amino acid transport/metabolism
U33012	Aqp4	Aquaporin 4	6.25	0.04	Transport
NM_017474	Clca3	Chloride channel calcium activated 3	6.22	0.001	Transport
NM_022411	Slc13a2	Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	2.38	0.02	Transport
NM_017391	Mrps6	Mitochondrial ribosomal protein S6	2	0.02	Transport
NM_015751	Abce1	ATP-binding cassette, subfamily E (OABP), member 1	0.5	0.02	Transport
AK005223	Ap1s2	Adaptor-related protein complex 1, 2 subunit	0.24	0.04	Transport
NM_021301	Slc15a2	Solute carrier family 15 (H+/peptide transporter), member 2	0.14	0.01	Transport
NM_007409	Adh1	Alcohol dehydrogenase 1 (class I)	2.8	0.05	Metabolism
X03796	Aldo3	Aldolase 3, C isoform	2.28	0.02	Metabolism
U27014	Sdh1	Sorbitol dehydrogenase 1	2.05	0.01	Metabolism
NM_023113	Aspa	Aspartoacylase (aminoacylase) 2	0.41	0.03	Metabolism
NM_053108	Glrx1	Glutaredoxin 1 (thioltransferase) (protein metabolism)	2.43	0.05	Other
NM_021895	Actn4	Actinin ?4 (actin and calcium binding)	2.43	0.001	Other
NM_011503	Stxbp2	Syntaxin binding protein 2 (protein trafficking)	2.36	0.03	Other
NM_011222	Pvt1	Plasmacytoma variant translocation 1 (B-cell malignancy)	2.35	0.02	Other
NM_019649	Clptm1	Cleft lip and palate associated transmembrane protein 1 (cleft lip)	2.27	0.03	Other
AA409743	Tagln2	Transgelin 2 (muscle development)	2.09	0.01	Other
NM_007509	Atp6v1b2	ATPase, H+ transporting, V1 subunit B, isoform 2 (ATPase)	2.08	0.04	Other
NM_009304	Syngr2	Synaptogyrin 2 (synaptic protein)	2.05	0.05	Other
NM_011072	Pfn1	Profilin 1 (actin binding protein)	2.03	0.001	Other
NM_016902	Nphp1	Nephronophthisis 1 (juvenile) homologue (human) (kidney disease)	0.5	0.02	Other
NM_009311	Tac1	Tachykinin 1 (neural signaling)	0.5	0.03	Other
NM_009441	Ttc3	Tetratricopeptide repeat domain 3 (pathogenesis)	0.48	0.04	Other
NM_009804	Cat	Catalase (antioxidant)	0.46	0.02	Other
AK011899	Tbce	Tubulin-specific chaperone (tubulin folding)	0.44	0.05	Other
NM_008017	Smc2l1	SMC2 structural maintenance of chromosomes 2-like 1 (yeast) (chromosomal protein)	0.43	0.04	Other
NM_011169	Prlr	Prolactin receptor (receptor)	0.4	0.003	Other
NM_026352	Ppid	Peptidylprolyl isomerase D (cyclophilin D) (protein folding)	0.39	0.01	Other
D00208	S100a4	S100 calcium binding protein A4 (calcium binding)	0.39	0.003	Other
NM_019939	Mpp6	Membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6) (cell polarity)	0.27	0.04	Other
