HG-U133A	Gene	Localization	GenBank	Description	Function
214677_X_AT	IGLJ3	22q11.1-q11.2	X57812	Immunoglobulin lambda joining 3	Hemato-specific molecules
209138_X_AT	IGL	22	M87790	Immunoglobulin lambda locus	Hemato-specific molecules
206267_S_AT	MATK	19p13.3	NM_002378	Megakaryocyte-associated tyrosinekinase	Hemato-specific molecules
205446_S_AT	ATF2	2q32	NM_001880	Activating transcription factor 2 order CRE-BP1	Signal transduction
212070_AT	GPR56	16q13	AL554008	G-protein–coupled receptor 56.	Signal transduction
212945_S_AT	MXI1	15	BE502432	Max-interactingprotein	Signal transduction
204866_AT	PHF16	Xp11.3	NM_014735	PHD finger protein 16	Signal transduction
213269_AT	ZNF248	10	N21541	Zinc finger protein 248	Signal transduction
209989_AT	ZNF268	5	AF317549	Zinc finger protein 268	Signal transduction
209431_S_AT	ZSG	22q12.2	AF254083	Zinc finger protein 278	Signal transduction
211986_AT	AHNAK	11q12-q13	BG287862	AHNAK nucleoprotein (desmoyokin)	Nuclear molecules
206499_S_AT	RCC1	1p36.1	NM_001269	Chromosome condensation1	Nuclear molecules
210543_S_AT	PRKDC		U34994	DNA-dependent protein kinase catalytic subdomain	Nuclear molecules
205527_S_AT	GEMIN4	17	NM_015487	Gem (nuclear organelle)-associated protein 4	Nuclear molecules
222040_AT	HNRPA1	12q13.1	AI144007	Heterogenous nuclear ribonucleoprotein A1	Nuclear molecules
216952_S_AT	LMN2	19p13.3	M94363	LaminB2	Nuclear molecules
213189_AT	Mina53	3	AL574514	Myc-induced nuclear antigen, 53 kDa	Nuclear molecules
203155_AT	SETDB1	1q21	NM_012432	SET domain, bifurcated 1	Nucleic acid binding proteins
210829_S_AT	HSPC116	5q13.3	AF077048	Single-stranded DNA-binding protein 2	Nucleic acid binding proteins
214060_AT	SSBP1	7q34	BE220360	Single-stranded DNA-binding protein precursor	Nucleic acid binding proteins
203677_S_AT	TARBP2	12q12-q13	NM_004178	TAR (HIV) RNA-binding protein 2	Nucleic acid binding proteins
213395_AT	MLC1	q13.3	AL022327	Membrane proteinMLC1	Membrane
208614_S_AT	FLNB	3p14.3	M62994	FilaminB	Cytoskeleton
218988_AT	BLOV1	12q15	NM_018656	Bladder cancer overexpressed protein	Transport
203339_AT	SLC25A12	2q24	AI887457	Solute carrier family 25, 12	Transport
203711_S_AT	HIBCH	2q32.3	NM_014362	3-Hydroxyisobutyryl-coenzyme A hydrolase	Metabolism
203576_AT	BCAT2	19q13	NM_001190	Branched chain aminotransferase 2	Metabolism
202715_AT	CAD	2p22-p21	NM_004341	Carbamoyl-phosphate synthetase 2	Metabolism
205222_AT	PBFE	3q26.3-q28	NM_001966	Enoyl-coenzymeA	Metabolism
215069_AT	NMT2	10	AK025065	N-myristoyltransferase2	Metabolism
204748_AT	PTGS2	1q25.2-q25.3	NM_000963	Prostaglandin-endoperoxide synthase 2	Metabolism
214960_AT	API5	11	AF229253	Apoptosis inhibitor 5	Unclassified
219118_AT	FKBP11	12q13.12	NM_016594	FK506 binding protein precursor	Unclassified
203391_AT	FKBP2	11q13.1-q13.3	NM_004470	FK506-binding protein 2 (13kD)	Unclassified
207153_S_AT	FAP48	1p21.3	NM_007070	FKBP-associatedprotein	Unclassified
215513_AT	HYMAI	6q24	AF241534	Hydatidiform mole-associated and imprinted	Unclassified
202104_S_AT	SPG7	16q24.3	NM_003119	Spastic paraplegia7	Unclassified
203054_S_AT	TCTA	3p21	NM_022171	T-cell leukemia translocation altered gene	Unclassified
214744_S_AT	HEMBA1		AK021960	Unnamed protein product	Unclassified
222309_AT		6	AW972292	EST	Hypothetical proteins
65472_AT			AI161338	EST	Hypothetical proteins
219083_AT	FLJ10539	3p14.1	NM_018130	Hypothetical protein FLJ10539	Hypothetical proteins
204080_AT	FLJ13949	1p33	NM_025077	Hypothetical protein FLJ13949	Hypothetical proteins
219054_AT	FLJ14054	5p13.3	NM_024563	Hypothetical protein FLJ14054	Hypothetical proteins
210463_X_AT	FLJ20244	19p13.2	BC002492	Hypothetical protein FLJ20244	Hypothetical proteins
221780_S_AT	FLJ20596	20q13.13	AF336851	Hypothetical protein FLJ20596	Hypothetical proteins
219751_AT	FLJ21148	16q13	NM_024860	Hypothetical protein FLJ21148	Hypothetical proteins
219419_AT	FLJ21172	18q23	NM_024805	Hypothetical protein FLJ21172	Hypothetical proteins
218480_AT	FLJ21839	2p23.3	NM_021831	Hypothetical protein FLJ21839	Hypothetical proteins
212510_AT	KIAA0089	3	AA135522	Hypothetical protein KIAA0089	Hypothetical proteins
212480_AT	KIAA0376	22q11.22	AB002374	Hypothetical protein KIAA0376	Hypothetical proteins
34406_AT	KIAA0602	14	AB011174	Hypothetical protein KIAA0602	Hypothetical proteins
34260_AT	KIAA0683	16p13.3	AB014583	Hypothetical protein KIAA0683	Hypothetical proteins
214051_AT	MGC39900	X	BF677486	Hypothetical protein MGC39900	Hypothetical proteins
203257_S_AT	FLJ22210	11p11.2	NM_024113	Hypothetical protein MGC4707	Hypothetical proteins
218069_AT	MGC5627	unknown	NM_024096	Hypothetical protein MGC5627	Hypothetical proteins
204382_AT	DKFZP564C10	17q25.2	NM_015654	Hypothetical protein, DKFZP564C103	Hypothetical proteins
210717_AT		5	AF116659	PRO1412mRNA	Hypothetical proteins
