Affymetrix ID	P-value	Gene Symbol	Genbank	Location bp
234583_at	0.0336	CHL1	AL359583	chr3:263539-265280(+)
229084_at	0.0419	CNTN4	R42166	chr3:3074128-3074645 (+)
222533_at	0.02	CRBN	AI676103	chr3:3166762-3167163 (-)
226884_at	0.0336	LRRN1	N71874	chr3:3857910-3864900 (+)
206554_x_at	0.02	SETMAR	NM_006515	chr3:4320070-4330445 (+)
217852_s_at	0.0439	ARL8B	NM_018184	chr3:5138976-5197599 (+)
230659_at	0.0176	EDEM1	AW139300	chr3:5235040-5235421 (-)
238748_at	0.0336	RAD18	AA287223	chr3:8895217-8895753 (-)
224200_s_at	0.0176	RAD18	AB035274	chr3:8896965-8897347 (-)
1557357_at	0.0419	LOC440944	BC036698	chr3:9366373-9413326 (-)
225730_s_at	0.02	THUMPD3	AI921788	chr3:9381729-9387811 (+)
223804_s_at	0.0266	THUMPD3	BC001622	chr3:9399891-9401499 (+)
225741_at	0.0119	THUMPD3	AU154401	chr3:9401849-9402209 (+)
1555858_at	0.02	THUMPD3	CA430188	chr3:9406634-9408052 (-)
1555860_x_at	0.0419	THUMPD3	CA430188	chr3:9406634-9408052 (-)
222575_at	0.0419	FLJ10707	AW021954	chr3:9450686-9494830 (+)
1557238_s_at	0.02	FLJ10707	BQ446762	chr3:9475512-9476398 (+)
221806_s_at	0.0119	FLJ10707	BF590997	chr3:9481138-9493192 (+)
222143_s_at	0.0419	C3orf29	AY007098	chr3:9676324-9719069 (+)
205301_s_at	0.0149	OGG1	NM_016820	chr3:9773786-9774040 (+)
205760_s_at	0.0176	OGG1	NM_016821	chr3:9782742-9783267 (+)
215273_s_at	0.0149	TADA3L	AK024982	chr3:9796692-9797190 (-)
223104_at	0.0176	JAGN1	AF212230	chr3:9909936-9910466 (+)
223545_at	0.0266	FANCD2	AF340183	chr3:10108896-10115493 (+)
242560_at	0.0149	FANCD2	AA579890	chr3:10118356-10118585 (+)
1559227_s_at	0.0266	VHL	BF972755	chr3:10168215-10169774 (+)
203648_at	0.0176	TATDN2	NM_014760	chr3:10265218-10297900 (+)
224025_s_at	0.02	ATG7	BC000091	chr3:11315158-11571556 (+)
212399_s_at	0.02	VGLL4	D50911	chr3:11572543-11660401 (-)
214004_s_at	0.0176	VGLL4	AI806207	chr3:11574962-11575839 (-)
222510_s_at	0.0176	MKRN2	AI809203	chr3:12598336-12598900 (+)
218071_s_at	0.02	MKRN2	NM_014160	chr3:12599668-12600114 (+)
201244_s_at	0.0119	RAF1	NM_002880	chr3:12600107-12680414 (-)
200674_s_at	0.0336	RPL32	NM_000994	chr3:12852571-12856722 (-)
203907_s_at	0.0336	IQSEC1	NM_014869	chr3:12914373-12958170 (-)
220035_at	0.0176	NUP210	NM_024923	chr3:13368177-13392851 (-)
217795_s_at	0.0123	TMEM43	W74580	chr3:14141523-14160180 (+)
233480_at	0.0119	MGC3222	AK026869	chr3:14144217-14145685 (+)
202209_at	0.0336	LSM3	NM_014463	chr3:14195353-14214761 (+)
223787_s_at	0.0176	C3orf19	AF151046	chr3:14668291-14688055 (+)
225559_at	0.0419	C3orf19	AK023163	chr3:14683365-14689166 (+)
226984_at	0.0266	FGD5	H09596	chr3:14942518-14949891 (+)
206038_s_at	0.02	NR2C2	NM_003298	chr3:14964239-15059702 (+)
226848_at	0.0149	NR2C2	AI571166	chr3:15058761-15059757 (-)
225477_s_at	0.0336	MRPS25	AL138444	chr3:15062356-15065782 (+)
224015_s_at	0.0266	MRPS25	BC003590	chr3:15067350-15081799 (-)
231765_at	0.0176	ZFYVE20	AY009133	chr3:15089824-15112631 (-)
1569714_at	0.0176	ZFYVE20	BC032628	chr3:15112182-15115654 (-)
203357_s_at	0.0123	CAPN7	NM_014296	chr3:15262159-15267852 (+)
203356_at	0.0123	CAPN7	BE349584	chr3:15268230-15268793 (+)
1553689_s_at	0.0119	METTL6	NM_152396	chr3:15427910-15430665 (-)
214117_s_at	0.0336	BTD	AI767414	chr3:15618548-15659133 (+)
226025_at	0.0119	ANKRD28	AV740426	chr3:15685113-15693013 (-)
229307_at	0.0419	ANKRD28	N32051	chr3:15797945-15814583 (-)
201813_s_at	0.0123	TBC1D5	AI654161	chr3:17173663-17757539 (-)
201814_at	0.0123	TBC1D5	AI300084	chr3:17173663-17757539 (-)
201815_s_at	0.0336	TBC1D5	NM_014744	chr3:17174902-17757403 (-)
231281_at	0.0123	TBC1D5	AI032733	chr3:17638214-17638622 (-)
203408_s_at	0.0119	SATB1	NM_002971	chr3:18365243-18440310 (-)
209089_at	0.0119	RAB5A	BC001267	chr3:19963945-20001669 (+)
212519_at	0.0419	UBE2E1	AL518159	chr3:23822406-23907811 (+)
221475_s_at	0.0336	RPL15	NM_002948	chr3:23934443-23935872 (+)
221476_s_at	0.02	RPL15	AF279903	chr3:23936743-23937139 (+)
211987_at	0.0176	TOP2B	NM_001068	chr3:25614399-25681398 (-)
220742_s_at	0.0266	NGLY1	NM_018297	chr3:25735773-25795160 (-)
209884_s_at	0.0119	SLC4A7	AF047033	chr3:27389258-27389703 (-)
207604_s_at	0.0149	SLC4A7	NM_003615	chr3:27393278-27406419 (-)
222498_at	0.0123	AZI2	AI809206	chr3:28338752-28365581 (-)
218043_s_at	0.0149	AZI2	NM_022461	chr3:28339866-28365469 (-)
223846_at	0.0176	AZI2	BC001139	chr3:28343000-28365468 (-)
206767_at	0.0419	RBMS3	NM_014483	chr3:29298028-30007759 (+)
237860_at	0.0266	RBMS3	AI821998	chr3:30021864-30022466 (-)
235570_at	0.0419	RBMS3	AW298235	chr3:30025783-30026881 (+)
238303_at	0.02	SIMP	AW070371	chr3:31596977-31597438 (+) // 100.0 // p24.1
224700_at	0.0419	SIMP	BF221532	chr3:31640248-31654112 (+) // 98.85 // p24.1
235099_at	0.0419	CKLFSF8	AW080832	chr3:32381130-32383548 (+)
223047_at	0.0336	CMTM6	AF116694	chr3:32494612-32495161 (-)
217947_at	0.02	CMTM6	NM_017801	chr3:32496017-32496550 (-)
217976_s_at	0.02	DYNC1LI1	NM_016141	chr3:32542472-32587346 (-)
223219_s_at	0.02	CNOT10	BC002931	chr3:32777712-32783213 (+)
218082_s_at	0.0419	UBP1	NM_014517	chr3:33404834-33456517 (-)
