Accession No	Gene	Fold	Function	Functional group
NM_002609	Platelet-derived growth factor receptor, beta polypeptide (PDGFR?)	3.3	PDGF receptor, signal transduction	Receptors/ligands
NM_000604	Fibroblast growth factor receptor 1 (FGFR1)	2	Transmembrane receptor protein kinase, transcription factor	Receptors/ligands
NM_002844	Protein tyrosine phosphatase receptor type, K (PTPRK)	2.4	Transmembrane receptor protein tyrosine phosphatase, transcription factor	Receptors/ligands
NM_002845	Protein tyrosine phosphatase, receptor type, M (PTPRM)	4	Transmembrane receptor protein tyrosine phosphatase, transcription factor	Receptors/ligands
NM_000271	Niemann–Pick disease, type C1 (NPC1)	2.7	Transmembrane receptor, transcription factor	Receptors/ligands
NM_002224	Inositol 1,4,5-triphosphate receptor, type 3 (ITPR3)	2.7	ITP receptor, calcium ion transporter, signal transduction, transcription factor	Receptors/ligands
NM_002213	Transforming growth factor, beta 1 (TGF?1)	2.2	TGF? receptor ligand, cell–cell signalling, anti-apoptosis, transcription factor	Receptors/ligands
NM_019054	Growth arrest-specific 6	2.2	Ligand, calcium binding, transcription factor	Receptors/ligands
NM_004447	Epidermal growth factor pathway substrate 8 (EPS8)	3.7	Signal transduction, EGF receptor signalling pathway, cell proliferation	Signal transduction
NM_000598	Insulin-like growth factor binding protein 3 (IGFBP3)	2.5	Signal transduction, cell migration	Signal transduction
NM_002178	Insulin-like growth factor binding protein 6 (IGFBP6)	6.4	Signal transduction, negative regulation of cell proliferation	Signal transduction
NM_001553	Insulin-like growth factor binding protein 7 (IGFBP7)	55.5	Transcription factor, negative regulation of cell proliferation	Signal transduction
NM_002741	Protein kinase C-like 1 (PRKCL1)	2.3	Signal transduction, activation of JUN kinase	Signal transduction
NM_006270	Related RAS viral (r-ras) oncogene homologue (RRAS)	2.4	RAS protein signal transduction	Signal transduction
NM_005954	Metallothionein 3 (growth inhibitory factor) (MT3)	2.8	Cell proliferation, metal ion homeostasis, neurogenesis	Cell growth and proliferation
NM_002775	Protease, serine, 11 (IGF binding)	2.4	Cell growth and connective tissue development	Cell growth and proliferation
NM_139343	Bridging integrator 1 (BIN1)	2.7	Control of cell proliferation	Cell growth and proliferation
NM_003195	Transcription elongation factor A (SII), 2 (TCEA2)	2.9	DNA binding, transcription	Transcription
NM_000627	Latent transforming growth factor beta binding protein1 (LTBP1)	48	Protein binding	Metabolism
NM_005433	v-yes-1 Yamaguchi sarcoma viral oncogene homologue 1 (YES1)	2.6	Protein modification, protein tyrosine kinase	Metabolism
NM_001909	Cathepsin D (CTSD)	4.2	Protein degradation	Metabolism
NM_000362	Tissue inhibitor of metalloproteinase 3 (TIMP3)	3.8	Protein degradation	Metabolism
NM_000104	Cytochrome P450, subfamily I (CYP1B1)	6.5	Oxidoreductase, electron transporter, eye morphogenesis	Metabolism
NM_002213	Integrin, beta 5 (ITG?5)	2.8	Cell–matrix adhesion, transcription factor	Cell adhesion
NM_003247	Thrombospondin 2 (THBS2)	3	Cell adhesion	Cell adhesion
NM_001792	Cadherin 2, type 1, N-cadherin (CDH2)	4	Differentiation, cell adhesion, calcium ion binding	Cell adhesion
NM_001257	H-cadherin	54	Cell adhesion, tumour suppressor	Cell adhesion
NM_002391	Midkine (MDK)	2.8	Differentiation, signal transduction, control of cell proliferation, development	Differentiation
L07648	MXI1 gene product, mRNA sequence	4.2	Transcription co-factor, transcription regulator, tumour suppressor	Differentiation
NM_005669	Likely orthologue of mouse deleted in polyposis 1 (DP1)	2.3	Hypersensitive response	Defence response
NM_002456	Mucin 1, transmembrane (MUC1)	2.4	Integral to plasma membrane	Others
