IMAGE ID	Title	Gene symbol	Cluster	Chr	Cytoband	Entrez Gene
22040	Matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	MMP9	Hs.297413	20	20q11.2-q13.1	4318
23012	Basic leucine zipper nuclear factor 1 (JEM-1)	BLZF1	Hs.130746	1	1q24	8548
23353	Gamma-aminobutyric acid (GABA) A receptor, alpha 6	GABRA6	Hs.90791	5	5q34	2559
26295	Cannabinoid receptor 1 (brain)	CNR1	Hs.75110	6	6q14-q15	1268
26418	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	EDG1	Hs.154210	1	1p21	1901
26568	Early growth response 3	EGR3	Hs.534313	8	8p23-p21	1960
26617	Activated leukocyte cell adhesion molecule	ALCAM	Hs.591293	3	3q13.1	214
26811	X-ray repair complementing defective repair in Chinese hamster cells 4	XRCC4	Hs.567359	5	5q13-q14	7518
26884	Oligodendrocyte lineage transcription factor 2	OLIG2	Hs.176977	21	21q22.11	10215
28774	Protein tyrosine phosphatase, receptor type, D	PTPRD	Hs.446083	9	9p23-p24.3	5789
32493	Integrin, alpha 6	ITGA6	Hs.133397	2	2q31.1	3655
33045	Neuropeptide Y receptor Y1	NPY1R	Hs.519057	4	4q31.3-q32	4886
34184	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	PIK3R1	Hs.132225	5	5q13.1	5295
34888	Reelin	RELN	Hs.558371	7	7q22	5649
34903	Transcribed locus|Thyroid hormone receptor interactor 12	N/A|TRIP12	Hs.368985, Hs.591633	2|2	N/A|2q36.3	93209320
35271	Neuronal cell adhesion molecule	NRCAM	Hs.21422	7	7q31.1-q31.2	4897
36374	similar to gb:M25753 G2/Mitotic-specific cyclin B1	CCNB1	N/A	N/A	N/A	N/A
36950	N/A	N/A	N/A	N/A	N/A	N/A
36950	N/A	N/A	N/A	N/A	N/A	N/A
37366	Collagen, type I, alpha 1|Tubulin, beta	COL1A1|TUBB	Hs.649756, Hs.652213	N/A|N/A	17q21.33|6p21.33	1277203068
37366	Collagen, type I, alpha 1|Tubulin, beta	COL1A1|TUBB	Hs.649756, Hs.652213	N/A|N/A	17q21.33|6p21.33	1277203068
39159	Similar to Phosphoglycerate mutase 1 (Phosphoglycerate mutase isozyme B) (PGAM-B) (BPG-dependent PGAM 1)|Phosphoglycerate mutase 1 (brain)	LOC643576|PGAM1	Hs.232289, Hs.632918	12|N/A	12q23.3|10q25.3	6435765223
39159	Similar to Phosphoglycerate mutase 1 (Phosphoglycerate mutase isozyme B) (PGAM-B) (BPG-dependent PGAM 1)|Phosphoglycerate mutase 1 (brain)	LOC643576|PGAM1	Hs.232289, Hs.632918	12|N/A	12q23.3|10q25.3	6435765223
39189	Dynein, cytoplasmic 1, intermediate chain 1	DYNC1I1	Hs.440364	7	7q21.3-q22.1	1780
39313	Mitochondrial ribosomal protein S31	MRPS31	Hs.154655	13	13q14.11	10240
39920	ATP-binding cassette, sub-family B (MDR/TAP), member 4	ABCB4	Hs.287827	7	7q21.1	5244
40365	SREBP cleavage-activating protein	SCAP	Hs.531789	3	3p21.31	22937
40608	Hypocretin (orexin) receptor 1	HCRTR1	Hs.388226	1	1p33	3061
40643	Platelet-derived growth factor receptor, beta polypeptide	PDGFRB	Hs.509067	5	5q31-q32	5159
40844	A kinase (PRKA) anchor protein 6	AKAP6	Hs.509083	14	14q13.1	9472
41074	Cholinergic receptor, nicotinic, alpha 4	CHRNA4	Hs.10734	20	20q13.2-q13.3	1137
41195	Glutaryl-Coenzyme A dehydrogenase	GCDH	Hs.532699	19	19p13.2	2639
41345	Rearranged L-myc fusion	RLF	Hs.205627	1	1p32	6018
41356	Protein phosphatase 2, regulatory subunit B (B56), alpha isoform	PPP2R5A	Hs.497684	1	1q32.2-q32.3	5525
41591	Meningioma (disrupted in balanced translocation) 1	MN1	Hs.268515	22	22q11|22q12.1	4330
41647	Protein tyrosine phosphatase, receptor type, T	PTPRT	Hs.526879	20	20q12-q13	11122
41898	Prostaglandin D2 synthase 21kDa (brain)|Hematological and neurological expressed 1	PTGDS|HN1	Hs.446429, Hs.532803	9|17	9q34.2-q34.3|17q25.1	573051155
42059	Dihydrolipoamide dehydrogenase	DLD	Hs.131711	7	7q31-q32	1738
42059	Dihydrolipoamide dehydrogenase	DLD	Hs.131711	7	7q31-q32	1738
42070	5-nucleotidase, ecto (CD73)	NT5E	Hs.153952	6	6q14-q21	4907
42373	Crystallin, mu	CRYM	Hs.924	16	16p13.11-p12.3	1428
42627	Coagulation factor C homolog, cochlin (Limulus polyphemus)	COCH	Hs.21016	14	14q12-q13	1690
43759	Synaptojanin 1	SYNJ1	Hs.473632	21	21q22.2	8867
43771	Chromosome 1 open reading frame 61	C1orf61	Hs.380027	1	1q22	10485
44164	Amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen)	AMPH	Hs.592182	7	7p14-p13	273
44692	Corticotropin releasing hormone receptor 1	CRHR1	Hs.417628	17	17q12-q22	1394
45099	Regucalcin (senescence marker protein-30)	RGN	Hs.77854	X	Xp11.3	9104
45231	G protein-coupled receptor 19	GPR19	Hs.504815	12	12p12.3	2842
45284	Leucyl/cystinyl aminopeptidase	LNPEP	Hs.527199	5	5q15	4012
45578	Mitogen-activated protein kinase kinase 6	MAP2K6	Hs.463978	17	17q24.3	5608
45600	Mevalonate kinase (mevalonic aciduria)	MVK	Hs.130607	12	12q24	4598
46166	Cytochrome P450, family 2, subfamily J, polypeptide 2	CYP2J2	Hs.152096	1	1p31.3-p31.2	1573
46916	Matrix metallopeptidase 16 (membrane-inserted)	MMP16	Hs.546267	8	8q21	4325
47204	Copine VI (neuronal)	CPNE6	Hs.6132	14	14q11.2	9362
47291	Baculoviral IAP repeat-containing 6 (apollon)	BIRC6	Hs.150107	2	2p22-p21	57448
47510	Adaptor-related protein complex 3, beta 2 subunit	AP3B2	Hs.199593	15	15q	8120
48886	Mannose receptor, C type 1|Mannose receptor, C type 1-like 1	MRC1|MRC1L1	Hs.75182, Hs.461247	10|10	10p12.33|10p12.33	4360414308
49164	Vascular cell adhesion molecule 1	VCAM1	Hs.109225	1	1p32-p31	7412
49311	Myeloid/lymphoid or mixed-lineage leukemia 2	MLL2	Hs.120228	12	12q12-q14	8085
49630	Calcium channel, voltage-dependent, L type, alpha 1D subunit	CACNA1D	Hs.476358	3	3p14.3	776
50182	Kallmann syndrome 1 sequence	KAL1	Hs.521869	X	Xp22.32	3730
50615	Heat shock 70kDa protein 1-like	HSPA1L	Hs.558337	6	6p21.3	3305
50763	Chromobox homolog 6	CBX6	Hs.592201	22	22q13.1	23466
50843	N/A	N/A	N/A	N/A	N/A	N/A
50905	Cullin-associated and neddylation-dissociated 1	CAND1	Hs.546407	12	12q14	55832
50930	Fibroblast growth factor 12	FGF12	Hs.584758	3	3q28	2257
51022	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	ST8SIA2	Hs.302341	15	15q26	8128
51293	Aminoacylase 1	ACY1	Hs.334707	3	3p21.1	95
51293	Aminoacylase 1	ACY1	Hs.334707	3	3p21.1	95
51408	Down syndrome critical region gene 1-like 1	DSCR1L1	Hs.440168	6	6p12.3	10231
51448	Activating transcription factor 3	ATF3	Hs.460	1	1q32.3	467
51448	Activating transcription factor 3	ATF3	Hs.460	1	1q32.3	467
51582	LIM domain 7	LMO7	Hs.207631	13	13q22.2	4008
51599	X-linked Kx blood group (McLeod syndrome)	XK	Hs.78919	X	Xp21.1	7504
51737	Retinoblastoma binding protein 8	RBBP8	Hs.546282	18	18q11.2	5932
52096	Platelet-derived growth factor receptor, alpha polypeptide	PDGFRA	Hs.74615	4	4q11-q13	5156
52419	Chromosome 9 open reading frame 61	C9orf61	Hs.118003	9	9q13-q21	9413
52430	Sal-like 2 (Drosophila)	SALL2	Hs.416358	14	14q11.1-q12	6297
66322	CD3g molecule, gamma (CD3-TCR complex)	CD3G	Hs.2259	11	11q23	917
66428	Insulin-like 4 (placenta)	INSL4	Hs.418506	9	9p24	3641
66507	Egf-like module containing, mucin-like, hormone receptor-like 1	EMR1	Hs.2375	19	19p13.3	2015
66532	Endothelin 3	EDN3	Hs.1408	20	20q13.2-q13.3	1908
66534	Glucokinase (hexokinase 4) regulator	GCKR	Hs.89771	2	2p23	2646
66560	Immunoglobulin lambda locus		Hs.449585	22	22q11.1-q11.2	3535
66574	CDNA FLJ25106 fis, clone CBR01467	N/A	Hs.432914	11	N/A
66714	N/A	N/A	N/A	N/A	N/A	N/A
67221	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	FLT1	Hs.507621	13	13q12	2321
67759	Arachidonate 5-lipoxygenase-activating protein	ALOX5AP	Hs.507658	13	13q12	241
68225	N/A	N/A	N/A	N/A	N/A	N/A
68557	Fatty acid binding protein 1, liver	FABP1	Hs.380135	2	2p11	2168
71545	Mitogen-activated protein kinase kinase kinase kinase 1	MAP4K1	Hs.95424	19	19q13.1-q13.4	11184
72000	Jumonji domain containing 1C	JMJD1C	Hs.413416	10	10q21.2	221037
73782	Colipase, pancreatic	CLPS	Hs.1340	6	6pter-p21.1	1208
79629	Transcribed locus	N/A	Hs.644654	2	N/A
80633	Toll-like receptor 2	TLR2	Hs.519033	4	4q32	7097
80649	Rho-associated, coiled-coil containing protein kinase 1	ROCK1	Hs.306307	18	18q11.1	6093
81315	RAB40B, member RAS oncogene family	RAB40B	Hs.484068	17	17q25.3	10966
81427	Transcribed locus	N/A	Hs.94367	14	N/A
81604	Acyloxyacyl hydrolase (neutrophil)	AOAH	Hs.488007	7	7p14-p12	313
82710	Glutathione S-transferase A2	GSTA2	Hs.94107	6	6p12.1	2939
82991	Ectonucleotide pyrophosphatase/phosphodiesterase 1	ENPP1	Hs.527295	6	6q22-q23	5167
83605	Carbamoyl-phosphate synthetase 1, mitochondrial	CPS1	Hs.149252	2	2q35	1373
84295	Interleukin 1 receptor antagonist	IL1RN	Hs.81134	2	2q14.2	3557
84713	Fibrinogen beta chain	FGB	Hs.300774	4	4q28	2244
85128	Complement component 1, q subcomponent, B chain	C1QB	Hs.8986	1	1p36.12	713
85202	Serine dehydratase	SDS	Hs.439023	12	12q24.13	10993
85313	Cell cycle progression 1	CCPG1	Hs.612814	15	15q21.1	9236
85497	Complement component 2	C2	Hs.408903	6	6p21.3	717
85561	Cytochrome P450, family 2, subfamily A, polypeptide 6	CYP2A6	Hs.439056	19	19q13.2	1548
85624	Complement component 4 binding protein, alpha	C4BPA	Hs.1012	1	1q32	722
85634	N/A	N/A	N/A	N/A	N/A	N/A
109310	3-hydroxyanthranilate 3,4-dioxygenase	HAAO	Hs.368805	2	2p21	23498
110226	Tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain	TNFRSF10C	Hs.145269	8	8p22-p21	8794
111460	Cyclin T1	CCNT1	Hs.279906	12	12pter-qter	904
