Cytoband	Start (bp)	End (bp)	Gene symbol	Ensembl ID	Total d	DCN=1 e	DCN=0 f
9p21.3	21957751	21984490	CDKN2A	ENSG00000147889	17	12	5
9p21.3	21992909	21999312	CDKN2B	ENSG00000147883	17	12	5
9p21.3	22002115	22002528	NULL	ENSG00000187088	17	12	5
9p21.3	21957137	21957738	NSGX_HUMAN	ENSG00000173515	16	11	5
9p21.3	21792635	21921198	MTAP	ENSG00000099810	14	10	4
9p21.3	22436840	22442472	DMRTA1	ENSG00000176399	14	11	3
18q21.33	58005521	58125333	KIAA1468	ENSG00000134444	14	14	0
18q21.33	58143566	58204482	TNFRSF11A	ENSG00000141655	14	14	0
18q21.33	58149025	58149121	NULL	ENSG00000191838	14	14	0
18q21.33	58149025	58149125	Y	ENSG00000199867	14	14	0
18q21.33	58262420	58262484	NULL	ENSG00000193871	14	14	0
18q21.33	58468521	58468807	NULL	ENSG00000192667	14	14	0
18q21.33	58534939	58798645	PHLPP	ENSG00000081913	14	14	0
18q21.33	58549439	58549545	NULL	ENSG00000193542	14	14	0
18q21.33	58549439	58549545	U6	ENSG00000199195	14	14	0
18q21.33	58656620	58656928	Q9H380_HUMAN	ENSG00000171825	14	14	0
18q21.33	58941559	59137489	BCL2	ENSG00000171791	14	14	0
18q21.33	59148813	59185465	FVT1	ENSG00000119537	14	14	0
18q21.33	59207407	59240673	VPS4B	ENSG00000119541	14	14	0
18q21.33	59315202	59315613	NULL	ENSG00000176042	14	14	0
18q22.3	69563150	69563445	NULL	ENSG00000191507	14	14	0
18q22.3	69891581	69966020	FBXO15	ENSG00000141665	14	14	0
18q22.3	69966766	69977000	TI21L_HUMAN	ENSG00000075336	14	14	0
18q22.3	70045721	70046017	NULL	ENSG00000192188	14	14	0
18q22.3	70071512	70110155	CYB5	ENSG00000166347	14	14	0
18q21.1	48121156	49311021	DCC	ENSG00000187323	13	12	1
18q21.1	46810611	46860139	SMAD4	ENSG00000141646	9	7	2
17p12	11864929	11987872	MAP2K4	ENSG00000065559	8	7	1
17p13.1	7512464	7531642	TP53	ENSG00000141510	7	7	0
1p36.11	24971364	25036918	RUNX3	ENSG00000020633	6	6	0
