Acc. no.	Gene name	pxn65	pxn100	Comments
X56932	Ribosomal protein L13a (RPL13A)	0.187	1.741	Component of the 60S ribosomal subunit
K00558	Tubulin-alpha (TUBA1)	0.257	2.261	Ubiquitous tubulin isoform, member of a family of microtubule structural proteins
AF001954	Inhibitor of growth family, member 1 (ING1)	0.258	1.33	Required for optimal p53 function, can mediate growth arrest, senescence and apoptosis
AF017988	Secreted frizzled-related protein 5 (SFRP5)	0.28	2.625	Secreted apoptosis-related protein family member, may modulate of Wnt signalling
U14971	Ribosomal protein S9 (RPS9)	0.327	1.147	Component of the small 40S ribosomal subunit
AF017986	Secreted frizzled-related protein 2 (SFRP2)	0.34	0.109	Secreted apoptosis-related protein family member, may modulate of Wnt signalling
M14505	Cyclin-dependent kinase 4 (CDK4)	0.362	1.124	Required for cell cycle progression, phosphorylates and inactivates pRb
M15796	Proliferating cell nuclear antigen (PCNA)	0.387	5.863	Processivity factor for DNA polymerases  and . Role in DNA repair synthesis
M62402	IGFBP6 insulin-like growth factor-binding protein 6	1.101	28.76	Binds and modulates insulin-like growth factor activity
AF010310	Proline dehydrogenase 1 (PRODH1/PIG6)	1.069	9.289	Generates reactive oxygen species following p53-induction
U22398	Cyclin-dependent kinase inhibitor 1C (CDKN1C/p57/Kip2)	0.513	7.714	Inhibits several G1 cyclin/Cdk complexes, overexpression arrests cells in G1
U90313	Glutathione transferase omega (GSTTLp28)	0.722	6.236	May bind glutathione, but has no transferase or peroxidase activity
AF010314	Ectodermal-neural cortex (ENC1/PIG10)	0.992	5.616	Nuclear matrix-associated phosphoprotein, binds actin and interacts with active pRb
L22474	BCL2-associated X protein (BAX)	0.542	4.428	Pro-apoptotic bcl-family member, required for apoptosis induced by chemotherapeutics
U10564	WEE1+homolog (WEE1)	0.676	4.293	Tyrosine kinase, negatively regulates entry into mitosis, phosphorylates cdc2/cyclin B
M11886	MHC, class I, C (HLA-C)	0.833	4.19	Role in the immune system, presents peptides derived from endoplasmic reticulum
M26880	Ubiquitin C (UBC)	0.504	4.134	Polyubiquitin protein precursor that marks cellular proteins for degradation
AF010309	Quinone oxidoreductase homolog (PIG3)	0.898	3.611	Quinone oxidoreductase homologue, long-lived reporter of p53 induction
M25753	Cyclin B1 (CCNB1)	0.671	3.097	G2M cyclin, binds cdc2 to form the maturation-promoting factor
M34065	Cell division cycle (CDC25C)	1.325	2.913	Protein tyrosine phosphatase; dephosphorylates cdc2/cyclin B and triggers mitosis
Y00285	IGF2R insulin-like growth factor 2 receptor	0.949	2.822	Mediates signal transduction
U77949	Cell division cycle 6 homolog (CDC6)	0.661	2.692	Regulates early steps of DNA replication, binds PCNA and ATM-dependent checkpoint
U23765	BCL2-antagonist/killer 1 (BAK1)	0.768	2.643	Pro-apoptotic BCL-family member, required for apoptosis induced by chemotherapeutics
U69611	Disintegrin and metalloproteinase domain 17 (ADAM17)	0.989	2.526	TNF- converting enzyme, binds mitotic arrest deficient 2 protein
L31951	Mitogen-activated protein kinase 9 (MAPK9/JNK2)	0.967	0.366	Jun N-terminal kinase, binds p53 and increases its t 1/2 in non-stressed cells
AF010312	LPS-induced TNF-alpha factor (PIG7)	1.445	0.274	LPS-induced TNF-alpha factor; functions as a transcription factor
U34819	Mitogen-activated protein kinase 10 (MAPK10/JNK3)	1.733	0.222	Jun N-terminal kinase activated by apoptosis signal related kinase 1
M35410	Insulin-like growth factor binding protein 2 (IGFBP2)	0.511	0.155	Binds and modulates insulin-like growth factor activity
