Gene no.	Name	Name	GeneBank accession no.	Average intensity of UCB-MNCs	Average intensity of UCB-MSCs	Ratio (UCB-MSCs/UCB-MNCs)	SAGE frequency [16]
1	Connective tissue growth factor	CTGF, IGFBP8	NM_001901	<1.0	473.2	473.2	525
2	Collagen, type I, alpha 1	COL1A1	NM_000088	<1.0	368.4	368.4	2,572
3	Nicotinamide N-methyltransferase	NNMT	NM_006169	1.2	320	276.7	23
4	Transgelin	TAGLN	NM_003186	1.5	396.5	272.1	408
5	Serine proteinase inhibitor, clade H	SERPINH2	NM_001235	<1.0	235.3	235.3	230
6	Collagen, type VI, alpha 3	COL6A3	NM_004369	<1.0	227.1	227.1	78
7	Osteoblast specific factor 2	OSF-2	NM_006475	<1.0	217.6	217.6	98
8	Collagen, type I, alpha 2	COL1A2	NM_000089	<1.0	214.5	214.5	725
9	Serine proteinase inhibitor, clade E	SERPINE1	NM_000602	<1.0	182.3	182.3	125
10	Collagen, type III, alpha	COL3A1	NM_000090	<1.0	149.7	149.7	64
11	Protease, serine, 11 (IGF binding)	PRSS11	NM_002775	<1.0	146.9	146.9	—
12	Crystallin, alpha B	CRYAB	NM_001885	<1.0	145.5	145.5	27
13	Thy-1 homolog	THY-1	AK057865	<1.0	134.6	134.6	82
14	KDEL ER protein retention receptor 3	KDELR3	NM_006855	<1.0	134.6	134.6	2
15	Necdin	NDN	NM_002487	<1.0	130.4	130.4	12
16	Hypothetical protein AGENCOURT_6683145		BM928826	1.1	130.4	123.5	—
17	Tropomyosin 1	TPM1	NM_000366	<1.0	118	118	94
18	Collagen, type IV, alpha 2	COL4A2	NM_001846	<1.0	102.4	102.4	4
19	Lumican	LUM	NM_002345	<1.0	96	96	53
20	Complex I MLRQ subunit homolog	NDUFA4	NM_020142	<1.0	93.9	93.9	154
21	Hypothetical protein MGC17528		NM_080388	<1.0	90.5	90.5	21
22	Collagen triple helix repeat containing 1	CTHRC1	NM_138455	<1.0	87.7	87.7	74
23	Epithelial protein lost in neoplasm beta	EPLIN	NM_016357	1.1	89.5	82.2	—
24	Protein kinase C, delta-binding protein	SRBC	NM_145040	1.7	137.1	81.3	20
25	Collagen, type VI, alpha 2	COL6A2	NM_001849	1.2	95.1	81	216
26	Cartilage link protein 1	CRTL1	NM_001884	<1.0	80.7	80.7	10
27	Lysyl oxidase-like protein 1	LOXL1	L21186	<1.0	81.2	80.1	49
28	Collagen, type IV, alpha 1	COL4A1	NM_001845	<1.0	77.8	77.8	23
29	Lysyl oxidase gene, partial cd		U22384	<1.0	76.1	76.1	—
30	Cysteine-rich, angiogenic inducer, 61	CYR61	NM_001554	<1.0	75	75	74
31	Wnt5B protein	WNT5B	NM_032642	<1.0	71.6	71.6	—
32	P311 protein	P311	NM_004772	<1.0	74.5	71.1	33
33	Insulin-like growth factor–binding protein 7	IGFBP7	NM_001553	4.6	305.2	66.1	244
34	Hypothetical protein MGC3047		NM_032348	<1.0	63.6	63.6	62
35	Bone morphogenic protein, placental	PLAB	NM_004864	1.3	82.9	63.2	—
36	Fibroblast activation protein, alpha	FAP	NM_004460	<1.0	60.6	60.6	8
37	Lysyl oxidase	LOX	NM_002317	<1.0	59.8	59.8	41
38	BCL2/adenovirus E1B interacting protein 3	BNIP3	NM_004052	<1.0	63.4	59.7	6
39	Hypothetical protein MGC3278		BC001096	<1.0	58.3	58.3	10
40	Growth arrest-specific 6	GAS6	NM_000820	1.4	79.5	56.4	74
41	Follistatin	FST	NM_006350	<1.0	56.3	56.3	2
42	Four-and-a-half LIM domains 2	FHL2	NM_001450	3.8	199.9	52.2	25
43	Hypothetical protein FLJ12442		NM_022908	1.3	69.6	52.2	—
44	Insulin-like growth factor binding protein 6	IGFBP6	NM_002178	<1.0	52	52	129
45	Fibulin 6	FBLN4	NM_016938	2	101.4	50.9	12
46	LIM domain protein	RIL	NM_003687	1.2	61.7	50.9	4
47	Pyrroline-5-carboxylate reductase 1	PYCR1	NM_006907	<1.0	50.4	50.4	20
