Symbol	Name	Accession Nb.	Expression	Expression	Normal keratinocytes (NHEK) 0.5 h	3 h	6 h	12 h	24 h	Expression	Expression	SCC12B2 6 h	12 h	Function
(+) CCNA1	Cyclin A1	U66838	+		1.2	0.8	1.1	2.1	7.4			1	1	Cell cycle (+/-)/oncogene/tumor suppressor
(+) CCNB1	Cyclin B1	M25753		__	-1.1	-1.1	-1.4	-3.7	-4.3			-1.1	-1.7	Cell cycle (+/-)/oncogene/tumor suppressor
(+) CCNB2	Cyclin B2	AL060146		__	-1.6	-1.1	-1.3	-4	-4.3			-1.3	-1.6	Cell cycle (+/-)/oncogene/tumor suppressor
 (+) CCNE1	Cyclin E1	M74093		__	-6	-1.7	-3.2	-7.2	-0.6			-1.7	-3.4	Cell cycle (+/-)/oncogene/tumor suppressor
 (+) ODC1	Ornithine Decarboxylase 1	M33764	+		1.4	3.2	1.5	1	3.5			1.6	1.4	Cell cycle (+/-)/oncogene/tumor suppressor
 (+) HRAS	Ha-ras Oncogene	J00277	+		6.9	1.3	2.3	1.7	2.6			-1.3	-1.7	Cell cycle (+/-)/oncogene/tumor suppressor
 (+) MDM2	MDM2	M92424			0.9	0.9	1.5	1.9	1.1			1	1	Cell cycle (+/-)/oncogene/tumor suppressor
 (+/-) SFN	14-3-3  (Stratifin)	X57348	+		1.4	1.5	2.2	2	1.1			-1.1	-1.1	Cell cycle (+/-)/oncogene/tumor suppressor
 (+) FYN	FYN oncogene	M14333		__	-1.1	-1.3	-1.4	-4.9	-10.6			-1.8	-1.8	Cell cycle (+/-)/oncogene/tumor suppressor
 (+) ABL1	c-abl oncogene	X16416		__	9.9	-1.4	-2.8	-3.8	-8.1			-2.2	-3	Cell cycle (+/-)/oncogene/tumor suppressor
 (+) ERBB3	c-erb-b2 Oncogene 3	M34309		__	-1.8	-1.5	-3.2	-3.4	-1.1			-1.6	-1.6	Cell cycle (+/-)/oncogene/tumor suppressor
 (+) BCAR3	Breast Cancer Anti-Estrogen Resistance 3	U92715		__	-1	-2.4	-3.1	-12.1	-3.9			-2.6	-5.8	Cell cycle (+/-)/oncogene/tumor suppressor
 (+) MK167	Antigen Ki-67	X65S50		__	-1	-1.3	-1.2	-2.9	-5.2			-2.3	-2.2	Cell cycle (+/-)/oncogene/tumor suppressor
 (+) CSF2	CSF2	M13207			-1.1	-1.1	-1.1	-1.1	-1.1	+		4.6	4.7	Cell cycle (+/-)/oncogene/tumor suppressor
 (-) PPP1R15A	GADD34	U63981	+		9.8	1	1.4	2.2	5.1			-1.3	-1.1	Cell cycle (+/-)/oncogene/tumor suppressor
 (-) CDKN1A	P21 CIP1	U03106			1.6	1.6	1.3	1.4	5			1.1	-1.2	Cell cycle (+/-)/oncogene/tumor suppressor
 (-) CDKN1C	P57 Kip2	64137	+		1.6	2	2.2	1.3	3.5	+		3	3.3	Cell cycle (+/-)/oncogene/tumor suppressor
 (-) CDKN1B	P27 Kip1	A1304854		__	-1.7	-3	-1.4	-1.3	-3.4			1	1	Cell cycle (+/-)/oncogene/tumor suppressor
 (-) WEE1	WEE1	X62048		__	-1.6	-6.7	-14.9	-18.9	-4.5		__	-8.6	-0.8	Cell cycle (+/-)/oncogene/tumor suppressor
 (-) TP53	P53 tumor suppressor	X02469			0.7	0.9	0.8	1.4	0.8			1	1	Cell cycle (+/-)/oncogene/tumor suppressor
 (-) NF2	Neurofibromatosis 2 tumor suppressor	AF122827	+		1	1.8	6.9	10	1.4	+		3.9	2.7	Cell cycle (+/-)/oncogene/tumor suppressor
 (-) FUS1	FUS1 tumor suppressor	AF055479			-1.1	-2.5	-2.7	-3.2	-1.7		__	-3.9	-3.6	Cell cycle (+/-)/oncogene/tumor suppressor
 (-) FAT2	FAT2 tumor suppressor	ABO11535		__	-1.3	-1.6	-3.6	-3.7	-7.9					Cell cycle (+/-)/oncogene/tumor suppressor
 (+) CRADD	RAIDD	U79115	+		0.7	1.7	1.5	3.1	2.4			1.1	1.3	Apoptosis (+/-)
 (+) TSSC3	Tumor suppressing STF 3	AF035444	+		1.5	4.1	3.4	4.1	4.4			1.5	1.4	Apoptosis (+/-)
 (+) PMAIP1	APR (NOXA)	90070	+		2	7	14.7	16.1	13	+		2.8	3.3	Apoptosis (+/-)
 (+) TNF	TNF	X02910			1.5	1.4	1.8	2.2	1.4	+		10.5	10.4	Apoptosis (+/-)
 (-) BCL2	BCL-2	H14745	+		2	1	1	3.6	1			1	1	Apoptosis (+/-)
 (-) API5L1	Antiapoptosis 5-Like 1	Y15906	+		1.5	4	3.2	1.1	2.4			-1.1	-2.5	Apoptosis (+/-)
 (-) IER3	Radiation-inducible IER3	SB1914	+		1.5	5.2	5.1	5.4	4.5			1.4	1.2	Apoptosis (+/-)
 (-) TNFAIP3	TNF-Induced Protein 3	M59465	+		1	0.7	1.2	2.4	6.8		__	-3.7	-4.3	Apoptosis (+/-)
 (-) HSPA2	HSP70	L26336	+		1.8	1	2.1	2.2	1.9			1	1	Apoptosis (+/-)
 (-) HSPCB	HSP90	W28616	+		1.2	1.2	2.1	2.1	0.6	+		2.3	2.8	Apoptosis (+/-)
 (-) MCL1	Myeloid cell leukemia 1	L08246			0.8	0.4	0.4	0.4	1.6		__	-7.4	-8.9	Apoptosis (+/-)
 (-) BAG5	BCL2-Associated Athanogene 5	AB020680			1	0.6	0.4	0.5	1.1		__	-3.5	-5.7	Apoptosis (+/-)
GADD45A	GADD45A	MG0974	+		1.5	3.6	4.7	7	9.2	+		2	2.4	DNA repair
GADD45B	GADD45B	AF078077	+		1.6	2.3	2.2	2.8	4.8			1.2	1.5	DNA repair
ERCC1	ERCC1	Ml 31 94	+		1.2	2	1.4	1.1	3.9			1.3	1.3	DNA repair
ERCC2	ERCC2	AA079018	+		1.1	2	2.4	2.2	1.4			1.3	1.9	DNA repair
BTG1	B-cell Translocation Gene 1	X61123	+		1.1	1	1.7	2.2	3.4			1.1	-1.8	DNA repair
TOB1	Transducer of ErbB-2. 1	D38305	+		8.9	2	2	2	2.5	+		2.9	3.2	DNA repair
 (+) CYBA	Superoxide-Generating NADPH Oxidase	M21186	+		1.3	1	1.7	2.5	2.8			-1.1	-1.3	Oxydative stress/ROS metabolism (+/-)
 (-) MT1G	Matallothionein 1G	J03910	+		1	3	3.4	2	3.8			1.6	1.3	Oxydative stress/ROS metabolism (+/-)
 (-) MT2A	Matallothionein 2A	A1547258			2.3	1	0.8	1.9	0.6		__	-4.4	-3.6	Oxydative stress/ROS metabolism (+/-)
 (-) PRDX3	Peroxiredoxin 3	D49396			0.7	1	0.8	0.9	0.7	+		2.2	2.4	Oxydative stress/ROS metabolism (+/-)
 (+) MMP1	Collagenase	M13509			0.8	1	1.3	1.8	3.3			1.5	1.8	Extra cellular matrix/protease (+/-)
 (+) MMP10	Stromelysin 2	X07820	+		1.8	2.5	2.2	2.1	4.5			1	1.8	Extra cellular matrix/protease (+/-)
 (+) PRSS4	Trypsin 4	X71345	+		1.4	2	1.4	1.9	7			1	1	Extra cellular matrix/protease (+/-)
 (+) IL8	IL-8 (CXC)	M28130	+		2	11	36.8	48.1	71.7	+		12.5	11.9	Growth factor/chemokine/cytokine/inflammation (+/-)
 (+) IL6	IL-6	X04430	+		1	1.3	4.1	3.7	1 9	+		4.3	4	Growth factor/chemokine/cytokine/inflammation (+/-)
 (+) IL1B	IL-1B	X04500	+		1	1	1.4	1.6	1.9	+		2.9	2.3	Growth factor/chemokine/cytokine/inflammation (+/-)
 (+) GRO1	Small Inducible Cytokine B1 (MGSA) (CXC)	X54489	+		2.2	2	2.2	3.1	3.2	+		2.9	2	Growth factor/chemokine/cytokine/inflammation (+/-)
