Probe set Id	Gene name	Gene symbol	Biologic process	P
201291_s_at	Topoisomerase (DNA) II alpha 170kDa	TOP2A	DNA replication, DNA topologic change, DNA repair	0.014
203022_at	Ribonuclease H2, large subunit	RNASEH2A	DNA replication, RNA catabolism, RNA metabolism	0.032
204441_s_at	Polymerase (DNA directed), alpha 2 (70-kDa subunit)	POLA2	DNA replication	0.016
201897_s_at	CDC28 protein kinase regulatory subunit 1B	CKS1B	Cell cycle	< .001
202705_at	Cyclin B2	CCNB2	Cell cycle	0.01
203214_x_at	Cell division cycle 2, G1 to S and G2 to M	CDC2	Cell cycle	0.016
203362_s_at	MAD2 mitotic arrest deficient-like 1 (yeast)	MAD2L1	Cell cycle	0.01
212949_at	Barren homolog 1 (Drosophila)	BRRN1	Cell cycle	0.021
204334_at	Kruppel-like factor 7 (ubiquitous)	KLF7	Cell cycle, transcription	0.015
201457_x_at	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	BUB3	Mitosis	< .001
218039_at	Nucleolar and spindle associated protein 1	NUSAP1	Mitosis	0.022
200853_at	H2A histone family, member Z	H2AFZ	Nucleosome assembly, chromosome organization	< .001
213911_s_at	H2A histone family, member Z	H2AFZ		0.004
204603_at	Exonuclease 1	EXO1	DNA repair	0.004
219650_at	FLJ20105 protein	FLJ20105	Unknown	< .001
