Gene ID (Human)	Gene_Id (Mouse)	Symbol	Name	MEF Median Intensity	Human Fibroblast Median Intensity	Gene_Id
5764	19242	PTN	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	9274	319	5803
4192	17242	MDK	midkine (neurite growth-promoting factor 2)	588	1732	5803
7474	22418	WNT5A	wingless-type MMTV integration site family, member 5A	285	836	7855
652	12159	BMP4	bone morphogenetic protein 4	735	260	657
8200	14563	GDF5	growth differentiation factor 5 (cartilage-derived morphogenetic protein-1)	30	473	657
655	12162	BMP7	bone morphogenetic protein 7 (osteogenic protein 1)	13	9	657
392255	242316	GDF6	growth differentiation factor 6	12	783	657
650	12156	BMP2	bone morphogenetic protein 2	11	3	657
2250	14176	FGF5	fibroblast growth factor 5	107	99	2264
8817	14172	FGF18	fibroblast growth factor 18	46	15	2264
2248	14174	FGF3	fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)	29	30	2264
9965	14170	FGF19	fibroblast growth factor 19	19	11	2264
2247	14173	FGF2	fibroblast growth factor 2 (basic)	11	70	2264
3084	211323	NRG1	neuregulin 1	27	155	2064
3084	211323	NRG1	neuregulin 1	27	155	2065
1950	13645	EGF	epidermal growth factor (beta-urogastrone)	22	35	2064
1950	13645	EGF	epidermal growth factor (beta-urogastrone)	22	35	2065
7472	22413	WNT2	wingless-type MMTV integration site family member 2	50	13	8326
3624	16323	INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)	128	2744	93
8200	14563	GDF5	growth differentiation factor 5 (cartilage-derived morphogenetic protein-1)	30	473	93
655	12162	BMP7	bone morphogenetic protein 7 (osteogenic protein 1)	13	9	93
7424	22341	VEGFC	vascular endothelial growth factor C	176	690	2324
2277	14205	FIGF	c-fos induced growth factor (vascular endothelial growth factor D)	561	0	2324
113878	74198	DTX2	deltex homolog 2 (Drosophila)	235	189	4851
28514	13388	DLL1	delta-like 1 (Drosophila)	55	13	4851
182	16449	JAG1	jagged 1 (Alagille syndrome)	118	231	4851
3714	16450	JAG2	jagged 2	18	43	4851
