Genbank accession no.	Description	Symbol	Fold change	Gene ontology
NM_020300	Microsomal glutathione S-transferase 1	MGST1	17.65	Prostaglandin metabolism
NM_005127	C-type lectin, superfamily member 2	CLECSF2	15.22	Lectin
NM_002446	MAPK kinase kinase 10	MAP3K10	14.39	Signal transduction
NM_000224	Keratin 18	KRT18	13.61	Cytoskeleton organization
NM_000321	Retinoblastoma 1	RB1	12.93	Cell cycle checkpoint
NM_001946	Dual specificity phosphatase 6	DUSP6	11.52	Protein dephosphorylation
NM_002224	Inositol 1,4,5-triphosphate receptor, 3	ITPR3	11.43	Signal transduction
NM_002771	Protease, serine, 3	PRSS3	10.57	Proteolysis and peptidolysis
NM_002276	Keratin 19	KRT19	7.88	Cytoskeleton organization
NM_016445	Pleckstrin 2 homologue	PLEK2	7.4	Calcium binding
AF055033	Insulin-like growth factor binding protein 5	IGFBP5	6.65	Signal transduction
NM_002769	Protease, serine, 1	PRSS1	6.2	Proteolysis and peptidolysis
AF043909	Gastric mucin	MUC5AC	4.85	Cell adhesion
NM_004701	Cyclin B2	CCNB2	4.34	Cell cycle control
NM_002744	Protein kinase C, ?	PRKCZ	3.58	Protein phosphorylation
NM_002755	MAPK kinase 1	MAP2K1	3.13	Signal transduction
NM_001758	Cyclin D1	CCND1	3.11	Cell cycle control
NM_000090	Collagen, type III, ?1	COL3A1	0.03	Cell adhesion
NM_001333	Cathepsin L2	CTSL2	0.06	Proteolysis and peptidolysis
NM_000393	Collagen, type V, ?2	COL5A2	0.08	Cell adhesion
NM_003637	Integrin, ?10	ITGA10	0.1	Cell-matrix adhesion
NM_001845	Collagen, type IV, ?1	COL4A1	0.13	Cell adhesion
NM_003793	Cathepsin F	CTSF	0.15	Proteolysis and peptidolysis
NM_004390	Cathepsin H	CTSH	0.15	Proteolysis and peptidolysis
L25629	Human cathepsin-L-like	CTSLL3	0.15	Proteolysis and peptidolysis
L25628	Human cathepsin-L-like	CTSLL2	0.22	Proteolysis and peptidolysis
NM_002456	Mucin 1, transmembrane	MUC1	0.26	Cholesterol catabolism
NM_000210	Integrin, ?6	ITGA6	0.29	Cell-matrix adhesion
