Accession no.	Unigene gene name	Unigene symbol	T+/- vs. T+/+	Function
NM_008340	Insulin-like GF binding protein	Igfals	5.1	Growth/differentiation
BC017640	B cell CLL/lymphoma 7A	Bcl7a	4.6	Apoptosis
NM_008552	MAS1 oncogene	Mas1	4.4	Oncogene
NM_010127	POU domain class 6 transcription factor 1	Pou6f1	3.8	Transcription factor
BM117916	XP, complementation A	Xpa	3.5	Cancer-related gene
AF236084	G protein – coupled receptor 74	Gpr74	3.5	Signal transduction
AK014050	RAB3C, member RASoncogene family	Rab3c	3.5	Signal transduction
NM_007628	Cyclin A1	Ccna1	3.2	Cell cycle regulation
AK005073	Neurogenic differentiation 1	Neurod1	2.9	Growth/differentiation
NM_013751	HRAS-like suppressor	Hrasls	2.8	Oncogene
NM_009290	Wingless-related MMTV integration 8A	Wnt8a	2.8	Signal transduction
M92416	Fibroblast growth factor 6	Fgf6	2.6	Growth/differentiation
BM213279	MAP/microtubule affinity-regulating kinase 1	Mark1	2.6	Signal transduction
NM_021381	G protein – coupled receptor 73	Gpr73	2.5	Signal transduction
NM_138945	POU domain, class 4, transcription factor 3	Pou4f3	2.5	Transcription factor
NM_007546	Bcl2-interacting killer-like	Biklk	2.4	Apoptosis
AF015172	Glial cell – derived neurotrophic factor receptor a1	Gfra1	2.4	Cancer-related gene
NM_022721	Frizzled homologue 5 (Drosophila)	Fzd5	2.3	Signal transduction
BB749215	CWF19-like 1, cell cycle control (S. pombe )	Cwf19l1	2.2	Cell cycle regulation
AW701903	Breast carcinoma – amplified sequence 3	Bcas3	-2	Cancer-related gene
AK004849	Rhophilin, Rho GTPase binding protein 2	Rhpn2	-2	Signal transduction
NM_009500	Vav2 oncogene	Vav2	-2.1	Oncogene
X56230	POU domain, class 2, transcription factor 1	Pou2f1	-2.3	Transcription factor
NM_009877	Cyclin-dependent kinase inhibitor 2A	Cdkn2a	-2.9	Cell cycle regulation
BC013080	Transcription factor CP2-like 2	Tcfcp2l2	-3.8	Transcription factor
