Acc. No.	Gene	E2F1	E2Fdb	Function
X51688	Cyclin A	2.5+\-0.3	2.2+\-0.3	Cell cycle
M73812	Cyclin E	5.9+\-1.9	1.6+\-0.1	Cell cycle
AF091433	Cyclin E2	56.4+\-24.6	7.3+\-2.2	Cell cycle
M92287	Cyclin D3	7.8+\-1.9	2.1+\-0.1	Cell cycle
M81933	Cdc25a	11.1+\-8.6	2.7+\-0.4	Cell cycle
X59618	Ribonucl. reductase RR2	55.5+\-60.4	2.9+\-0.3	Cell cycle
D83243	NPAT	5.0+\-1.3	2.1+\-0.8	Cell cycle
X72889	hbrm	3.9+\-1.3	2.5+\-0.8	Cell cycle
U22398	p57Kip2	11.8+\-8.8	3.6+\-1.5	Cell cycle
M25753	Cyclin B	#NAME?	1.3+\-0.1	Cell cycle
S62035	Cdc25c	#NAME?	#NAME?	Cell cycle
M87339	Replic. fac. C, 37 kD subunit	4.0+\-1.1	1.3+\-0.1	Replication factors
AL080203	DNA polymerase epsilon	30.2+\-53.7	#NAME?	Replication factors
AF025840	DNA polymerase episilon 2	1.9+\-1.0	1.0+\-0.2	Replication factors
M15796	PCNA	1.9+\-0.7	1.1+\-0.3	Replication factors
AJ223728	Cdc45L	3.7+\-1.5	1.2+\-0.2	Replication factors
X74794	Mcm4	4.8+\-2.9	#NAME?	Replication factors
U77949	Cdc6	3.1+\-2.3	1.2+\-0.1	Replication factors
AB028069	Activator of S phase kinase	3.7+\-0.7	1.2+\-0.3	Replication factors
U59435	PA2G4	2.0+\-0.4	1.1+\-0.1	Replication factors
AF070552	CDT1	4.1+\-1.4	1.3+\-0.4	Replication factors
AF023158	Cdc14b	4.2+\-1.8	2.2+\-1.7	Replication factors
M63488	Replic. prot. A 70 kDa subunit	2.5+\-0.5	1.7+\-0.1	Replication factors
U09196	DNA polymerase delta4	#NAME?	#NAME?	Replication factors
S78234	Cdc27	#NAME?	1.0+\-0.0	Replication factors
U27459	ORC2L	#NAME?	#NAME?	Replication factors
M74297	Hox1.4 (A4)	15.2+\-4.8	5.6+\-1.6	Hox/Homeobox genes
M26679	Hox1.3 (A5)	10.6+\-2.2	7.6+\-0.7	Hox/Homeobox genes
U41813	HoxA9	11.1+\-5.1	5.7+\-2.7	Hox/Homeobox genes
X15507	Hox5.4 (D8)	17.8+\-6.6	8.0+\-2.9	Hox/Homeobox genes
L12701	Engrailed protein (EN2)	3.8+\-1.8	3.1+\-0.4	Hox/Homeobox genes
AF009801	BapX1	20.2+\-8.7	7.1+\-1.2	Hox/Homeobox genes
X91868	Six1	11.4+\-4.0	8.8+\-2.8	Hox/Homeobox genes
U51096	Cdx2	4.2+\-1.9	1.9+\-0.5	Hox/Homeobox genes
U11701	hLH-2	18.1+\-8.1	6.8+\-2.3	Hox/Homeobox genes
AF019415		23.2+\-13.5	8.3+\-2.0	Hox/Homeobox genes
U70370	Bft	32.7+\-32.9	9.5+\-2.2	Hox/Homeobox genes
U34962	CSX	11.0+\-9.4	9.4+\-4.7	Hox/Homeobox genes
D89377	MSX-2	2.2+\-0.4	2.2+\-0.9	Hox/Homeobox genes
AJ005814	HoxA7	1.8+\-1.0	1.0+\-0.6	Hox/Homeobox genes
H94842	HoxA11	3.3+\-1.2	1.6+\-0.0	Hox/Homeobox genes
U07664	HoxB9	1.9+\-0.3	1.9+\-1.5	Hox/Homeobox genes
M97676	Hox7	2.6+\-0.6	1.9+\-0.7	Hox/Homeobox genes
X74862	Hpx-5	3.2+\-0.9	1.4+\-0.6	Hox/Homeobox genes
X59841	Pbx3	7.5+\-4.8	2.3+\-0.2	Hox/Homeobox genes
AF041339	PITX1	6.3+\-2.7	1.5+\-0.1	Hox/Homeobox genes
U44060	Prox1	#NAME?	1.4+\-0.1	Hox/Homeobox genes
M95929	PHOX1	#NAME?	1.0+\-0.2	Hox/Homeobox genes
X76079	PDGFR	7.1+\-1.2	1.90.3	Growth factors/receptors
X04434	IGF1R	7.6+\-3.6	3.0+\-0.9	Growth factors/receptors
X70340	TGF-	2.3+\-0.4	4.4+\-0.5	Growth factors/receptors
X53655	NGF-2	7.8+\-7.4	10.6+\-2.5	Growth factors/receptors
M60459	EpoR	5.4+\-3.7	4.2+\-0.8	Growth factors/receptors
X60201	BDNF	5.1+\-2.7	5.0+\-1.6	Growth factors/receptors
D14838	FGF9	54.7+\-10.8	8.3+\-1.8	Growth factors/receptors
M64347	FGFR3	51.0+\-29.3	11.7+\-4.7	Growth factors/receptors
AB011542	MEGF9	12.5+\-7.4	8.5+\-2.1	Growth factors/receptors
AF024710	VEGF	2.6+\-0.7	1.5+\-0.2	Growth factors/receptors
U43142	VEGF-C (VRP)	21.5+\-6.8	4.4+\-1.3	Growth factors/receptors
Z71929	FGFR2	10.1+\-10.5	3.5+\-1.4	Growth factors/receptors
M60278	Heparin-binding EGF-like GF	13.9+\-6.5	3.8+\-0.5	Growth factors/receptors
M80634	Keratinocyte GF receptor	5.9+\-2.5	1.5+\-0.8	Growth factors/receptors
Y00285	IGFIIR	#NAME?	#NAME?	Growth factors/receptors
AL009179	Histone H2A	#NAME?	1.0+\-0.1	Histones
L19778	Histone H2A.1b	#NAME?	#NAME?	Histones
L19779	Histone H2A.2	#NAME?	1.0+\-0.2	Histones
Z80776	Histone H2A/g	#NAME?	#NAME?	Histones
U90551	Histone H2A/l	#NAME?	#NAME?	Histones
X00088	Histone H2B	#NAME?	#NAME?	Histones
AJ223353	Histone H2B/d	#NAME?	1.4+\-0.4	Histones
Z80779	Histone H2B/g	#NAME?	1.0+\-0.0	Histones
Z80780	Histone H2B/h	#NAME?	1.0+\-0.0	Histones
AI076718	Histone H2B/g	#NAME?	2.0+\-1.6	Histones
Z80782	Histone H2B/k	#NAME?	1.0+\-0.0	Histones
AA873858	Histone H2B/n	#NAME?	1.0+\-0.1	Histones
AL009179	Histone H3.1	#NAME?	1.3+\-0.1	Histones
Z48950	Histone H3.3	#NAME?	#NAME?	Histones
Z98744	Histone H4	#NAME?	#NAME?	Histones
X60484	Histone H4/e	#NAME?	#NAME?	Histones
D64142	Histone H1X	#NAME?	#NAME?	Histones
X03473	Histone H1(0)	#NAME?	#NAME?	Histones
X14850	Histone H2AFX	7.2+\-2.7	1.5+\-0.3	Histones
AF029670	Rad51C	#NAME?	1.1+\-0.0	DNA repair
U12134	Rad52	#NAME?	#NAME?	DNA repair
M13194	ERCC1	#NAME?	#NAME?	DNA repair
M31899	ERCC3	#NAME?	#NAME?	DNA repair
L76568	ERCC4	#NAME?	#NAME?	DNA repair
L20046	ERCC5	#NAME?	#NAME?	DNA repair
L04791	ERCC6	#NAME?	#NAME?	DNA repair
U40622	XRCC4	#NAME?	#NAME?	DNA repair
U14658	PMS2	-4.00.8	#NAME?	DNA repair
D38435	PMS3	#NAME?	1.0+\-0.1	DNA repair
D38498	PMS5	#NAME?	#NAME?	DNA repair
D38501	PMS7	#NAME?	1.1+\-0.9	DNA repair
U92074	REC2	#NAME?	#NAME?	DNA repair
L36140	RECQL	#NAME?	#NAME?	DNA repair
U18300	DDB2	#NAME?	1.0+\-0.1	DNA repair
AF073362	Mre11	#NAME?	1.0+\-0.3	DNA repair
M60974	GADD45	#NAME?	#NAME?	DNA repair
AF078077	GADD45	#NAME?	1.0+\-0.1	DNA repair
D21089	XP-C complementing p125	#NAME?	#NAME?	DNA repair
X99050	UV rad. resis.-assoc. gene	#NAME?	#NAME?	DNA repair
AF084513	REC1	1.7+\-0.3	1.2+\-0.4	DNA repair
AF026086	Pex1	#NAME?	1.5+\-0.4	Peroxisomal
U88871	Pex7	#NAME?	1.0+\-0.1	Peroxisomal
AF093670	Pex11b	#NAME?	#NAME?	Peroxisomal
AB017546	Pex14	#NAME?	#NAME?	Peroxisomal
L07592	PPAR	#NAME?	#NAME?	Peroxisomal
