Accession number	Definition	Fold change	p-value
U12514	Transcriptional regulator MSX-2	7.05	0.0054
U25650	TRP16: nerve growth factor receptor	6.84	0.0088
AI072008	NJMU-R1	4.99	0.0166
U82224	Titin	4.87	0.0192
AA893235	Putative lymphocyte G0/G1 switch protein 2	4.84	0.0007
D89655	Cd36	4.77	0.0256
AI231999	TPD52L1	4.5	0.0465
AI639415	Similar to keratin 14	4.48	0.0325
X03347	FBR-murine osteosarcoma provirus	4.22	0.0261
M34134	Alpha-tropomyosin	4.17	0.0425
D00569	2,4-dienoyl-CoA reductase, mitochondrial	3.97	0.0018
U26033	Peroxisomal carnitine octanoyltransferase	3.93	0.0024
AI237254	Zinc finger protein ZDHHC18	3.76	0.0462
X89963	Thrombospondin 4 precursor	3.67	0.0104
AA818120	Sarcolipin	3.66	0.0176
AI010910	EST	3.47	0.0036
D00569	2,4-dienoyl-CoA reductase, mitochondrial	3.42	0.021
AA875646	PAI mRNA binding protein	3.27	0.0091
J02585_AT	Stearoyl CoA desaturase	3.16	0.0179
AA944380	EST	3.24	0.0058
AI176422	EST	3.14	0.004
AI176456	Metallothionein-II	3	0.0171
AA799671	EST	3	0.0313
AA925752	Cd36	2.99	0.0052
AA892855	EST	2.95	0.0462
AA799326	Cd36	2.93	0.0067
X82152	Fibromodulin precursor	2.93	0.0454
U86635	Gstm5 glutathione S-transferase	2.82	0.0429
AI008813	Tax1Bp2	2.74	0.0273
AF076183	Cytosolic sorting protein PACS-1	2.64	0.0211
AI010719	Ubiquitin-conjugating enzyme E2-3	2.5	0.0469
AI235991	BHB2_RAT	2.48	0.0225
AI237731	Lipoprotein lipase precursor	2.43	0.0154
AA800120	Cd36	2.42	0.0231
L16764	Heat shock protein 70	2.37	0.0182
AB005743	Cd36	2.36	0.0244
AA892042	Fibroblast growth factor inducible protein	2.36	0.018
X05341	3-oxoacyl-CoA thiolase	2.35	0.0162
AA893664	EST	2.25	0.0269
U60977	RAREG-2.2	2.19	0.0277
AI137988	Myosin X	2.14	0.0468
AA852038	EST	2.13	0.0347
AA955151	EST	2.13	0.0309
AI172150	FXR1	2.12	0.0463
AI138048	DSCR1L1	2.11	0.0393
U08976	Delta3,5-delta2,4-dienoyl-CoA isomerase	2.09	0.0295
AA799980	Protein phosphatase 2c beta isoform	2.04	0.0349
AA891171	NADH-Ubiquinone oxidoreductase	2.02	0.0372
AI179092	Ribosomal L22e	2.02	0.0362
R46974	Collagen III alpha 1	2.02	0.0473
AI059618	UDP-glucose pyrophosphorylase 2	-2.04	0.041
AI102887	Homeo-domain-only protein	-2.04	0.0474
AI233224	Epidermal growth factor receptor	-2.04	0.0464
M10140	Creatine kinase	-2.06	0.0433
AA892367	Neuronal protein 3.1 (c5orf13)	-2.12	0.0312
U95162	Nuclear protein E3-3 orf3	-2.13	0.0331
X70369	Collagen III alpha 1	-2.16	0.025
AA850060	EST	-2.17	0.0283
AA926262	Neuronal protein 3.1 (c5orf13)	-2.17	0.0305
L81136	Rps2r1	-2.28	0.0206
AI227667	EST	-2.34	0.0476
AI235842	Superoxide dismutase 2	-2.36	0.0296
AI104479	Cyclophilin E	-2.37	0.0459
AI137038	TOR3A	-2.43	0.0292
AI013042	EST	-2.46	0.0163
K03242	Myelin protein zero	-2.56	0.0463
M21354	Collagen III alpha 1	-2.63	0.0096
AI145650	EST	-2.78	0.044
AF095576	Adaptor protein with pleckstrin homology	-2.79	0.0259
L16995	Sterol regulatory element binding protein-1	-2.86	0.0171
S53527	s-100 protein	-2.99	0.028
AA849365	EST	-2.99	0.0222
AI105417	PTZ-17	-2.99	0.0081
AI235953	EST	-3.08	0.0344
AI235465	Steroid sensitive gene-1 protein	-3.41	0.0298
AI146018	Neurexin 1-alpha precursor	-3.55	0.0254
AI105076	Akt2 oncogene homolog	-4.41	0.0484
M27886	6-p-fructo-2-kinase/ fructose-2,6-bisphosphatase	-5.75	0.0118
