Gene Title	Gene Symbol	Representative Public ID
Sialidase 1 (lysosomal sialidase)	NEU1	U84246
Translocated promoter region (to activated MET oncogene)	TPR	NM_003292
Periplakin	PPL	NM_002705
H3 histone, family 3B (H3.3B)	H3F3B	BC001124
Zinc finger protein 264	ZNF264	NM_003417
Proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	PSMD4	AB033605
Heterogeneous nuclear ribonucleoprotein U	HNRPU	BC003621
Peptidylglycine alpha-amidating mono-oxygenase	PAM	NM_000919
Glyceronephosphate O-acyltransferase	GNPAT	NM_014236
Splicing factor 3a, subunit 3, 60 kd	SF3A3	NM_006802
Glycine cleavage system protein H (aminomethyl carrier)	GCSH	AW237404
Reticulocalbin 1, EF-hand calcium binding domain	RCN1	NM_002901
Hypothetical protein FLJ10404	FLJ10404	NM_019057
Trophinin-associated protein (tastin)	TROAP	NM_005480
Tissue inhibitor of metalloproteinase 2	TIMP2	NM_003255
Ribosomal protein S20	RPS20	BF184532
PTK7 protein tyrosine kinase 7	PTK7	NM_002821
Suppressor of cytokine signaling 5	SOCS5	AW664421
NADH dehydrogenase (ubiquinone) flavoprotein 1, 51 kd	NDUFV1	AF092131
Protein phosphatase 4, regulatory subunit 1	PPP4R1	NM_005134
Cysteine-rich, angiogenic inducer, 61	CYR61	NM_001554
MCM4 minichromosome maintenance deficient 4	MCM4	AA604621
Thyroid hormone receptor–associated protein 1	THRAP1	AB011165
Calcyclin binding protein///calcyclin binding protein	CACYBP	BC005975
Hydroxysteroid (17-beta) dehydrogenase 12	HSD17B12	NM_016142
DnaJ (Hsp40) homolog, subfamily C, member 9	DNAJC9	BE551340
Translocated promoter region (to activated METoncogene)	TPR	BF110993
PERP, TP53 apoptosis effector	PERP	NM_022121
Importin 13	IPO13	NM_014652
Pleckstrin homology domain interacting protein	PHIP	BF224151
Cyclin B2	CCNB2	NM_004701
CDC5 cell division cycle 5-like (Schizosaccharomyces pombe)	CDC5L	NM_001253
Zinc finger protein 592	ZNF592	NM_014630
Kazrin	KIAA1026	AB028949
Nuclear receptor coactivator 2	NCOA2	AI040324
DKFZP564G2022 protein	DKFZP564G2022	BG493972
GK001 protein	GK001	NM_020198
IQ motif containing GTPase activating protein 1	IQGAP1	AI679073
Lysosomal associated protein transmembrane 4 beta	LAPTM4B	NM_018407
Protein kinase, interferon-inducible double stranded RNA-dependent inhibitor, repressor of (P58 repressor)	NA	NA
Ash2 (absent, small, or homeotic)-like (Drosophila)	ASH2L	AB020982
Kallikrein 5	KLK5	AF243527
Low-density lipoprotein–related protein 1 (alpha-2-macroglobulin receptor)	NA	NA
Membrane-associated ring finger (C3HC4) 5	C3HC4	NM_017824
Ring-box 1	RBX1	NM_014248
SET domain, bifurcated 1	SETDB1	NM_012432
Epiplakin 1///epiplakin 1	EPPK1	NM_031308
HIV-1 Tat interacting protein, 60 kd	HTATIP	BC000166
CGI-128 protein	CGI-128	NM_016062
Reticulon 3	RTN3	NM_006054
CGI-62 protein	CGI-62	NM_016010
7-Dehydrocholesterol reductase	DHCR7	AW150953
Chromosome 9 open reading frame 10	C9orf10	BE963765
Replication factor C (activator 1) 1	RFC1	NM_002913
Nuclear transcription factor Y, beta	NFYB	AI804118
Chromosome 8 open reading frame 33	C8orf33	NM_023080
Tumor rejection antigen (gp96) 1	TRA1	NM_003299
Transportin 1	TNPO1	NM_002270
Protein phosphatase 3 (formerly 2B), catalytic subunit	PPP3CB	NM_021132
High-mobility group 20B	HMG20B	BC002552
Lamin A/C	LMNA	AA063189
Phosphoglycerate kinase 1	PGK1	NM_000291
RNA (guanine-7-) methyltransferase	RNMT	NM_003799
HSPC038 protein	LOC51123	NM_016096
Myosin VI	MYO6	AA877789
Lipase A, lysosomal acid, cholesterol esterase	LIPA	NM_000235
DiGeorge syndrome critical region gene 6///DiGeorge syndrome critical region gene 6-like	NA	NA
Protein kinase C, zeta	PRKCZ	NM_002744
Tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	NA	NA
Nedd4 binding protein 1	N4BP1	BF436315
Tetraspanin 6	TSPAN6	AF053453
Mitochondrial ribosomal protein L9///mitochondrial ribosomal protein L9	NA	NA
Chromosome 20 open reading frame 47	C20orf47	AF091085
Macrophage stimulating 1 (hepatocyte growth factor-like)	MST1	NM_020998
Mlx interactor	MONDOA	NM_014938
RAB31, member RAS oncogene family	RAB31	NM_006868
Prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	NA	NA
Solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier)	NA	NA
Small nuclear ribonucleoprotein polypeptide A	SNRPA	NM_004596
KIAA0247	KIAA0247	NM_014734
Cyclin M3	CNNM3	NM_017623
Zinc finger protein 443	ZNF443	NM_005815
Matrix-remodelling associated 5	MXRA5	AF245505
RAE1 RNA export 1 homolog (S pombe)	RAE1	NM_003610
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d	NA	NA
Coenzyme A synthase	COASY	NM_025233
mutS homolog 6 (Escherichia coli)	MSH6	NM_000179
Ubiquitin-specific protease 25	USP25	NM_013396
Quiescin Q6	QSCN6	NM_002826
Adenylate kinase 2	AK2	W02312
GNAS complex locus	GNAS	AI591100
Nucleolar protein family A, member 3 (H/ACA small nucleolar RNPs)	NA	NA
Phosphatidylinositol-4-phosphate 5-kinase, type I, gamma	PIP5K1C	AB011161
Microtubule-associated protein 4	MAP4	W28892
Torsin family 3, member A	TOR3A	NM_022371
Ankyrin repeat domain 10	ANKRD10	NM_017664
Muscleblind-like (Drosophila)	MBNL1	NM_021038
