Subtype	Fold change	Gene symbol	Probe set ID	Accession no.	Title
FSH+	4.7	CXCL13	41104_at	NM_006419	Chemokine (C-X-C motif) ligand 13
FSH+	2.7	HPIP	38063_at	NM_020524	Hematopoietic PBX-interacting protein
FSH+	2.2	KRT19	40899_at	NM_002276	Keratin 19
LH+	4.5	MLP	36174_at	NM_023009	MARCKS-like protein
LH+	2.7	GUCY1A3	36918_at	NM_000856	Guanylate cyclase 1, soluble, ? 3
LH+	2.4	TMPRSS6	34067_at	NM_153019	Type II transmembrane serine protease 6
LH+	2.4	BASP1	32607_at	NM_006317	Brain abundant, membrane attached signal protein 1
NF?	15.9	C7	37394_at	NM_000587	Complement component 7
NF?	5.9	PDLIM1	36937_s_at	NM_020992	PDZ and LIM domain 1 (elfin)
NF?	4.6	HIST1H2AC	34308_at	NM_003512	Histone 1, H2ac
NF?	4.1	GPR49	41073_at	NM_003667	G protein–coupled receptor 49
NF?	3.9	SYT1	40075_at	NM_005639	Synaptotagmin I
NF?	3.7	ALS2CR3	40064_at	NM_015049	Amyotrophic lateral sclerosis 2, candidate 3
NF?	3.6	HIST1H2BL	35576_f_at	NM_003519	Histone 1, H2bl
NF?	3.3	HIST2H2AA	286_at	NM_003516	Histone 2, H2aa
NF?	3.1	HIST1H2BN	36347_f_at	NM_003520	Histone 1, H2bn
NF?	3	PTPN3	31885_at	NM_002829	Protein tyrosine phosphatase, nonreceptor type 3
NF?	2.3	—	34114_at	AL109678	cDNA clone EUROIMAGE 28993.
NF?	2.2	HIST1H2BM	31528_f_at	NM_003521	Histone 1, H2bm
NF?	2.2	HIST1H2BK	32819_at	NM_080593	Histone 1, H2bk
NF?	2.2	AGPAT1	32836_at	NM_006411	1-Acylglycerol-3-phosphate O-acyltransferase 1
