Pvalue	C mean	Si mean	Fold change	Probe set	Description	annotation	Gene symbol
p < 1e-07	225.3	29.5	7.637	203497_at	PPAR binding protein /// PPAR binding protein	Info	PPARBP
3.00E-07	133	752.1	0.177	201009_s_at	thioredoxin interacting protein	Info	TXNIP
3.00E-07	212.7	907.1	0.234	201010_s_at	thioredoxin interacting protein /// thioredoxin interacting protein	Info	TXNIP
4.00E-07	355.9	67.7	5.257	205047_s_at	asparagine synthetase /// asparagine synthetase	Info	ASNS
9.00E-07	165.5	52.7	3.14	201661_s_at	acyl-CoA synthetase long-chain family member 3 /// acyl-CoA synthetase long-chain family member 3	Info	ACSL3
1.30E-06	73.8	213	0.346	211930_at	heterogeneous nuclear ribonucleoprotein A3	Info	hnRNPA3
1.80E-06	49	441.6	0.111	213988_s_at	spermidine/spermine N1-acetyltransferase	Info	SAT
2.20E-06	199.1	1187.2	0.168	210592_s_at	spermidine/spermine N1-acetyltransferase	Info	SAT
2.30E-06	68.8	240.2	0.286	201540_at	four and a half LIM domains 1 /// four and a half LIM domains 1	Info	FHL1
2.40E-06	343.2	1026.5	0.334	220755_s_at	chromosome 6 open reading frame 48 /// chromosome 6 open reading frame 48	Info	C6orf48
2.40E-06	101.6	366.7	0.277	214093_s_at	nexilin (F actin binding protein)	Info	NEXN
2.50E-06	164.8	733.1	0.225	203455_s_at	spermidine/spermine N1-acetyltransferase /// spermidine/spermine N1-acetyltransferase	Info	SAT
2.80E-06	262.1	745.1	0.352	212923_s_at	chromosome 6 open reading frame 145	Info	C6orf145
2.90E-06	350	1033.3	0.339	200632_s_at	N-myc downstream regulated gene 1 /// N-myc downstream regulated gene 1	Info	NDRG1
3.50E-06	115.1	334.6	0.344	202310_s_at	collagen, type I, alpha 1 /// collagen, type I, alpha 1	Info	COL1A1
3.60E-06	272.8	94.9	2.875	219051_x_at	chromosome 16 open reading frame 23	Info	C16orf23
3.80E-06	870.4	241.9	3.598	210896_s_at	aspartate beta-hydroxylase	Info	ASPH
3.80E-06	904.2	2841.9	0.318	204437_s_at	folate receptor 1 (adult) /// folate receptor 1 (adult)	Info	FOLR1
3.80E-06	135.8	501.6	0.271	208869_s_at	GABA(A) receptor-associated protein like 1	Info	GABARAPL1
4.10E-06	103.3	378.3	0.273	202284_s_at	cyclin-dependent kinase inhibitor 1A (p21, Cip1) /// cyclin-dependent kinase inhibitor 1A (p21, Cip1)	Info	CDKN1A
4.30E-06	160.9	61.6	2.612	204976_s_at	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1 /// Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1	Info	AMMECR1
4.50E-06	31.2	90.5	0.345	204759_at	chromosome condensation 1-like /// chromosome condensation 1-like	Info	CHC1L
