Accession no.	UniSTS_NUM	Symbol	Name
NM_005159	118127	ACTC	Actin,  a, cardiac muscle
D00017	217493	ANXA2	Annexin A2
L20688	83656	ARHGDIB	Rho GDP dissociation inhibitor (GDI) 1
AK027126	160786	ASS	Argininosuccinate synthetase
S67310	69771	BF	B-factor, properdin
AB004066	171825	BHLHB2	Basic helix-loop-helix domain containing, class B, 2
NM_001733	1279	C1R	Complement component 1 r subcomponent
K02765	284394	C3	Complement component 3
AF134640	7235	CACNG3	Calcium channel, voltage-dependent, gamma subunit 3
K01144	84298	CD74	CD74 antigen
X63629	2877	CDH3	Cadherin 3, type 1, P-cadherin (placental)
L02870	1640	COL7A1	Collagen, type VII,  a1 (epidermolysis bullosa, dystrophic, dominant and recessive)
U16306	81800	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)
L12579	147049	CUTL1	Cut-like 1, CCAAT displacement protein (Drosophila)
NM_002996	80420	CX3CL1	Chemokine (C-X3-C motif) ligand 1
AF245505	72157	DKFZp564I1922	Adlican
D83407	156007	DSCR1L1	Down syndrome critical region gene 1-like 1
AW002941	339283	ERAP140	Endoplasmic reticulum associated protein 140 kDa
J04162	176663	FCGR3A	Fc fragment of IgG, low-affinity IIIa, receptor for (CD16)
M87770	278581	FGFR2	Fibroblast growth factor receptor 2
L42176	8302	FHL2	Four and a half LIM domains 2
NM_001456	195464	FLNA	Filamin A, e (actin binding protein 280)
AW949747	169946	GATA3	GATA binding protein 3
M55543	171862	GBP2	Guanylate binding protein 2, interferon-inducible
NM_002081	2699	GPC1	Glypican 1
NM_002083	2704	GPX2	Glutathione peroxidase 2 (gastrointestinal)
NM_002084	386793	GPX3	Glutathione peroxidase 3 (plasma)
NM_000186	250651	HF1	H factor 1 (complement)
M15178	318720	HLA-DRB4	Major histocompatibility complex, class II, DR  B4
AA490691	421136	HOXD11	Homeo box D11
S81914	76095	IER3	Immediate early response 3
J02770	36602	IF	i factor (complement)
M31159	77326	IGFBP3	Insulin-like growth factor binding protein 3
NM_002198	80645	IRF1	Interferon regulatory factor 1
X52186	85266	ITGB4	Integrin,  B4
X03212	23881	KRT7	Keratin 7
U07643	105938	LTF	Lactotransferrin
Z68179	77667	LY6E	Lymphocyte antigen 6 complex, locus E
NM_005928	3745	MFGE8	Milk fat globule-EGF factor 8 protein
AW298180	2256	MMP7	Matrix metalloproteinase 7 (matrilysin, uterine)
J05581	89603	MUC1	Mucin 1, transmembrane
J02854	9615	MYL9	Myosin, light polypeptide 9, regulatory
M13692	572	ORM1	Orosomucoid 1
AF027208	112360	PROML1	Prominin-like 1 (mouse)
AL045876	430637	PTGDS	Prostaglandin D2 synthase 21 kDa (brain)
NM_003979	194691	RAI3	Retinoic acid induced 3
M93056	183583	SERPINB1	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1
M13690	151242	SERPING1	Serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)
U59299	90911	SLC16A5	Solute carrier family 16 (monocarboxylic acid transporters), member 5
AI423028	71622	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3
BF514189	345728	SOCS3	Suppressor of cytokine signaling 3
U54831	75248	TOP2B	Topoisomerase (DNA) II1 180 kDa
X63187	2719	WFDC2	WAP four-disulfide core domain 2
AF122922	284122	WIF1	WNT inhibitory factor 1
AA632025	444752		ESTs
AI027791	132296		ESTs
AI566720	380045		Homo sapiens cDNA FLJ34528 fis, clone HLUNG2008066
N58556	323053		Homo sapiens mRNA full-length insert cDNA clone EUROIMAGE 26539.
BE539165	355793	DKFZp313M0720	Hypothetical protein DKFZp313M0720
AB002319	8663	KIAA0321	KIAA0321 protein
T78873	9587	KIAA2002	KIAA2002 protein
AA180145	351270	LOC152485	Hypothetical protein LOC152485
AW888223	59384	MGC3047	Hypothetical protein MGC3047
