Genbank ID	Gene Title	Gene Symbol	5 h  FC ± SEM	8 d  FC ± SEM	1.5 mos  FC ± SEM	6 mos FC ± SEM	Gene sequence
BB138330	caspase recruitment domain 4	Card4	-1.8 ± 0.4	N.C.	N.C.	N.C.	1
BM237858	Programmed cell death 10	Pdcd10	N.C.	-2.8 ± 0.5	N.C.	N.C.	3
BG072267	reticulon 4	Rtn4	N.C.	-2.0 ± 0.4	N.C.	N.C.	4
BB223611	PH domain and leucine rich repeat protein phosphatase	Phlpp	N.C.	-2.0 ± 0.4	N.C.	N.C.	5
AK008225	THAP domain containing, apoptosis associated protein 3	Thap3	-1.5 ± 0.4	N.C.	N.C.	N.C.	6
AK020218	Tial1 cytotoxic granule-associated RNA binding protein-like 1	Tial1	-1.7 ± 0.4	N.C.	N.C.	N.C.	7
BB218245	Tnf receptor-associated factor 1	Traf1	-2.5 ± 0.5	N.C.	N.C.	N.C.	8
BB243121	death inducer-obliterator 1	Dido1	-2.3 ± 0.4	N.C.	N.C.	N.C.	9
BB556211	Serine/threonine kinase 3 (Ste20, yeast homolog)	Stk3	-1.5 ± 0.4	N.C.	N.C.	N.C.	10
BG070296	AXIN1 up-regulated 1	Axud1	N.C.	N.C.	N.C.	-1.8 ± 0.4	11
BG075179	Endoplasmic reticulum (ER) to nucleus signalling 1	Ern1	-1.9 ± 0.4	N.C.	N.C.	N.C.	12
BF608828	tumor protein, translationally-controlled 1	Tpt1	N.C.	-2.0 ± 0.4	N.C.	N.C.	13
AK013874	bifunctional apoptosis regulator	Bfar	-1.9 ± 0.4	N.C.	N.C.	N.C.	16
AV173139	serine/threonine kinase 17b (apoptosis-inducing)	Stk17b	-1.6 ± 0.4	N.C.	-2.4 ± 0.4	-1.6 ± 0.4	17
AW493043	zinc finger protein 346	Zfp346	-1.9 ± 0.4	N.C.	-1.7 ± 0.4	N.C.	18
AW536179	RIKEN cDNA 3300001P08 gene	3300001P08Rik	-2.8 ± 0.4	N.C.	N.C.	N.C.	19
AW556821	RIKEN cDNA 2610018G03 gene	2610018G03Rik	N.C.	N.C.	-1.7 ± 0.4	N.C.	20
BB749262	TNFRSF1A-associated via death domain	Tradd	-1.9 ± 0.4	N.C.	N.C.	N.C.	21
BC022165	death-associated kinase 2	Dapk2	-1.9 ± 0.4	N.C.	N.C.	N.C.	22
BC022961	EGL nine homolog 3 (C. elegans)	Egln3	-2.0 ± 0.4	N.C.	N.C.	N.C.	23
BF227962	junction-mediating and regulatory protein		-1.7 ± 0.4	N.C.	N.C.	N.C.	24
BG518542	cytotoxic granule-associated RNA binding protein 1	Tia1	-1.7 ± 0.4	-1.7 ± 0.4	N.C.	N.C.	25
NM_007544	BH3 interacting domain death agonist	Bid	N.C.	N.C.	-2.0 ± 0.4	N.C.	26
NM_007609	caspase 11, apoptosis-related cysteine peptidase	Casp11	N.C.	N.C.	-1.5 ± 0.4	N.C.	27
NM_009425	tumor necrosis factor (ligand) superfamily, member 10	Tnfsf10	-4.1 ± 0.4	N.C.	-1.8 ± 0.4	-2.0 ± 0.4	28
NM_009684	apoptotic protease activating factor 1	Apaf1	-1.8 ± 0.4	N.C.	N.C.	N.C.	29
NM_009808	caspase 12	Casp12	-1.9 ± 0.4	N.C.	N.C.	N.C.	30
NM_010762	myelin and lymphocyte protein, T-cell differentiation protein	Mal	N.C.	N.C.	-1.5 ± 0.4	N.C.	31
NM_130859	caspase recruitment domain family, member 10	Card10	-1.6 ± 0.4	N.C.	N.C.	N.C.	32
U67321	caspase 7	Casp7	-1.5 ± 0.4	N.C.	N.C.	N.C.	33
BB766747	caspase recruitment domain family, member 6	Card6	-2.3 ± 0.4	N.C.	N.C.	N.C.	765
BB767586	poly (ADP-ribose) polymerase family, member 1	Parp1	-1.7 ± 0.4	N.C.	N.C.	N.C.	766
AK007714	Fas apoptotic inhibitory molecule 3	Faim3	N.C.	N.C.	-3.9 ± 0.5	N.C.	1256
BC014870	poly (ADP-ribose) polymerase family, member 3	Parp3	-2.3 ± 0.4	N.C.	N.C.	N.C.	1527
NM_030253	poly (ADP-ribose) polymerase family, member 9	Parp9	-1.5 ± 0.4	N.C.	N.C.	N.C.	1903
BB026163	poly (ADP-ribose) polymerase family, member 11	Parp11	-3.2 ± 0.4	N.C.	N.C.	N.C.	521
